key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0998,space,7.419,space,13.3508,space,5.4618,space,3.1095,space,3.8915,6,PF,-32.66660788,-95.3333469,1,0,0,response5disk_5,3,10.5597,-5.333314419,-1.07288E-05,1,0,0,rectangle_8,-5.333314419,-1.07288E-05,1,0,0,-5.333314419,-1.07288E-05,1,0,0,0,0,0,6,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,74.66668797,23.99998999,1,0,0,response1disk_5,6,3.7042,1.9735E-05,9.999989569,1,0,0,rectangle_8,-82.66660937,29.99999017,1,0,0,-1.3333143,2.666656017,1,0,0,0,1,1,4,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.6236,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,-71.33331639,34.66665697,1,0,0,response7disk_5,1,3.4003,6.000019252,2.666656017,1,0,0,rectangle_8,6.000019252,2.666656017,1,0,0,6.000019252,2.666656017,1,0,0,0,2,2,3,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,FF,-74.66660913,-22.66667807,1,0,0,response5disk_5,2,2.9661,-10.66660722,3.99998939,1,0,0,rectangle_8,-10.66660722,3.99998939,1,0,0,-10.66660722,3.99998939,1,0,0,0,3,3,0,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,FF,38.66668689,-48.00001216,1,0,0,response3disk_5,4,2.1951,-5.999981105,4.666656077,1,0,0,rectangle_8,-92.66660966,40.66665715,1,0,0,-8.666607161,2.666656017,1,0,0,0,4,4,5,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.437,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,-28.66660776,-45.33334541,1,0,0,response5disk_5,3,2.0176,-6.666607102,0.666655958,1,0,0,rectangle_8,-6.666607102,0.666655958,1,0,0,-6.666607102,0.666655958,1,0,0,0,5,5,1,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,41.33339433,71.33330439,1,0,0,response1disk_5,7,2.4305,7.333393315,0.666655958,1,0,0,rectangle_8,7.333393315,0.666655958,1,0,0,7.333393315,0.666655958,1,0,0,0,6,6,2,1,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4543,,,,,,,,,,,,,,,,,,,,,,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.2391,3740,54.66668737,27.99999011,1,0,0,response1disk,,6,-1.999980986,1.333322644,1,0,0,rectangle,-1.999980986,1.333322644,1,0,0,-1.999980986,1.333322644,1,0,0,0,0,0,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6838,,,,,,,,,,,,,,,,,,,,,,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3493,35.33339415,67.33330427,1,0,0,response1disk,,7,-3.333314359,5.333322763,1,0,0,rectangle,-3.333314359,5.333322763,1,0,0,-3.333314359,5.333322763,1,0,0,0,1,1,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3334,,,,,,,,,,,,,,,,,,,,,,61004a341d22b1d5df6dd925,6103760b924b4aee458743b3,2021-07-29_23h55.44.992,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3770,76.00002134,-24.00001144,1,0,0,response3disk,,5,-5.999981105,-0.666677415,1,0,0,rectangle,-29.99998182,66.66665792,1,0,0,-0.666606923,-0.666677415,1,0,0,0,2,2,101,1,,response7disk_3,TRUE,0,0,"[72,253,172,117,311,235,201,119,254,177,223,16,3,90,50,261,263,123,310,284]",1.901,rectangle
