key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.813,space,1.4806,space,18.1796,space,14.6983,space,3.0756,space,4.7305,40,PF,-74.5625,-28.55859375,1,0,0,response5disk_5,2,14.8534,-1.3203125,-2.953125,1,0,0,rectangle_8,-1.3203125,-2.953125,1,0,0,-1.3203125,-2.953125,1,0,0,0,0,0,6,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,FF,35.72265625,84.24609375,1,0,0,response1disk_5,7,7.016,-0.203125,3.13671875,1,0,0,rectangle_8,97.97265625,40.06640625,1,0,0,14.55859375,-7.5234375,1,0,0,0,1,1,5,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.0027,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,FF,-34.296875,-98.0078125,1,0,0,response5disk_5,3,2.5509,6.13671875,0.02734375,1,0,0,rectangle_8,6.13671875,0.02734375,1,0,0,6.13671875,0.02734375,1,0,0,0,2,2,3,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,53.96875,101.296875,1,0,0,response1disk_5,7,3.4011,3.52734375,13.4609375,1,0,0,rectangle_8,3.52734375,13.4609375,1,0,0,3.52734375,13.4609375,1,0,0,0,3,3,1,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,-53.3671875,41.8671875,1,0,0,response7disk_5,1,2.7991,-14.87109375,-1.95703125,1,0,0,rectangle_8,71.015625,20.3671875,1,0,0,-3.8359375,-1.8671875,1,0,0,0,4,4,2,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.3529,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,-84.09765625,30.14453125,1,0,0,response7disk_5,1,3.4867,-13.6640625,-3.55078125,1,0,0,rectangle_8,-13.6640625,-3.55078125,1,0,0,-13.6640625,-3.55078125,1,0,0,0,5,5,4,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,FF,50.91796875,65.44921875,1,0,0,response1disk_5,7,4.2525,16.23046875,-2.89453125,1,0,0,rectangle_8,16.23046875,-2.89453125,1,0,0,16.23046875,-2.89453125,1,0,0,0,6,6,0,1,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3833,,,,,,,,,,,,,,,,,,,,,,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.7483,102,-81.05078125,32.94140625,1,0,0,response7disk,,1,12.65625,-8.359375,1,0,0,rectangle,12.65625,-8.359375,1,0,0,12.65625,-8.359375,1,0,0,0,0,0,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.117,,,,,,,,,,,,,,,,,,,,,,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1988,54.08984375,79.24609375,1,0,0,response1disk,,7,8.58984375,-6.51953125,1,0,0,rectangle,54.46875,-88.15234375,1,0,0,11.2421875,-6.40625,1,0,0,0,1,1,80,1,,response3disk_3,TRUE,4,4,"[2,106,286,54,244,203,76,202,147,165,296,272,63,38,277,54,320,11,281,181]",1.5337,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.732,,,,,,,,,,,,,,,,,,,,,,61004e071430aab85ba2ac18,61036e7ada011bc3983fb8be,2021-07-29_20h14.54.689,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1662,69.87109375,29.171875,1,0,0,response1disk,,6,22.18359375,-14.2421875,1,0,0,rectangle,22.18359375,-14.2421875,1,0,0,22.18359375,-14.2421875,1,0,0,0,2,2,3,1,,,,,,,,
