key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,10.8616,space,13.8126,space,106.8019,space,4.8089,space,1.1685,space,3.5901,147,FF,-105.7856863,-39.35723277,1,0,0,response5disk_5,2,7.6127,-10.92839971,-5.071447194,1,0,0,rectangle_8,-10.92839971,-5.071447194,1,0,0,-10.92839971,-5.071447194,1,0,0,0,0,0,0,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,-40.07139766,-28.50008942,1,0,0,response5disk_5,2,9.9494,-2.357110262,-3.92859,1,0,0,rectangle_8,89.07160476,48.64284092,1,0,0,-10.35711062,1.214197619,1,0,0,0,1,1,6,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.6846,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,PF,75.35717893,-36.50008978,1,0,0,response3disk_5,5,5.8168,-13.7856822,-8.50008853,1,0,0,rectangle_8,-13.7856822,-8.50008853,1,0,0,-13.7856822,-8.50008853,1,0,0,0,2,2,4,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,41.07160262,89.7856999,1,0,0,response1disk_5,7,2.1504,-6.357110441,7.499912185,1,0,0,rectangle_8,-6.357110441,7.499912185,1,0,0,-6.357110441,7.499912185,1,0,0,0,3,3,3,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,-94.35711437,-47.92859197,1,0,0,response5disk_5,2,3.3671,-3.499827947,2.928553164,1,0,0,rectangle_8,99.35718,54.92855549,1,0,0,14.78588716,-3.357161403,1,0,0,0,4,4,1,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.6704,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,-94.92840346,-39.35723277,1,0,0,response5disk_5,2,2.9998,-1.214113559,7.499912185,1,0,0,rectangle_8,-1.214113559,7.499912185,1,0,0,-1.214113559,7.499912185,1,0,0,0,5,5,2,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,FF,26.78588769,-81.07145059,1,0,0,response3disk_5,4,1.884,6.785886799,-9.071447372,1,0,0,rectangle_8,6.785886799,-9.071447372,1,0,0,6.785886799,-9.071447372,1,0,0,0,6,6,5,1,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5871,,,,,,,,,,,,,,,,,,,,,,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5139,2282,25.64289099,-71.3572342,1,0,0,response3disk,,4,-4.64282465,-13.6429459,1,0,0,rectangle,-4.64282465,-13.6429459,1,0,0,-4.64282465,-13.6429459,1,0,0,0,0,0,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2666,,,,,,,,,,,,,,,,,,,,,,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2638,-52.6428268,-69.64294841,1,0,0,response5disk,,3,-6.928399529,-7.928590178,1,0,0,rectangle,-6.928399529,-7.928590178,1,0,0,-6.928399529,-7.928590178,1,0,0,0,1,1,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0333,,,,,,,,,,,,,,,,,,,,,,610050997aff9a6e73bccaad,6103741073908f631258f8ef,2021-07-29_20h58.22.549,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3179,20.50017313,-67.92859286,1,0,0,response3disk,,4,-4.64282465,0.071410179,1,0,0,rectangle,49.07160297,88.07141411,1,0,0,-5.214113738,-7.357161582,1,0,0,0,2,2,117,1,,response1disk_3,TRUE,7,7,"[206,321,15,103,3,0,174,149,13,146,237,320,315,164,218,321,194,24,245,259]",2.4076,rectangle
