key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.8463,space,1.9186,space,32.696,space,6.0171,space,1.8183,space,3.4116,27,FF,-59.99998945,-97.60005672,1,0,0,response5disk_5,3,6.5327,1.14441E-05,7.999993682,1,0,0,rectangle_8,1.14441E-05,7.999993682,1,0,0,1.14441E-05,7.999993682,1,0,0,0,0,0,3,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,92.80001283,43.99999422,1,0,0,response1disk_5,6,3.7828,1.14441E-05,13.59999377,1,0,0,rectangle_8,-113.5999902,-76.00000757,1,0,0,-0.799988568,-15.20000666,1,0,0,0,1,1,5,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.2637,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,PF,88.80001277,-50.40000719,1,0,0,response3disk_5,5,5.199,-23.1999889,-3.200006485,1,0,0,rectangle_8,-23.1999889,-3.200006485,1,0,0,-23.1999889,-3.200006485,1,0,0,0,2,2,2,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,80.80001265,47.19996985,1,0,0,response1disk_5,6,2.8841,-2.399939764,7.999993682,1,0,0,rectangle_8,-2.399939764,7.999993682,1,0,0,-2.399939764,7.999993682,1,0,0,0,3,3,1,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,34.40001196,70.39999461,1,0,0,response1disk_5,7,1.4841,-7.999988675,-12.00000662,1,0,0,rectangle_8,-97.59999001,-55.20000726,1,0,0,2.40001148,5.599993646,1,0,0,0,4,4,6,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.1786,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,FF,89.60001278,48.79999429,1,0,0,response1disk_5,6,2.4329,11.20001161,-5.600006521,1,0,0,rectangle_8,11.20001161,-5.600006521,1,0,0,11.20001161,-5.600006521,1,0,0,0,5,5,0,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,-39.19998914,95.99999499,1,0,0,response7disk_5,0,1.6324,19.20001173,11.99999374,1,0,0,rectangle_8,19.20001173,11.99999374,1,0,0,19.20001173,11.99999374,1,0,0,0,6,6,4,1,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9992,,,,,,,,,,,,,,,,,,,,,,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,30.9525,3773,94.40001285,53.59999436,1,0,0,response1disk,,6,15.20001167,-8.800006568,1,0,0,rectangle,15.20001167,-8.800006568,1,0,0,15.20001167,-8.800006568,1,0,0,0,0,0,44,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7671,,,,,,,,,,,,,,,,,,,,,,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,398,84.80001271,-48.80000716,1,0,0,response3disk,,5,-8.799988687,2.399993598,1,0,0,rectangle,-8.799988687,2.399993598,1,0,0,-8.799988687,2.399993598,1,0,0,0,1,1,126,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4147,,,,,,,,,,,,,,,,,,,,,,610059b905e6d251e2cab6bc,610378cd8bda62035a5c07f4,2021-07-29_23h06.45.152,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2581,60.80001235,-88.00000775,1,0,0,response3disk,,4,-3.999988616,7.999993682,1,0,0,rectangle,-3.999988616,7.999993682,1,0,0,-3.999988616,7.999993682,1,0,0,0,2,2,125,1,,,,,,,,
