key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.9273,space,13.1774,space,7.1496,space,3.0217,space,1.7076,space,3.7101,138,FF,-75.55078125,39.26171875,1,0,0,response7disk_5,1,7.6008,-5.7265625,2.2109375,1,0,0,rectangle_8,-5.7265625,2.2109375,1,0,0,-5.7265625,2.2109375,1,0,0,0,0,0,3,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,-27.60546875,82.03125,1,0,0,response7disk_5,0,3.9654,5.74609375,-0.57421875,1,0,0,rectangle_8,34.03515625,63.20703125,1,0,0,3.5,4.23046875,1,0,0,0,1,1,1,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.7009,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,51.96875,-101.4335938,1,0,0,response3disk_5,4,4.0001,-16.40234375,11.046875,1,0,0,rectangle_8,-16.40234375,11.046875,1,0,0,-16.40234375,11.046875,1,0,0,0,2,2,4,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,64.3359375,-47.734375,1,0,0,response3disk_5,5,3.4174,11.265625,-9.01953125,1,0,0,rectangle_8,11.265625,-9.01953125,1,0,0,11.265625,-9.01953125,1,0,0,0,3,3,2,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,69.7109375,-26.7890625,1,0,0,response3disk_5,5,1.7999,12.42578125,0.78125,1,0,0,rectangle_8,26.3203125,79.06640625,1,0,0,5.8125,-12.91015625,1,0,0,0,4,4,6,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.7346,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,FF,41.5390625,65.85546875,1,0,0,response1disk_5,7,3.0992,10.22265625,-0.13671875,1,0,0,rectangle_8,10.22265625,-0.13671875,1,0,0,10.22265625,-0.13671875,1,0,0,0,5,5,0,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,-48.05859375,-89.81640625,1,0,0,response5disk_5,3,1.3501,-7.5703125,-10.390625,1,0,0,rectangle_8,-7.5703125,-10.390625,1,0,0,-7.5703125,-10.390625,1,0,0,0,6,6,5,1,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.0334,,,,,,,,,,,,,,,,,,,,,,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0843,2992,90.33203125,34.76171875,1,0,0,response1disk,,6,0.140625,-12.08203125,1,0,0,rectangle,0.140625,-12.08203125,1,0,0,0.140625,-12.08203125,1,0,0,0,0,0,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4665,,,,,,,,,,,,,,,,,,,,,,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1928,68.4375,-45.51953125,1,0,0,response3disk,,5,19.1328125,3.25390625,1,0,0,rectangle,19.1328125,3.25390625,1,0,0,19.1328125,3.25390625,1,0,0,0,1,1,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8004,,,,,,,,,,,,,,,,,,,,,,61005c79654dfd48f61ab93c,61036e3fd1f92de10ffb3ef6,2021-07-29_20h14.32.660,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,167,-79.73828125,-46.53125,1,0,0,response5disk,,2,-13.796875,-1.83984375,1,0,0,rectangle,-13.796875,-1.83984375,1,0,0,-13.796875,-1.83984375,1,0,0,0,2,2,55,1,,,,,,,,
