key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,6.6339,space,81.3468,space,31.9951,space,5.0248,space,2.3652,space,4.0383,76,FF,-85.90575155,-45.25982156,1,0,0,response5disk_5,2,6.2816,7.238048661,-5.371979174,1,0,0,rectangle_8,7.238048661,-5.371979174,1,0,0,7.238048661,-5.371979174,1,0,0,0,0,0,3,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,PF,84.44259083,28.42745981,1,0,0,response1disk_5,6,2.5327,17.72276561,3.259612752,1,0,0,rectangle_8,-87.18016564,-69.74356216,1,0,0,32.65523654,-4.540973302,1,0,0,0,1,1,2,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.485,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,-46.12713768,-95.21656059,1,0,0,response5disk_5,3,5.6812,8.366417819,-16.25484066,1,0,0,rectangle_8,8.366417819,-16.25484066,1,0,0,8.366417819,-16.25484066,1,0,0,0,2,2,4,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,-61.74974534,-104.9445393,1,0,0,response5disk_5,3,3.4472,0.019542694,-10.60186206,1,0,0,rectangle_8,0.019542694,-10.60186206,1,0,0,0.019542694,-10.60186206,1,0,0,0,3,3,5,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,110.7911264,-61.69278079,1,0,0,response3disk_5,5,2.6158,6.350060367,-1.372027942,1,0,0,rectangle_8,-93.35526338,-59.84107178,1,0,0,16.58799997,-6.970856151,1,0,0,0,4,4,0,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.4155,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,95.07071599,50.90831952,1,0,0,response1disk_5,6,2.3822,-7.995301175,-11.58032888,1,0,0,rectangle_8,-7.995301175,-11.58032888,1,0,0,-7.995301175,-11.58032888,1,0,0,0,5,5,6,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,PF,-92.99222627,-42.16807347,1,0,0,response5disk_5,2,1.5991,21.58526567,1.741546323,1,0,0,rectangle_8,21.58526567,1.741546323,1,0,0,21.58526567,1.741546323,1,0,0,0,6,6,1,1,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.095,,,,,,,,,,,,,,,,,,,,,,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,1.0009,3359,100.1035286,-45.0678782,1,0,0,response3disk,,5,-10.7720102,3.230608845,1,0,0,rectangle,-10.7720102,3.230608845,1,0,0,-10.7720102,3.230608845,1,0,0,0,0,0,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3986,,,,,,,,,,,,,,,,,,,,,,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,2734,45.16695548,-84.66524207,1,0,0,response3disk,,4,-15.66361184,0.712347089,1,0,0,rectangle,-15.66361184,0.712347089,1,0,0,-15.66361184,0.712347089,1,0,0,0,1,1,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2998,,,,,,,,,,,,,,,,,,,,,,61005f04b9a1eec4bc7e4e48,61037064418fb441f76aa7b5,2021-07-29_20h28.06.730,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4029,-86.7973043,-29.88032915,1,0,0,response5disk,,2,30.30489471,-5.742682304,1,0,0,rectangle,30.30489471,-5.742682304,1,0,0,30.30489471,-5.742682304,1,0,0,0,2,2,95,1,,,,,,,,
