key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.2403,space,1.0467,space,7.7014,space,0.867,space,0.4018,space,2.2141,109,FF,103.3099365,-65.10168457,1,0,0,response3disk_5,5,7.3699,10.5692749,-12.67498779,1,0,0,rectangle_8,10.5692749,-12.67498779,1,0,0,10.5692749,-12.67498779,1,0,0,0,0,0,5,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,41.57495117,98.53808594,1,0,0,response1disk_5,7,2.1002,4.720092773,-9.214385986,1,0,0,rectangle_8,104.9638062,-39.94940186,1,0,0,16.12841797,-8.359527588,1,0,0,0,1,1,1,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.684,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,-76.54986572,-50.28353882,1,0,0,response5disk_5,2,3.7999,-4.17388916,2.833068848,1,0,0,rectangle_8,-4.17388916,2.833068848,1,0,0,-4.17388916,2.833068848,1,0,0,0,2,2,2,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,-32.07476807,-102.9551392,1,0,0,response5disk_5,3,1.2153,-3.158447266,-14.82434082,1,0,0,rectangle_8,-3.158447266,-14.82434082,1,0,0,-3.158447266,-14.82434082,1,0,0,0,3,3,4,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,FF,85.56756592,-43.30563354,1,0,0,response3disk_5,5,1.0001,-21.02038574,-8.665802002,1,0,0,rectangle_8,105.0008545,-61.29663086,1,0,0,15.36761475,-8.191650391,1,0,0,0,4,4,0,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.3344,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,FF,40.13134766,95.35430908,1,0,0,response1disk_5,7,1.1173,14.59973145,-2.152648926,1,0,0,rectangle_8,14.59973145,-2.152648926,1,0,0,14.59973145,-2.152648926,1,0,0,0,5,5,3,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,-22.89129639,-73.45202637,1,0,0,response5disk_5,3,1.3563,13.33740234,-3.281433105,1,0,0,rectangle_8,13.33740234,-3.281433105,1,0,0,13.33740234,-3.281433105,1,0,0,0,6,6,6,1,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5835,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.5355,3153,-70.02178955,24.38549805,1,0,0,response7disk,,1,6.881103516,2.822418213,1,0,0,rectangle,6.881103516,2.822418213,1,0,0,6.881103516,2.822418213,1,0,0,0,0,0,70,1,
,,,,,,,,,,,,,FF,,,,,,,,3.1998,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,221,-28.49707031,-82.97973633,1,0,0,response5disk,,3,-6.655761719,-3.817443848,1,0,0,rectangle,-6.655761719,-3.817443848,1,0,0,-6.655761719,-3.817443848,1,0,0,0,1,1,9,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1828,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3478,-43.40405273,67.04489136,1,0,0,response7disk,,0,8.766845703,-6.501434326,1,0,0,rectangle,8.766845703,-6.501434326,1,0,0,8.766845703,-6.501434326,1,0,0,0,2,2,18,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3163,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3465,79.33935547,-125.0992432,1,0,0,response3disk,,4,5.851379395,-5.485595703,1,0,0,rectangle,5.851379395,-5.485595703,1,0,0,5.851379395,-5.485595703,1,0,0,0,3,3,58,1,
,,,,,,,,,,,,,FF,,,,,,,,0.7828,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,156,36.50085449,95.22097778,1,0,0,response1disk,,7,9.241394043,-5.355895996,1,0,0,rectangle,9.241394043,-5.355895996,1,0,0,9.241394043,-5.355895996,1,0,0,0,4,4,37,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0165,,,,,,,,,,,,,,,,,,,,,,610061db544105dd7a6ede2c,61036dc7d8f897a2c9ba30f7,2021-07-29_20h11.41.541,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3017,-85.59063721,-55.34613037,1,0,0,response5disk,,2,-0.381896973,-7.20892334,1,0,0,rectangle,-0.381896973,-7.20892334,1,0,0,-0.381896973,-7.20892334,1,0,0,0,5,5,89,1,
