key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0593,space,22.7112,space,21.9524,space,8.1465,space,5.1145,space,3.949,104,FF,35.5,101.5,1,0,0,response1disk_5,7,5.6194,6,1,1,0,0,rectangle_8,6,1,1,0,0,6,1,1,0,0,0,0,0,0,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,PF,-57.5,-92.5,1,0,0,response5disk_5,3,6.5619,1,3,1,0,0,rectangle_8,41,97.5,1,0,0,0,0.5,1,0,0,0,1,1,2,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.7255,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,FF,54.5,109.5,1,0,0,response1disk_5,7,2.1101,1.5,2,1,0,0,rectangle_8,1.5,2,1,0,0,1.5,2,1,0,0,0,2,2,5,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,-55.5,-83,1,0,0,response5disk_5,3,2.8225,-7.5,2,1,0,0,rectangle_8,-7.5,2,1,0,0,-7.5,2,1,0,0,0,3,3,6,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,107.5,39.5,1,0,0,response1disk_5,6,4.537,2,-4,1,0,0,rectangle_8,26,93.5,1,0,0,9,1,1,0,0,0,4,4,1,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.2285,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,93,66.5,1,0,0,response1disk_5,6,3.4579,10.5,5,1,0,0,rectangle_8,10.5,5,1,0,0,10.5,5,1,0,0,0,5,5,3,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,79,-66,1,0,0,response3disk_5,5,3.3025,-12,1.5,1,0,0,rectangle_8,-12,1.5,1,0,0,-12,1.5,1,0,0,0,6,6,4,1,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,10.0036,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2014,3016,104,-43,1,0,0,response3disk,,5,10,0.5,1,0,0,rectangle,10,0.5,1,0,0,10,0.5,1,0,0,0,0,0,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3086,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2865,45.5,-112.5,1,0,0,response3disk,,4,2,9,1,0,0,rectangle,2,9,1,0,0,2,9,1,0,0,0,1,1,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3668,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,448,93,-42.5,1,0,0,response3disk,,5,23.5,3,1,0,0,rectangle,23.5,3,1,0,0,23.5,3,1,0,0,0,2,2,21,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9736,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,397,86.5,43,1,0,0,response1disk,,6,-4,0,1,0,0,rectangle,-4,0,1,0,0,-4,0,1,0,0,0,3,3,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2003,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4289,26,76.5,1,0,0,response1disk,,7,20.5,-6.5,1,0,0,rectangle,20.5,-6.5,1,0,0,20.5,-6.5,1,0,0,0,4,4,98,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8762,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1227,-49,-109,1,0,0,response5disk,,3,-11.5,3,1,0,0,rectangle,-11.5,3,1,0,0,-11.5,3,1,0,0,0,5,5,100,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1218,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3637,-100,-39.5,1,0,0,response5disk,,2,3.5,7,1,0,0,rectangle,3.5,7,1,0,0,3.5,7,1,0,0,0,6,6,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3904,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1238,55,-108.5,1,0,0,response3disk,,4,-6,0.5,1,0,0,rectangle,-6,0.5,1,0,0,-6,0.5,1,0,0,0,7,7,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2225,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1060,93,-43,1,0,0,response3disk,,5,-30.5,8.5,1,0,0,rectangle,-30.5,8.5,1,0,0,-30.5,8.5,1,0,0,0,8,8,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3391,,,,,,,,,,,,,,,,,,,,,,61006bb50007a5f767a7c6e6,61036fbd0e0d4962e2eb00e6,2021-07-29_23h21.45.162,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1414,103,-42,1,0,0,response3disk,,5,14,2.5,1,0,0,rectangle,14,2.5,1,0,0,14,2.5,1,0,0,0,9,9,146,1,,,,,,,,
