key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6533,space,19.2504,space,21.3862,space,2.9937,space,1.4185,space,2.8527,46,PF,46.31652832,109.6744385,1,0,0,response1disk_5,7,12.0729,20.7868042,4.72744751,1,0,0,rectangle_8,20.7868042,4.72744751,1,0,0,20.7868042,4.72744751,1,0,0,0,0,0,6,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,PF,39.09844971,-78.78790283,1,0,0,response3disk_5,4,8.9017,-4.25378418,-0.670532227,1,0,0,rectangle_8,64.79278564,-40.49285889,1,0,0,-14.09680176,-9.52746582,1,0,0,0,1,1,4,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.2019,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,41.32519531,87.60385132,1,0,0,response1disk_5,7,2.8505,3.963317871,-7.728149414,1,0,0,rectangle_8,3.963317871,-7.728149414,1,0,0,3.963317871,-7.728149414,1,0,0,0,2,2,2,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,FF,-25.59069824,-59.75817871,1,0,0,response5disk_5,3,1.4495,13.9083252,6.508514404,1,0,0,rectangle_8,13.9083252,6.508514404,1,0,0,13.9083252,6.508514404,1,0,0,0,3,3,3,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,FF,44.33752441,-91.51751709,1,0,0,response3disk_5,4,1.1507,-4.424987793,-3.463562012,1,0,0,rectangle_8,68.12322998,-40.84146118,1,0,0,-5.894714355,-12.2166748,1,0,0,0,4,4,5,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.7003,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,FF,-35.81243896,-70.70849609,1,0,0,response5disk_5,3,1.9999,5.81060791,3.992553711,1,0,0,rectangle_8,5.81060791,3.992553711,1,0,0,5.81060791,3.992553711,1,0,0,0,5,5,0,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,PF,-66.80212402,-27.24951172,1,0,0,response5disk_5,2,1.5173,8.508056641,-7.848266602,1,0,0,rectangle_8,8.508056641,-7.848266602,1,0,0,8.508056641,-7.848266602,1,0,0,0,6,6,1,1,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1508,,,,,,,,,,,,,,,,,,,,,,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5302,323,103.5889282,-35.3861084,1,0,0,response3disk,,5,7.88104248,-4.49798584,1,0,0,rectangle,7.88104248,-4.49798584,1,0,0,7.88104248,-4.49798584,1,0,0,0,0,0,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4834,,,,,,,,,,,,,,,,,,,,,,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,194,-54.2076416,-69.61181641,1,0,0,response5disk,,3,24.01757813,-1.317565918,1,0,0,rectangle,24.01757813,-1.317565918,1,0,0,24.01757813,-1.317565918,1,0,0,0,1,1,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0168,,,,,,,,,,,,,,,,,,,,,,610071da1faac9f7561d984f,610368e95259933529c75296,2021-07-29_21h51.14.929,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1239,-60.81341553,-25.79144287,1,0,0,response5disk,,2,-18.80505371,-4.150878906,1,0,0,rectangle,-18.80505371,-4.150878906,1,0,0,-18.80505371,-4.150878906,1,0,0,0,2,2,5,1,,,,,,,,
