key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5132,space,15.5295,space,44.8664,space,5.5154,space,1.5157,space,5.3941,88,FF,-43.20703125,101.1132813,1,0,0,response7disk_5,0,5.4014,-5.35546875,-0.9609375,1,0,0,rectangle_8,-5.35546875,-0.9609375,1,0,0,-5.35546875,-0.9609375,1,0,0,0,0,0,3,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,90.2265625,-31.75,1,0,0,response3disk_5,5,4.3829,0.53515625,3.23046875,1,0,0,rectangle_8,-80.42578125,-46.51953125,1,0,0,11.6484375,4.44140625,1,0,0,0,1,1,6,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.468,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,28.2421875,69.74609375,1,0,0,response1disk_5,7,2.6,4.6640625,6.20703125,1,0,0,rectangle_8,4.6640625,6.20703125,1,0,0,4.6640625,6.20703125,1,0,0,0,2,2,1,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,FF,102.8164063,39.56640625,1,0,0,response1disk_5,6,2.6497,9.71875,5.859375,1,0,0,rectangle_8,9.71875,5.859375,1,0,0,9.71875,5.859375,1,0,0,0,3,3,0,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,-22.18359375,-69.1953125,1,0,0,response5disk_5,3,2.7816,3.09765625,6.01953125,1,0,0,rectangle_8,-73.66796875,-43.28125,1,0,0,1.44140625,-2.37109375,1,0,0,0,4,4,2,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.5506,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,53.328125,-90.55078125,1,0,0,response3disk_5,4,2.6157,3.73046875,2.83984375,1,0,0,rectangle_8,3.73046875,2.83984375,1,0,0,3.73046875,2.83984375,1,0,0,0,5,5,5,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,-35.00390625,-104.46875,1,0,0,response5disk_5,3,3.5838,17.5234375,10.9921875,1,0,0,rectangle_8,17.5234375,10.9921875,1,0,0,17.5234375,10.9921875,1,0,0,0,6,6,4,1,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.819,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2183,790,40.5859375,-85.83984375,1,0,0,response3disk,,4,1.19140625,8.02734375,1,0,0,rectangle,1.19140625,8.02734375,1,0,0,1.19140625,8.02734375,1,0,0,0,0,0,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5492,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,907,-37.359375,-63.34765625,1,0,0,response5disk,,3,8.0390625,-0.640625,1,0,0,rectangle,8.0390625,-0.640625,1,0,0,8.0390625,-0.640625,1,0,0,0,1,1,93,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1675,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3203,-71.0625,23.43359375,1,0,0,response7disk,,1,-1.78515625,5.25,1,0,0,rectangle,-1.78515625,5.25,1,0,0,-1.78515625,5.25,1,0,0,0,2,2,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5165,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2906,-44.42578125,-76.38671875,1,0,0,response5disk,,3,-5.2734375,-3.27734375,1,0,0,rectangle,-5.2734375,-3.27734375,1,0,0,-5.2734375,-3.27734375,1,0,0,0,3,3,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2667,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1911,79.7421875,-47.44140625,1,0,0,response3disk,,5,10.21484375,6.796875,1,0,0,rectangle,10.21484375,6.796875,1,0,0,10.21484375,6.796875,1,0,0,0,4,4,103,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3163,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,451,114.7539063,90.6953125,1,0,0,response1disk,,6,-5.6015625,-4.6328125,1,0,0,rectangle,-5.6015625,-4.6328125,1,0,0,-5.6015625,-4.6328125,1,0,0,0,5,5,148,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2333,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1630,122.2265625,-28.6328125,1,0,0,response3disk,,5,19.74609375,0.71484375,1,0,0,rectangle,19.74609375,0.71484375,1,0,0,19.74609375,0.71484375,1,0,0,0,6,6,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6009,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1155,77.359375,20.0859375,1,0,0,response1disk,,6,1.10546875,1.359375,1,0,0,rectangle,1.10546875,1.359375,1,0,0,1.10546875,1.359375,1,0,0,0,7,7,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5654,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1416,99.859375,51.4140625,1,0,0,response1disk,,6,1.7578125,-8.43359375,1,0,0,rectangle,1.7578125,-8.43359375,1,0,0,1.7578125,-8.43359375,1,0,0,0,8,8,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4673,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1010,53.4453125,92.703125,1,0,0,response1disk,,7,23.63671875,9.40625,1,0,0,rectangle,23.63671875,9.40625,1,0,0,23.63671875,9.40625,1,0,0,0,9,9,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.334,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,325,91.1015625,57.140625,1,0,0,response1disk,,6,16.19140625,12.5078125,1,0,0,rectangle,16.19140625,12.5078125,1,0,0,16.19140625,12.5078125,1,0,0,0,10,10,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9174,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1171,44.41796875,122.8398438,1,0,0,response1disk,,7,-1.62890625,-10.46875,1,0,0,rectangle,-1.62890625,-10.46875,1,0,0,-1.62890625,-10.46875,1,0,0,0,11,11,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1162,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1144,38.01953125,-52.73046875,1,0,0,response3disk,,4,28.01953125,3.06640625,1,0,0,rectangle,28.01953125,3.06640625,1,0,0,28.01953125,3.06640625,1,0,0,0,12,12,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3677,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4014,46.98828125,-30.4375,1,0,0,response3disk,,5,8.953125,-0.5390625,1,0,0,rectangle,8.953125,-0.5390625,1,0,0,8.953125,-0.5390625,1,0,0,0,13,13,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.467,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3051,-42.37890625,-72.328125,1,0,0,response5disk,,3,-18.796875,-5.95703125,1,0,0,rectangle,-18.796875,-5.95703125,1,0,0,-18.796875,-5.95703125,1,0,0,0,14,14,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9825,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3956,31.94921875,57.39453125,1,0,0,response1disk,,7,1.296875,-12.65234375,1,0,0,rectangle,1.296875,-12.65234375,1,0,0,1.296875,-12.65234375,1,0,0,0,15,15,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6331,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1517,80.3046875,39.69921875,1,0,0,response1disk,,6,7.7109375,-2.7109375,1,0,0,rectangle,7.7109375,-2.7109375,1,0,0,7.7109375,-2.7109375,1,0,0,0,16,16,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1002,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3803,41.30078125,-91.97265625,1,0,0,response3disk,,4,13.8984375,-4.5078125,1,0,0,rectangle,13.8984375,-4.5078125,1,0,0,13.8984375,-4.5078125,1,0,0,0,17,17,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0161,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2133,85.58984375,44.3515625,1,0,0,response1disk,,6,20.01953125,1.3515625,1,0,0,rectangle,20.01953125,1.3515625,1,0,0,20.01953125,1.3515625,1,0,0,0,18,18,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9333,,,,,,,,,,,,,,,,,,,,,,61007d3e328431a4409a59cc,61036ca384ad83fd30723a66,2021-07-29_23h06.50.173,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,733,32.53125,-54.4609375,1,0,0,response3disk,,4,14.49609375,2.765625,1,0,0,rectangle,14.49609375,2.765625,1,0,0,14.49609375,2.765625,1,0,0,0,19,19,88,1,,,,,,,,
