key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.429,space,14.385,space,43.683,space,11.135,space,3.814,space,5.976,149,FF,40,84,1,0,0,response1disk_5,7,9.806,11,-6,1,0,0,rectangle_8,11,-6,1,0,0,11,-6,1,0,0,0,0,0,5,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,52,-41,1,0,0,response3disk_5,5,6.536,10,3,1,0,0,rectangle_8,72,31,1,0,0,11,-3,1,0,0,0,1,1,6,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.335,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,-30,-84,1,0,0,response5disk_5,3,10.537,-4,0,1,0,0,rectangle_8,-4,0,1,0,0,-4,0,1,0,0,0,2,2,4,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,40,-88,1,0,0,response3disk_5,4,7.002,0,-9,1,0,0,rectangle_8,0,-9,1,0,0,0,-9,1,0,0,0,3,3,1,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,102,37,1,0,0,response1disk_5,6,5.986,14,9,1,0,0,rectangle_8,96,42,1,0,0,9,-3,1,0,0,0,4,4,2,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.952,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,FF,-42,-30,1,0,0,response5disk_5,2,1.768,5,-6,1,0,0,rectangle_8,5,-6,1,0,0,5,-6,1,0,0,0,5,5,3,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,-38,-22,1,0,0,response5disk_5,2,1.667,-8,3,1,0,0,rectangle_8,-8,3,1,0,0,-8,3,1,0,0,0,6,6,0,1,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.217,,,,,,,,,,,,,,,,,,,,,,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.33,2886,-31,75,1,0,0,response7disk,,0,14,2,1,0,0,rectangle,14,2,1,0,0,14,2,1,0,0,0,0,0,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.301,,,,,,,,,,,,,,,,,,,,,,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3832,24,-74,1,0,0,response3disk,,4,-16,1,1,0,0,rectangle,-16,1,1,0,0,-16,1,1,0,0,0,1,1,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,61007d53537409cd3125c6ca,610368a8ded861a44430ef19,2021-07-29_19h51.38.465,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3062,-36,-66,1,0,0,response5disk,,3,16,-7,1,0,0,rectangle,16,-7,1,0,0,16,-7,1,0,0,0,2,2,74,1,,,,,,,,
