key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.229,space,1.7528,space,19.6773,space,8.077,space,1.7569,space,3.4631,146,PF,-37.99998206,-83.33334655,1,0,0,response5disk_5,3,2.2834,10.66668606,-0.666677415,1,0,0,rectangle_8,10.66668606,-0.666677415,1,0,0,10.66668606,-0.666677415,1,0,0,0,0,0,2,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,59.33335418,-36.0000118,1,0,0,response3disk_5,5,2.4492,-13.33331466,2.666656017,1,0,0,rectangle_8,94.66668856,-34.00001174,1,0,0,8.000019312,3.99998939,1,0,0,0,1,1,4,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.3832,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,89.33335507,-42.00001198,1,0,0,response3disk_5,5,1.8365,-1.3333143,1.999989331,1,0,0,rectangle_8,-1.3333143,1.999989331,1,0,0,-1.3333143,1.999989331,1,0,0,0,2,2,3,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,-51.99998248,-31.333345,1,0,0,response5disk_5,2,1.3494,11.33339343,3.333322704,1,0,0,rectangle_8,11.33339343,3.333322704,1,0,0,11.33339343,3.333322704,1,0,0,0,3,3,1,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,FF,75.33335465,45.99999064,1,0,0,response1disk_5,6,1.9994,11.33339343,-8.666677654,1,0,0,rectangle_8,75.33335465,-30.00001162,1,0,0,14.00001949,4.666656077,1,0,0,0,4,4,0,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.5323,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,43.3333537,91.33330498,1,0,0,response1disk_5,7,1.099,-8.666607161,9.333322883,1,0,0,rectangle_8,-8.666607161,9.333322883,1,0,0,-8.666607161,9.333322883,1,0,0,0,5,5,5,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,PF,30.00001997,-73.33334625,1,0,0,response3disk_5,4,2.249,10.00001937,7.333322823,1,0,0,rectangle_8,10.00001937,7.333322823,1,0,0,10.00001937,7.333322823,1,0,0,0,6,6,6,1,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3325,,,,,,,,,,,,,,,,,,,,,,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,1.8865,2518,88.0000217,53.33330385,1,0,0,response1disk,,6,-7.333314478,-4.000010848,1,0,0,rectangle,-7.333314478,-4.000010848,1,0,0,-7.333314478,-4.000010848,1,0,0,0,0,0,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0993,,,,,,,,,,,,,,,,,,,,,,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2098,-38.66660806,79.33330462,1,0,0,response7disk,,0,8.000019312,2.666656017,1,0,0,rectangle,8.000019312,2.666656017,1,0,0,8.000019312,2.666656017,1,0,0,0,1,1,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4823,,,,,,,,,,,,,,,,,,,,,,61008a516a9d46f003cb6555,61036dde9e8d31fb246e275f,2021-07-29_23h11.56.684,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2211,40.00002027,69.99999136,1,0,0,response1disk,,7,4.000019193,-2.000010788,1,0,0,rectangle,4.000019193,-2.000010788,1,0,0,4.000019193,-2.000010788,1,0,0,0,2,2,133,1,,,,,,,,
