key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4816,space,8.6116,space,23.2201,space,2.1835,space,0.7854,space,4.5338,105,PF,38.18359375,75.1875,1,0,0,response1disk_5,7,6.268,4.0703125,-6.3203125,1,0,0,rectangle_8,4.0703125,-6.3203125,1,0,0,4.0703125,-6.3203125,1,0,0,0,0,0,4,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,40.41796875,83.7734375,1,0,0,response1disk_5,7,1.3179,-5.37109375,-3.5703125,1,0,0,rectangle_8,87.8046875,37.40625,1,0,0,-1.3984375,-1.5703125,1,0,0,0,1,1,1,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6516,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,PF,40.69140625,71.46875,1,0,0,response1disk_5,7,1.418,-1.3515625,-5.15234375,1,0,0,rectangle_8,-1.3515625,-5.15234375,1,0,0,-1.3515625,-5.15234375,1,0,0,0,2,2,6,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,FF,42.38671875,84.34375,1,0,0,response1disk_5,7,0.8671,2.73828125,-2.75,1,0,0,rectangle_8,2.73828125,-2.75,1,0,0,2.73828125,-2.75,1,0,0,0,3,3,5,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,38.44921875,75.0390625,1,0,0,response1disk_5,7,3.2505,0.98046875,7.57421875,1,0,0,rectangle_8,97.44140625,55.484375,1,0,0,-4.59765625,-0.484375,1,0,0,0,4,4,2,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.6329,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,FF,32.2578125,68.35546875,1,0,0,response1disk_5,7,0.7329,1.91015625,8.38671875,1,0,0,rectangle_8,1.91015625,8.38671875,1,0,0,1.91015625,8.38671875,1,0,0,0,5,5,3,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,FF,44.87109375,73.55859375,1,0,0,response1disk_5,7,0.75,6.6015625,1.97265625,1,0,0,rectangle_8,6.6015625,1.97265625,1,0,0,6.6015625,1.97265625,1,0,0,0,6,6,0,1,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1842,,,,,,,,,,,,,,,,,,,,,,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6091,2254,31.18359375,78.796875,1,0,0,response1disk,,7,4.2109375,-2.35546875,1,0,0,rectangle,4.2109375,-2.35546875,1,0,0,4.2109375,-2.35546875,1,0,0,0,0,0,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7179,,,,,,,,,,,,,,,,,,,,,,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2191,46.796875,74.984375,1,0,0,response1disk,,7,3.34375,-10.0703125,1,0,0,rectangle,3.34375,-10.0703125,1,0,0,3.34375,-10.0703125,1,0,0,0,1,1,20,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,6100914955639de64ec75a58,61036e50cd475cdc97453beb,2021-07-29_23h13.49.747,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,262,-74.34375,-34.765625,1,0,0,response5disk,,2,-16.921875,9.09375,1,0,0,rectangle,-16.921875,9.09375,1,0,0,-16.921875,9.09375,1,0,0,0,2,2,59,1,,,,,,,,
