key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.115,space,8.2257,space,15.6981,space,3.878,space,1.0515,space,3.8368,85,PF,49.11397702,-100.7983966,1,0,0,response3disk_5,4,12.0836,-1.604383111,-7.428961626,1,0,0,rectangle_8,-1.604383111,-7.428961626,1,0,0,-1.604383111,-7.428961626,1,0,0,0,0,0,6,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,40.54810775,121.5207717,1,0,0,response1disk_5,7,4.2323,-6.64647303,-1.449371693,1,0,0,rectangle_8,-64.99432546,33.50424211,1,0,0,-11.84266451,2.746526807,1,0,0,0,1,1,2,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,5.1182,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,FF,-40.97367081,131.3353471,1,0,0,response7disk_5,0,3.0182,-10.87821137,-14.63096369,1,0,0,rectangle_8,-10.87821137,-14.63096369,1,0,0,-10.87821137,-14.63096369,1,0,0,0,2,2,3,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,PF,96.38409491,46.87387121,1,0,0,response1disk_5,6,8.4669,8.617443213,-3.449420551,1,0,0,rectangle_8,8.617443213,-3.449420551,1,0,0,8.617443213,-3.449420551,1,0,0,0,3,3,1,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,PF,-99.30614238,-36.87012417,1,0,0,response5disk_5,2,8.9663,9.877990107,-12.32954764,1,0,0,rectangle_8,-95.10062474,60.6556097,1,0,0,-4.050818694,-10.32549487,1,0,0,0,4,4,4,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.7328,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,45.40489493,119.010469,1,0,0,response1disk_5,7,3.199,7.755089685,8.517474158,1,0,0,rectangle_8,7.755089685,8.517474158,1,0,0,7.755089685,8.517474158,1,0,0,0,5,5,5,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,28.20040249,-76.99932399,1,0,0,response3disk_5,4,2.634,2.261730228,-6.088727231,1,0,0,rectangle_8,2.261730228,-6.088727231,1,0,0,2.261730228,-6.088727231,1,0,0,0,6,6,0,1,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.6507,,,,,,,,,,,,,,,,,,,,,,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,3.0467,2781,-56.19862221,-74.5344802,1,0,0,response5disk,,3,9.978136593,-13.86109063,1,0,0,rectangle,9.978136593,-13.86109063,1,0,0,9.978136593,-13.86109063,1,0,0,0,0,0,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9004,,,,,,,,,,,,,,,,,,,,,,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,328,72.51612581,108.6898145,1,0,0,response1disk,,7,14.06622259,4.532513161,1,0,0,rectangle,14.06622259,4.532513161,1,0,0,14.06622259,4.532513161,1,0,0,0,1,1,140,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6666,,,,,,,,,,,,,,,,,,,,,,610092cd118be400cb5a66fa,61036b6f59129d8a6f89f1a0,2021-07-29_22h05.14.943,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3109,79.55938763,-33.93823936,1,0,0,response3disk,,5,11.59039248,-10.52173511,1,0,0,rectangle,11.59039248,-10.52173511,1,0,0,11.59039248,-10.52173511,1,0,0,0,2,2,91,1,,,,,,,,
