key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.363895,space,5.51331,space,15.18898,space,15.33549,space,2.16645,space,5.14323,26,FF,96.296875,64.51953125,1,0,0,response1disk_5,6,6.80726,-1.0703125,1.890625,1,0,0,rectangle_8,-1.0703125,1.890625,1,0,0,-1.0703125,1.890625,1,0,0,0,0,0,3,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,FF,38.78125,-80.40625,1,0,0,response3disk_5,4,6.29851,1.66796875,1.9765625,1,0,0,rectangle_8,-41.390625,-109.1445313,1,0,0,-7.7109375,7.87890625,1,0,0,0,1,1,5,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,4.28453,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,PF,-70.6171875,-52.27734375,1,0,0,response5disk_5,2,3.552445,1.484375,0.11328125,1,0,0,rectangle_8,1.484375,0.11328125,1,0,0,1.484375,0.11328125,1,0,0,0,2,2,4,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,FF,41.0703125,108.6757813,1,0,0,response1disk_5,7,2.26697,1.79296875,5.75390625,1,0,0,rectangle_8,1.79296875,5.75390625,1,0,0,1.79296875,5.75390625,1,0,0,0,3,3,0,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,58.73828125,-98.03125,1,0,0,response3disk_5,4,2.76455,-6.1953125,3.23828125,1,0,0,rectangle_8,-45.43359375,-86.65625,1,0,0,12.20703125,1.765625,1,0,0,0,4,4,1,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.16614,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,90.9921875,-58.18359375,1,0,0,response3disk_5,5,3.215605,7.8203125,4.1953125,1,0,0,rectangle_8,7.8203125,4.1953125,1,0,0,7.8203125,4.1953125,1,0,0,0,5,5,2,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,42.54296875,72.48046875,1,0,0,response1disk_5,7,1.583535,-1.515625,1.25390625,1,0,0,rectangle_8,-1.515625,1.25390625,1,0,0,-1.515625,1.25390625,1,0,0,0,6,6,6,1,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.818975,,,,,,,,,,,,,,,,,,,,,,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.176605,1658,85.25390625,-51.875,1,0,0,response3disk,,5,-2.47265625,2.80859375,1,0,0,rectangle,-2.47265625,2.80859375,1,0,0,-2.47265625,2.80859375,1,0,0,0,0,0,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.599905,,,,,,,,,,,,,,,,,,,,,,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3743,-84.6875,46.5625,1,0,0,response7disk,,1,-4.90234375,-0.74609375,1,0,0,rectangle,-4.90234375,-0.74609375,1,0,0,-4.90234375,-0.74609375,1,0,0,0,1,1,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.416845,,,,,,,,,,,,,,,,,,,,,,6100987a26cc8c75ffe99d67,61036d956c80f4089f7f113f,2021-07-29_23h10.50.999,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3343,-84.9921875,29.80859375,1,0,0,response7disk,,1,-2.04296875,0.29296875,1,0,0,rectangle,-2.04296875,0.29296875,1,0,0,-2.04296875,0.29296875,1,0,0,0,2,2,49,1,,,,,,,,
