key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4257,space,2.5183,space,34.6877,space,11.1347,space,0.2656,space,4.007,27,PF,-70.44193296,-42.92056372,1,0,0,response5disk_5,2,3.5679,7.574913901,-6.018268246,1,0,0,rectangle_8,7.574913901,-6.018268246,1,0,0,7.574913901,-6.018268246,1,0,0,0,0,0,2,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,PF,48.3434692,-108.2578206,1,0,0,response3disk_5,4,1.9507,1.516808342,-5.094440107,1,0,0,rectangle_8,-68.01468684,30.16173718,1,0,0,4.980675581,-2.990094372,1,0,0,0,1,1,4,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.5012,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,121.6965953,64.08075624,1,0,0,response1disk_5,6,2.1272,8.597130713,0.419866616,1,0,0,rectangle_8,8.597130713,0.419866616,1,0,0,8.597130713,0.419866616,1,0,0,0,2,2,3,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,49.07125241,78.53314903,1,0,0,response1disk_5,7,2.4331,12.24044131,-10.64492847,1,0,0,rectangle_8,12.24044131,-10.64492847,1,0,0,12.24044131,-10.64492847,1,0,0,0,3,3,0,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,49.99166258,83.41090789,1,0,0,response1disk_5,7,1.3825,-9.542517995,-0.738824808,1,0,0,rectangle_8,-83.23758745,38.74391504,1,0,0,-12.63787937,5.192571765,1,0,0,0,4,4,5,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.8164,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,-105.419912,-71.27232195,1,0,0,response5disk_5,2,1.6228,-13.4530161,-5.470367847,1,0,0,rectangle_8,-13.4530161,-5.470367847,1,0,0,-13.4530161,-5.470367847,1,0,0,0,5,5,1,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,-81.03680617,-61.70923587,1,0,0,response5disk_5,2,2.332,-2.039588196,-2.061432249,1,0,0,rectangle_8,-2.039588196,-2.061432249,1,0,0,-2.039588196,-2.061432249,1,0,0,0,6,6,6,1,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0104,,,,,,,,,,,,,,,,,,,,,,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,1.9869,2422,-63.21146411,-30.6055733,1,0,0,response5disk,,2,6.250597475,3.583929163,1,0,0,rectangle,6.250597475,3.583929163,1,0,0,6.250597475,3.583929163,1,0,0,0,0,0,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2184,,,,,,,,,,,,,,,,,,,,,,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1395,41.28155503,-74.19795676,1,0,0,response3disk,,4,-2.365760076,-1.977350217,1,0,0,rectangle,-2.365760076,-1.977350217,1,0,0,-2.365760076,-1.977350217,1,0,0,0,1,1,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6691,,,,,,,,,,,,,,,,,,,,,,6100a1f6c5c81614e604da15,61036d9296564cde52710f75,2021-07-29_21h11.39.915,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,957,-38.86161023,-66.46358165,1,0,0,response5disk,,3,12.7721796,-3.417779926,1,0,0,rectangle,12.7721796,-3.417779926,1,0,0,12.7721796,-3.417779926,1,0,0,0,2,2,94,1,,,,,,,,
