key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7696,space,6.288,space,26.3114,space,3.8241,space,2.0696,space,3.653,25,FF,33.60006077,70.39999461,1,0,0,response1disk_5,7,4.6217,-2.399939764,-15.20000666,1,0,0,rectangle_8,-2.399939764,-15.20000666,1,0,0,-2.399939764,-15.20000666,1,0,0,0,0,0,5,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,-78.3999409,36.79999411,1,0,0,response7disk_5,1,4.1706,-26.39994012,1.599993587,1,0,0,rectangle_8,-88.79998988,51.99999434,1,0,0,5.600060356,-10.40000659,1,0,0,0,1,1,6,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.4514,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,61.60001236,22.3999939,1,0,0,response1disk_5,6,2.035,20.00001174,2.399993598,1,0,0,rectangle_8,20.00001174,2.399993598,1,0,0,20.00001174,2.399993598,1,0,0,0,2,2,3,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,68.80001247,38.39999413,1,0,0,response1disk_5,6,1.3347,20.00001174,4.799993634,1,0,0,rectangle_8,20.00001174,4.799993634,1,0,0,20.00001174,4.799993634,1,0,0,0,3,3,2,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,36.00001198,90.39999491,1,0,0,response1disk_5,7,1.1839,-6.399939823,3.999993622,1,0,0,rectangle_8,-73.59998965,41.59999418,1,0,0,-9.599988699,-2.400006473,1,0,0,0,4,4,1,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.8344,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,FF,51.20001221,79.19997033,1,0,0,response1disk_5,7,1.6184,10.4000116,-8.800006568,1,0,0,rectangle_8,10.4000116,-8.800006568,1,0,0,10.4000116,-8.800006568,1,0,0,0,5,5,0,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,53.60001224,-42.40000707,1,0,0,response3disk_5,5,1.3848,12.00001162,-1.600006461,1,0,0,rectangle_8,12.00001162,-1.600006461,1,0,0,12.00001162,-1.600006461,1,0,0,0,6,6,4,1,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2839,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9595,957,61.60001236,41.59999418,1,0,0,response1disk,,6,26.40001184,6.399993658,1,0,0,rectangle,26.40001184,6.399993658,1,0,0,26.40001184,6.399993658,1,0,0,0,0,0,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2171,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1344,34.40001196,71.99999464,1,0,0,response1disk,,7,-2.399939764,-8.000006557,1,0,0,rectangle,-2.399939764,-8.000006557,1,0,0,-2.399939764,-8.000006557,1,0,0,0,1,1,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.118,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3592,-78.3999409,-32.00000691,1,0,0,response5disk,,2,-12.79998875,-6.4373E-06,1,0,0,rectangle,-12.79998875,-6.4373E-06,1,0,0,-12.79998875,-6.4373E-06,1,0,0,0,2,2,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0839,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4342,59.20001233,107.1999707,1,0,0,response1disk,,7,17.60006053,7.19999367,1,0,0,rectangle,17.60006053,7.19999367,1,0,0,17.60006053,7.19999367,1,0,0,0,3,3,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4514,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,63,82.40001267,-54.40000725,1,0,0,response3disk,,5,-4.799988627,14.39999378,1,0,0,rectangle,-4.799988627,14.39999378,1,0,0,-4.799988627,14.39999378,1,0,0,0,4,4,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2842,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1300,-39.19998914,-104.800008,1,0,0,response5disk,,3,12.80001163,1.599993587,1,0,0,rectangle,12.80001163,1.599993587,1,0,0,12.80001163,1.599993587,1,0,0,0,5,5,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1514,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1618,31.20001191,-59.20000732,1,0,0,response3disk,,4,16.00001168,-4.000006497,1,0,0,rectangle,16.00001168,-4.000006497,1,0,0,16.00001168,-4.000006497,1,0,0,0,6,6,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3844,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4119,-31.99998903,-91.2000078,1,0,0,response5disk,,3,8.000011563,-4.000006497,1,0,0,rectangle,8.000011563,-4.000006497,1,0,0,8.000011563,-4.000006497,1,0,0,0,7,7,125,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2334,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1700,40.80001205,78.39999473,1,0,0,response1disk,,7,11.20001161,5.599993646,1,0,0,rectangle,11.20001161,5.599993646,1,0,0,11.20001161,5.599993646,1,0,0,0,8,8,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3016,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1517,44.80001211,71.19997021,1,0,0,response1disk,,7,5.600060356,-4.800006509,1,0,0,rectangle,5.600060356,-4.800006509,1,0,0,5.600060356,-4.800006509,1,0,0,0,9,9,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2293,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3800,84.0000127,52.79999435,1,0,0,response1disk,,6,5.600060356,0.799993575,1,0,0,rectangle,5.600060356,0.799993575,1,0,0,5.600060356,0.799993575,1,0,0,0,10,10,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4672,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3378,-39.99998915,-73.60000753,1,0,0,response5disk,,3,-2.399939764,-4.000006497,1,0,0,rectangle,-2.399939764,-4.000006497,1,0,0,-2.399939764,-4.000006497,1,0,0,0,11,11,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2676,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3940,-60.79998946,-38.40000701,1,0,0,response5disk,,2,11.20001161,-2.400006473,1,0,0,rectangle,11.20001161,-2.400006473,1,0,0,11.20001161,-2.400006473,1,0,0,0,12,12,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4338,,,,,,,,,,,,,,,,,,,,,,6100a8709599c7ce38d7c4a7,61036de9eb579a8efc685ebe,2021-07-29_22h12.16.311,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2224,59.20001233,45.59999424,1,0,0,response1disk,,6,0.800011456,11.99999374,1,0,0,rectangle,0.800011456,11.99999374,1,0,0,0.800011456,11.99999374,1,0,0,0,13,13,138,1,,,,,,,,
