key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.44671,space,31.125575,space,50.151395,space,21.39966,space,3.187245,space,6.61432,89,PF,38.79174805,46.37145996,1,0,1,response1disk_5,7,43.9149,14.66223145,-2.332550049,1,0,1,rectangle_8,14.66223145,-2.332550049,1,0,1,14.66223145,-2.332550049,1,0,1,0,0,0,6,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,PF,26.70251465,-63.83303833,1,0,1,response3disk_5,4,2.63344,16.00396729,-4.345611572,1,0,1,rectangle_8,-50.61004639,-76.41049194,1,0,1,-4.837280273,-1.235137939,1,0,1,0,1,1,4,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.93377,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,FF,53.5581665,-77.52841187,1,0,1,response3disk_5,4,6.616285,0.80255127,-4.650878906,1,0,1,rectangle_8,0.80255127,-4.650878906,1,0,1,0.80255127,-4.650878906,1,0,1,0,2,2,5,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,-87.83831787,-50.82983398,1,0,1,response5disk_5,2,2.716415,-2.696105957,-3.500640869,1,0,1,rectangle_8,-2.696105957,-3.500640869,1,0,1,-2.696105957,-3.500640869,1,0,1,0,3,3,0,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,FF,-63.10186768,50.93261719,1,0,1,response7disk_5,1,1.58338,3.649780273,2.042358398,1,0,1,rectangle_8,-46.72167969,-84.79730225,1,0,1,23.57220459,12.28173828,1,0,1,0,4,4,3,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.116665,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,30.43133545,-77.36886597,1,0,1,response3disk_5,4,2.5996,20.33483887,-1.265380859,1,0,1,rectangle_8,20.33483887,-1.265380859,1,0,1,20.33483887,-1.265380859,1,0,1,0,5,5,2,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,PF,27.93304443,-67.197052,1,0,1,response3disk_5,4,1.93327,12.39025879,-2.77355957,1,0,1,rectangle_8,12.39025879,-2.77355957,1,0,1,12.39025879,-2.77355957,1,0,1,0,6,6,1,1,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.900545,,,,,,,,,,,,,,,,,,,,,,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,7.745325,2503,68.86749268,-38.26553345,1,0,1,response3disk,,5,19.74102783,-0.425506592,1,0,1,rectangle,19.74102783,-0.425506592,1,0,1,19.74102783,-0.425506592,1,0,1,0,0,0,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.417185,,,,,,,,,,,,,,,,,,,,,,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1855,48.55895996,-38.68881226,1,0,1,response3disk,,5,2.40234375,-0.973114014,1,0,1,rectangle,2.40234375,-0.973114014,1,0,1,2.40234375,-0.973114014,1,0,1,0,1,1,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.450445,,,,,,,,,,,,,,,,,,,,,,6100ac178a474bfcc555379b,61036798113185a62b47c86b,2021-07-29_21h48.14.341,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3226,36.3729248,-69.19454956,1,0,1,response3disk,,4,11.88256836,-12.6244812,1,0,1,rectangle,11.88256836,-12.6244812,1,0,1,11.88256836,-12.6244812,1,0,1,0,2,2,4,1,,,,,,,,
