key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2352,space,19.1099,space,90.9856,space,8.3974,space,5.1716,space,9.4575,2,PF,101.8668823,29.56213379,1,0,0,response1disk_5,6,17.3051,8.626647949,-2.650604248,1,0,0,rectangle_8,8.626647949,-2.650604248,1,0,0,8.626647949,-2.650604248,1,0,0,0,0,0,2,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,PF,62.73199463,-37.21075439,1,0,0,response3disk_5,5,13.385,6.22845459,-5.647979736,1,0,0,rectangle_8,-91.55273438,-39.04156494,1,0,0,5.670288086,5.72088623,1,0,0,0,1,1,1,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,6.0847,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,PF,96.64849854,42.01580811,1,0,0,response1disk_5,6,13.8161,-4.694580078,5.640441895,1,0,0,rectangle_8,-4.694580078,5.640441895,1,0,0,-4.694580078,5.640441895,1,0,0,0,2,2,6,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,PF,-69.52581787,-73.78814697,1,0,0,response5disk_5,3,3.8506,-7.463134766,-5.147735596,1,0,0,rectangle_8,-7.463134766,-5.147735596,1,0,0,-7.463134766,-5.147735596,1,0,0,0,3,3,4,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,35.60632324,-49.66098022,1,0,0,response3disk_5,4,3.7161,-4.055847168,-5.140625,1,0,0,rectangle_8,-96.93804932,38.09719849,1,0,0,-17.87103271,6.278320313,1,0,0,0,4,4,3,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.3669,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,34.57751465,87.77041626,1,0,0,response1disk_5,7,3.183,-8.991516113,-5.213012695,1,0,0,rectangle_8,-8.991516113,-5.213012695,1,0,0,-8.991516113,-5.213012695,1,0,0,0,5,5,5,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-86.80566406,-41.14059448,1,0,0,response5disk_5,2,1.7497,-5.242858887,1.700073242,1,0,0,rectangle_8,-5.242858887,1.700073242,1,0,0,-5.242858887,1.700073242,1,0,0,0,6,6,0,1,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3175,,,,,,,,,,,,,,,,,,,,,,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,5.91,1466,-91.58984375,-54.19100952,1,0,0,response5disk,,2,-6.034301758,3.765838623,1,0,0,rectangle,-6.034301758,3.765838623,1,0,0,-6.034301758,3.765838623,1,0,0,0,0,0,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9987,,,,,,,,,,,,,,,,,,,,,,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3669,-94.07904053,47.88925171,1,0,0,response7disk,,1,-10.73840332,5.904876709,1,0,0,rectangle,-10.73840332,5.904876709,1,0,0,-10.73840332,5.904876709,1,0,0,0,1,1,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.1332,,,,,,,,,,,,,,,,,,,,,,6100aef9d0f776c296aa08b5,61036f673946c5585509af31,2021-07-29_22h19.00.632,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,999,36.29797363,-79.28204346,1,0,0,response3disk,,4,-1.016113281,-5.060455322,1,0,0,rectangle,-1.016113281,-5.060455322,1,0,0,-1.016113281,-5.060455322,1,0,0,0,2,2,70,1,,,,,,,,
