key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,8.2537,space,25.8422,space,31.052,space,18.1072,space,4.9724,space,8.6133,140,FF,50,108,1,0,0,response1disk_5,7,2.2227,-12,-11,1,0,0,rectangle_8,-12,-11,1,0,0,-12,-11,1,0,0,0,0,0,5,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,FF,34,106,1,0,0,response1disk_5,7,5.9168,9,4,1,0,0,rectangle_8,129,-72,1,0,0,3,2,1,0,0,0,1,1,3,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.066,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,FF,-90,-51,1,0,0,response5disk_5,2,5.9966,16,-2,1,0,0,rectangle_8,16,-2,1,0,0,16,-2,1,0,0,0,2,2,0,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,48,-114,1,0,0,response3disk_5,4,2.7591,3,-3,1,0,0,rectangle_8,3,-3,1,0,0,3,-3,1,0,0,0,3,3,2,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,112,48,1,0,0,response1disk_5,6,1.6187,1,-7,1,0,0,rectangle_8,126,-74,1,0,0,2,-3,1,0,0,0,4,4,6,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.3845,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,39,-127,1,0,0,response3disk_5,4,4.7481,6,4,1,0,0,rectangle_8,6,4,1,0,0,6,4,1,0,0,0,5,5,1,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,-44,-114,1,0,0,response5disk_5,3,2.2556,3,5,1,0,0,rectangle_8,3,5,1,0,0,3,5,1,0,0,0,6,6,4,1,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.881,,,,,,,,,,,,,,,,,,,,,,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,6.9692,2656,103,-52,1,0,0,response3disk,,5,2,2,1,0,0,rectangle,2,2,1,0,0,2,2,1,0,0,0,0,0,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0433,,,,,,,,,,,,,,,,,,,,,,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4027,-67,-114,1,0,0,response5disk,,3,-10,-3,1,0,0,rectangle,-10,-3,1,0,0,-10,-3,1,0,0,0,1,1,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7592,,,,,,,,,,,,,,,,,,,,,,6100ca9fe498aed972793cd7,61036d2136f49f6fa4568580,2021-07-30_05h09.05.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4348,-47,-91,1,0,0,response5disk,,3,0,2,1,0,0,rectangle,0,2,1,0,0,0,2,1,0,0,0,2,2,89,1,,,,,,,,
