key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.8433,space,14.0931,space,26.9439,space,3.5675,space,2.2322,space,10.1825,42,FF,92.09375,-40.99609375,1,0,0,response3disk_5,5,4.5009,-3.58984375,2.5859375,1,0,0,rectangle_8,-3.58984375,2.5859375,1,0,0,-3.58984375,2.5859375,1,0,0,0,0,0,3,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,PF,53.3515625,33.1640625,1,0,0,response1disk_5,6,4.1661,-3.0078125,6.078125,1,0,0,rectangle_8,35.9140625,68.70703125,1,0,0,0.875,3.96484375,1,0,0,0,1,1,1,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,5.3001,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,21.1875,-84.5703125,1,0,0,response3disk_5,4,6.933,9.41015625,4.12109375,1,0,0,rectangle_8,9.41015625,4.12109375,1,0,0,9.41015625,4.12109375,1,0,0,0,2,2,2,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,-45.359375,-66.234375,1,0,0,response5disk_5,3,1.6989,-7.6015625,-0.01953125,1,0,0,rectangle_8,-7.6015625,-0.01953125,1,0,0,-7.6015625,-0.01953125,1,0,0,0,3,3,6,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,64.515625,86.6953125,1,0,0,response1disk_5,7,3.4992,12.890625,11.25,1,0,0,rectangle_8,41.99609375,96.99609375,1,0,0,-3.8203125,-6.9921875,1,0,0,0,4,4,0,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.1322,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,101.0039063,34.203125,1,0,0,response1disk_5,6,4.7821,-0.05859375,-9.625,1,0,0,rectangle_8,-0.05859375,-9.625,1,0,0,-0.05859375,-9.625,1,0,0,0,5,5,4,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,34.8984375,73.2265625,1,0,0,response1disk_5,7,2.6669,2.26953125,0.2734375,1,0,0,rectangle_8,2.26953125,0.2734375,1,0,0,2.26953125,0.2734375,1,0,0,0,6,6,5,1,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5163,,,,,,,,,,,,,,,,,,,,,,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6906,2930,68.32421875,103.2226563,1,0,0,response1disk,,7,7.2578125,1.109375,1,0,0,rectangle,7.2578125,1.109375,1,0,0,7.2578125,1.109375,1,0,0,0,0,0,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2021,,,,,,,,,,,,,,,,,,,,,,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1351,69.35546875,64.37109375,1,0,0,response1disk,,6,0.58203125,-6.6796875,1,0,0,rectangle,0.58203125,-6.6796875,1,0,0,0.58203125,-6.6796875,1,0,0,0,1,1,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4319,,,,,,,,,,,,,,,,,,,,,,6100d28f1e251a6dff92f0df,61036e5d606dd7586d939d19,2021-07-29_23h14.13.162,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,844,49.65625,65.5703125,1,0,0,response1disk,,7,9.734375,6.265625,1,0,0,rectangle,9.734375,6.265625,1,0,0,9.734375,6.265625,1,0,0,0,2,2,0,1,,,,,,,,
