key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.347,space,6.322,space,22.698,space,14.076,space,2.53,space,6.19,118,FF,-61.5,32.5,1,0,0,response7disk_5,1,9.549,9.5,-3.5,1,0,0,rectangle_8,9.5,-3.5,1,0,0,9.5,-3.5,1,0,0,0,0,0,0,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,FF,74.5,28.5,1,0,0,response1disk_5,6,3.351,2.5,0.5,1,0,0,rectangle_8,-25.5,-79.5,1,0,0,0.5,-2.5,1,0,0,0,1,1,3,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.9,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,PF,-20.5,-75.5,1,0,0,response5disk_5,3,6.682,13.5,3.5,1,0,0,rectangle_8,13.5,3.5,1,0,0,13.5,3.5,1,0,0,0,2,2,6,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,-37.5,-21.5,1,0,0,response5disk_5,2,1.95,1.5,9.5,1,0,0,rectangle_8,1.5,9.5,1,0,0,1.5,9.5,1,0,0,0,3,3,2,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,FF,-17.5,-56.5,1,0,0,response5disk_5,3,2.233,14.5,1.5,1,0,0,rectangle_8,-30.5,-71.5,1,0,0,-5.5,-4.5,1,0,0,0,4,4,5,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.118,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,PF,71.5,-32.5,1,0,0,response3disk_5,5,2,-1.5,-3.5,1,0,0,rectangle_8,-1.5,-3.5,1,0,0,-1.5,-3.5,1,0,0,0,5,5,4,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,-43.5,-18.5,1,0,0,response5disk_5,2,1.35,4.5,0.5,1,0,0,rectangle_8,4.5,0.5,1,0,0,4.5,0.5,1,0,0,0,6,6,1,1,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.767,,,,,,,,,,,,,,,,,,,,,,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.57,1124,20.5,-70.5,1,0,0,response3disk,,4,-3.5,-2.5,1,0,0,rectangle,-3.5,-2.5,1,0,0,-3.5,-2.5,1,0,0,0,0,0,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.949,,,,,,,,,,,,,,,,,,,,,,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,926,-60.5,-30.5,1,0,0,response5disk,,2,4.5,0.5,1,0,0,rectangle,4.5,0.5,1,0,0,4.5,0.5,1,0,0,0,1,1,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.082,,,,,,,,,,,,,,,,,,,,,,6100d4108e61dace24b7fd6a,61036b483336c5504ee1554f,2021-07-29_20h01.07.277,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2702,-46.5,-22.5,1,0,0,response5disk,,2,13.5,2.5,1,0,0,rectangle,13.5,2.5,1,0,0,13.5,2.5,1,0,0,0,2,2,106,1,,,,,,,,
