key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.53813,space,6.96216,space,22.744655,space,2.019085,space,1.16668,space,5.751335,126,PF,-72.12890625,-88.515625,1,0,0,response5disk_5,3,7.16894,5.875,2.98828125,1,0,0,rectangle_8,5.875,2.98828125,1,0,0,5.875,2.98828125,1,0,0,0,0,0,1,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,64.265625,-52.6640625,1,0,0,response3disk_5,5,3.10073,7.85546875,-8.0625,1,0,0,rectangle_8,-54.703125,-81.3515625,1,0,0,1.64453125,-5.26953125,1,0,0,0,1,1,4,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.183875,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,66.3671875,78.50390625,1,0,0,response1disk_5,7,3.266035,0.44921875,-3.64453125,1,0,0,rectangle_8,0.44921875,-3.64453125,1,0,0,0.44921875,-3.64453125,1,0,0,0,2,2,0,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,PF,71.2578125,-34.5078125,1,0,0,response3disk_5,5,3.533105,27.47265625,-0.10546875,1,0,0,rectangle_8,27.47265625,-0.10546875,1,0,0,27.47265625,-0.10546875,1,0,0,0,3,3,6,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,111,FF,106.03125,28.59375,1,0,0,response1disk_5,6,1.701015,9.94921875,-6.4765625,1,0,0,rectangle_8,-61.734375,-89.01953125,1,0,0,22.83203125,2.609375,1,0,0,0,4,4,5,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.517595,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,PF,-80.19140625,-40.48046875,1,0,0,response5disk_5,2,1.532265,6.12109375,-10.23828125,1,0,0,rectangle_8,6.12109375,-10.23828125,1,0,0,6.12109375,-10.23828125,1,0,0,0,5,5,2,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,40.3203125,72.828125,1,0,0,response1disk_5,7,1.09802,4.35546875,-9.91015625,1,0,0,rectangle_8,4.35546875,-9.91015625,1,0,0,4.35546875,-9.91015625,1,0,0,0,6,6,3,1,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.11719,,,,,,,,,,,,,,,,,,,,,,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,15.701625,1730,73.33984375,-36.41015625,1,0,0,response3disk,,5,17.71484375,-8.42578125,1,0,0,rectangle,17.71484375,-8.42578125,1,0,0,17.71484375,-8.42578125,1,0,0,0,0,0,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.40133,,,,,,,,,,,,,,,,,,,,,,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,261,-80.9765625,32.359375,1,0,0,response7disk,,1,-25.203125,5.59375,1,0,0,rectangle,-25.203125,5.59375,1,0,0,-25.203125,5.59375,1,0,0,0,1,1,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.750505,,,,,,,,,,,,,,,,,,,,,,6100ed2dd8aa14dccb8d0915,61036a2de5a34362adf6236e,2021-07-29_19h56.17.726,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1701,42.61328125,-83.46875,1,0,0,response3disk,,4,-0.71875,1.2421875,1,0,0,rectangle,-0.71875,1.2421875,1,0,0,-0.71875,1.2421875,1,0,0,0,2,2,102,1,,,,,,,,
