key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.9917,space,1.0629,space,8.4375,space,2.1535,space,0.5844,space,2.6918,112,FF,52.8359375,75.76953125,1,0,0,response1disk_5,7,6.1207,1.49609375,-2.83203125,1,0,0,rectangle_8,1.49609375,-2.83203125,1,0,0,1.49609375,-2.83203125,1,0,0,0,0,0,0,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,32.68359375,62.90625,1,0,0,response1disk_5,7,1.3342,4.54296875,4.42578125,1,0,0,rectangle_8,36.26953125,78.01171875,1,0,0,1.5859375,-0.13671875,1,0,0,0,1,1,2,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.4334,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,19.421875,58.25390625,1,0,0,response1disk_5,7,1.6323,6.6484375,-13.56640625,1,0,0,rectangle_8,6.6484375,-13.56640625,1,0,0,6.6484375,-13.56640625,1,0,0,0,2,2,4,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,40.1875,-71.3515625,1,0,0,response3disk_5,4,2.7509,-7.26171875,7.91796875,1,0,0,rectangle_8,-7.26171875,7.91796875,1,0,0,-7.26171875,7.91796875,1,0,0,0,3,3,3,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,77.29296875,-36.89453125,1,0,0,response3disk_5,5,1.968,13.09765625,-1.55078125,1,0,0,rectangle_8,33.75390625,74.12109375,1,0,0,-2.05859375,-3.375,1,0,0,0,4,4,1,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.6498,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,FF,94.66796875,33.3515625,1,0,0,response1disk_5,6,1.8153,0.34765625,2.09375,1,0,0,rectangle_8,0.34765625,2.09375,1,0,0,0.34765625,2.09375,1,0,0,0,5,5,5,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,32.4140625,56.33984375,1,0,0,response1disk_5,7,2.0333,9.28125,2.66015625,1,0,0,rectangle_8,9.28125,2.66015625,1,0,0,9.28125,2.66015625,1,0,0,0,6,6,6,1,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3165,,,,,,,,,,,,,,,,,,,,,,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0658,558,82.78125,-49.7734375,1,0,0,response3disk,,5,22.796875,17.15234375,1,0,0,rectangle,22.796875,17.15234375,1,0,0,22.796875,17.15234375,1,0,0,0,0,0,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8981,,,,,,,,,,,,,,,,,,,,,,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4233,60.34375,-76.390625,1,0,0,response3disk,,4,24.15234375,-7.28515625,1,0,0,rectangle,24.15234375,-7.28515625,1,0,0,24.15234375,-7.28515625,1,0,0,0,1,1,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9832,,,,,,,,,,,,,,,,,,,,,,6100f8806915845f7cfc1707,61036a8442df8404d1ef0514,2021-07-29_19h57.33.385,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,401,78.94921875,26.3203125,1,0,0,response1disk,,6,27.00390625,10.40625,1,0,0,rectangle,27.00390625,10.40625,1,0,0,27.00390625,10.40625,1,0,0,0,2,2,106,1,,,,,,,,
