key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.676085,space,26.394065,space,42.14508,n,5.555675,space,1.30062,space,5.14208,129,PF,-29.26171875,67.12890625,1,0,0,response7disk_5,0,6.13421,1.7578125,1.859375,1,0,0,rectangle_8,1.7578125,1.859375,1,0,0,1.7578125,1.859375,1,0,0,0,0,0,6,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,FF,-82.20703125,-44.46484375,1,0,0,response5disk_5,2,10.79515,-0.05078125,-0.08984375,1,0,0,rectangle_8,44.44140625,-97.09375,1,0,0,6.09375,-12.734375,1,0,0,0,1,1,3,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,8.20503,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,PF,46.84375,94.96484375,1,0,0,response1disk_5,7,10.96238,-3.62890625,4.77734375,1,0,0,rectangle_8,-3.62890625,4.77734375,1,0,0,-3.62890625,4.77734375,1,0,0,0,2,2,4,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,-46.15625,-103.5429688,1,0,0,response5disk_5,3,8.923795,-1.859375,0.62890625,1,0,0,rectangle_8,-1.859375,0.62890625,1,0,0,-1.859375,0.62890625,1,0,0,0,3,3,0,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,98.7109375,38.1484375,1,0,0,response1disk_5,6,3.84392,0.6796875,-7.1796875,1,0,0,rectangle_8,43.125,-82.10546875,1,0,0,-4.44140625,5.640625,1,0,0,0,4,4,5,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.773195,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,-103.3984375,-44.703125,1,0,0,response5disk_5,2,2.17101,1.47265625,-3.59765625,1,0,0,rectangle_8,1.47265625,-3.59765625,1,0,0,1.47265625,-3.59765625,1,0,0,0,5,5,2,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,115.078125,61.421875,1,0,0,response1disk_5,6,5.75027,3.8046875,0.484375,1,0,0,rectangle_8,3.8046875,0.484375,1,0,0,3.8046875,0.484375,1,0,0,0,6,6,1,1,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.49866,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.559605,4047,-57.84765625,-85.66796875,1,0,0,response5disk,,3,-19.48046875,-5.796875,1,0,0,rectangle,-19.48046875,-5.796875,1,0,0,-19.48046875,-5.796875,1,0,0,0,0,0,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.12752,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1671,-64.28515625,-114.3945313,1,0,0,response5disk,,3,1.4765625,5.7109375,1,0,0,rectangle,-100.5976563,40.0078125,1,0,0,9.71484375,5.59765625,1,0,0,0,1,1,134,1,,response7disk_3,TRUE,1,1,"[227,92,307,310,288,4,92,130,69,119,95,118,298,95,219,305,251,270,2,254]",6.115075,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.86004,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3356,64.95703125,93.3828125,1,0,0,response1disk,,7,4.06640625,2.125,1,0,0,rectangle,4.06640625,2.125,1,0,0,4.06640625,2.125,1,0,0,0,2,2,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.240655,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1036,32.87109375,-60.69921875,1,0,0,response3disk,,4,8.9609375,-0.0625,1,0,0,rectangle,64.67578125,92.8984375,1,0,0,-6.69921875,4.37109375,1,0,0,0,3,3,20,1,,response1disk_3,TRUE,7,7,"[227,92,307,310,288,4,92,130,69,119,95,118,298,95,219,305,251,270,2,254]",1.604335,rectangle
,,,,,,,,,,,,,FF,,,,,,,,4.744325,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3410,85.75390625,-35.8515625,1,0,0,response3disk,,5,13.62890625,-9.98828125,1,0,0,rectangle,13.62890625,-9.98828125,1,0,0,13.62890625,-9.98828125,1,0,0,0,4,4,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.454565,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1172,40.0390625,93.62109375,1,0,0,response1disk,,7,-7.6796875,0.578125,1,0,0,rectangle,-7.6796875,0.578125,1,0,0,-7.6796875,0.578125,1,0,0,0,5,5,115,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.606995,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2793,98.44921875,-70.53125,1,0,0,response3disk,,5,-20.2890625,5.8828125,1,0,0,rectangle,-20.2890625,5.8828125,1,0,0,-20.2890625,5.8828125,1,0,0,0,6,6,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.058635,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1026,44.0546875,-75.3671875,1,0,0,response3disk,,4,5.7734375,9.4375,1,0,0,rectangle,5.7734375,9.4375,1,0,0,5.7734375,9.4375,1,0,0,0,7,7,103,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.656105,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1814,46.66015625,89.15625,1,0,0,response1disk,,7,3.40625,1.30078125,1,0,0,rectangle,3.40625,1.30078125,1,0,0,3.40625,1.30078125,1,0,0,0,8,8,148,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.03043,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2598,60.39453125,-78.60546875,1,0,0,response3disk,,4,5.890625,-8.1484375,1,0,0,rectangle,5.890625,-8.1484375,1,0,0,5.890625,-8.1484375,1,0,0,0,9,9,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.31417,,,,,,,,,,,,,,,,,,,,,,61010bd98095d440ada024e4,61036c1396564cde52710f53,2021-07-29_20h05.15.927,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3917,-33.1875,-74.6484375,1,0,0,response5disk,,3,1.0625,4.47265625,1,0,0,rectangle,1.0625,4.47265625,1,0,0,1.0625,4.47265625,1,0,0,0,10,10,112,1,,,,,,,,
