key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.388414999,space,7.851640001,space,9.473805001,space,4.54968,space,0.584005,space,2.86437,68,FF,40.00001204,-67.20000744,1,0,0,response3disk_5,4,6.247564999,-5.599988639,7.999993682,1,0,0,rectangle_8,-5.599988639,7.999993682,1,0,0,-5.599988639,7.999993682,1,0,0,0,0,0,0,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,134,PF,25.60006065,80.79999477,1,0,0,response1disk_5,7,1.565525001,-5.599988639,3.19999361,1,0,0,rectangle_8,59.20001233,39.99999416,1,0,0,-0.799988568,5.599993646,1,0,0,0,1,1,1,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.771430001,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,FF,-73.59998965,-47.20000714,1,0,0,response5disk_5,2,3.76354,-3.199988604,-1.600006461,1,0,0,rectangle_8,-3.199988604,-1.600006461,1,0,0,-3.199988604,-1.600006461,1,0,0,0,2,2,3,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,36.00001198,-56.80000728,1,0,0,response3disk_5,4,2.680875,-1.59998858,1.599993587,1,0,0,rectangle_8,-1.59998858,1.599993587,1,0,0,-1.59998858,1.599993587,1,0,0,0,3,3,5,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,36.00001198,52.79999435,1,0,0,response1disk_5,7,1.84874,0.800011456,-6.4373E-06,1,0,0,rectangle_8,100.8000129,36.79999411,1,0,0,-2.399939764,5.599993646,1,0,0,0,4,4,4,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.381105,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,26.40001184,60.79999447,1,0,0,response1disk_5,7,1.54847,-5.599988639,-5.600006521,1,0,0,rectangle_8,-5.599988639,-5.600006521,1,0,0,-5.599988639,-5.600006521,1,0,0,0,5,5,2,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,-42.39994036,-26.40000683,1,0,0,response5disk_5,2,1.144480001,0.800011456,3.999993622,1,0,0,rectangle_8,0.800011456,3.999993622,1,0,0,0.800011456,3.999993622,1,0,0,0,6,6,6,1,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.033799998,,,,,,,,,,,,,,,,,,,,,,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.88243,2178,60.80001235,-21.60000676,1,0,0,response3disk,,5,-5.599988639,11.19999373,1,0,0,rectangle,-5.599988639,11.19999373,1,0,0,-5.599988639,11.19999373,1,0,0,0,0,0,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.830905,,,,,,,,,,,,,,,,,,,,,,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2965,40.80001205,28.79999399,1,0,0,response1disk,,6,0.800011456,2.399993598,1,0,0,rectangle,0.800011456,2.399993598,1,0,0,0.800011456,2.399993598,1,0,0,0,1,1,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.099100001,,,,,,,,,,,,,,,,,,,,,,6101698f1094df2f82ab8a5e,61036ba738f9927b499bc126,2021-07-29_22h04.03.328,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1324,20.80001175,46.39999425,1,0,0,response1disk,,7,3.200011492,11.99999374,1,0,0,rectangle,3.200011492,11.99999374,1,0,0,3.200011492,11.99999374,1,0,0,0,2,2,85,1,,,,,,,,
