key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.086,space,9.998,space,49.053,space,34.463,space,3.993,space,4.57,69,FF,39,-83,1,0,0,response3disk_5,4,14.585,5,0,1,0,0,rectangle_8,5,0,1,0,0,5,0,1,0,0,0,0,0,3,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,-35,-52,1,0,0,response5disk_5,3,5.868,-3,-4,1,0,0,rectangle_8,41,62,1,0,0,2,-3,1,0,0,0,1,1,6,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,5.3,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,FF,-48,54,1,0,0,response7disk_5,0,4.517,-8,-2,1,0,0,rectangle_8,-8,-2,1,0,0,-8,-2,1,0,0,0,2,2,0,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,PF,-25,79,1,0,0,response7disk_5,0,5.366,-18,3,1,0,0,rectangle_8,-18,3,1,0,0,-18,3,1,0,0,0,3,3,4,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,32,-78,1,0,0,response3disk_5,4,11.417,-17,-1,1,0,0,rectangle_8,22,98,1,0,0,-2,5,1,0,0,0,4,4,1,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.3,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,28,-78,1,0,0,response3disk_5,4,5.566,7,0,1,0,0,rectangle_8,7,0,1,0,0,7,0,1,0,0,0,5,5,2,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,29,95,1,0,0,response1disk_5,7,3.117,-4,3,1,0,0,rectangle_8,-4,3,1,0,0,-4,3,1,0,0,0,6,6,5,1,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.718,,,,,,,,,,,,,,,,,,,,,,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,7.505,2569,33,74,1,0,0,response1disk,,7,-4,4,1,0,0,rectangle,-4,4,1,0,0,-4,4,1,0,0,0,0,0,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.917,,,,,,,,,,,,,,,,,,,,,,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2965,61,-49,1,0,0,response3disk,,5,0,-9,1,0,0,rectangle,0,-9,1,0,0,0,-9,1,0,0,0,1,1,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.183,,,,,,,,,,,,,,,,,,,,,,6101a914523b50e7c767b00e,61036d9194c7d8bd8f5eab76,2021-07-29_23h10.41.255,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3404,69,27,1,0,0,response1disk,,6,1,4,1,0,0,rectangle,1,4,1,0,0,1,4,1,0,0,0,2,2,34,1,,,,,,,,
