key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,250.0831,space,16.0184,space,48.191,space,11.4633,space,2.29,space,4.0177,43,FF,104.6328125,44.68359375,1,0,0,response1disk_5,6,6.7246,-7.32421875,-3.39453125,1,0,0,rectangle_8,-7.32421875,-3.39453125,1,0,0,-7.32421875,-3.39453125,1,0,0,0,0,0,3,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,FF,91.65234375,-49.515625,1,0,0,response3disk_5,5,3.7922,14.93359375,-2.1015625,1,0,0,rectangle_8,117.03125,-55.67578125,1,0,0,4.0546875,-1.375,1,0,0,0,1,1,0,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.8446,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,46.796875,77.453125,1,0,0,response1disk_5,7,4.2039,2.85546875,0.09375,1,0,0,rectangle_8,2.85546875,0.09375,1,0,0,2.85546875,0.09375,1,0,0,0,2,2,4,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,FF,-39.578125,-89.48046875,1,0,0,response5disk_5,3,4.8807,17.12109375,11.50390625,1,0,0,rectangle_8,17.12109375,11.50390625,1,0,0,17.12109375,11.50390625,1,0,0,0,3,3,5,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,PF,-27.82421875,-66.6328125,1,0,0,response5disk_5,3,1.2863,23.4609375,7.44921875,1,0,0,rectangle_8,71.3046875,-50.375,1,0,0,-3.66796875,3.07421875,1,0,0,0,4,4,6,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.8214,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,PF,88.35546875,-44.19140625,1,0,0,response3disk_5,5,3.6779,-31.015625,7.97265625,1,0,0,rectangle_8,-31.015625,7.97265625,1,0,0,-31.015625,7.97265625,1,0,0,0,5,5,1,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,-90.60546875,36.703125,1,0,0,response7disk_5,1,1.4525,14.77734375,-5.1640625,1,0,0,rectangle_8,14.77734375,-5.1640625,1,0,0,14.77734375,-5.1640625,1,0,0,0,6,6,2,1,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9915,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6383,2852,-37.60546875,-78.05078125,1,0,0,response5disk,,3,8.421875,6.890625,1,0,0,rectangle,8.421875,6.890625,1,0,0,8.421875,6.890625,1,0,0,0,0,0,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2878,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3202,-106.7382813,40.14453125,1,0,0,response7disk,,1,9.83203125,-9.72265625,1,0,0,rectangle,9.83203125,-9.72265625,1,0,0,9.83203125,-9.72265625,1,0,0,0,1,1,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2226,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2310,-32.8671875,-94.44921875,1,0,0,response5disk,,3,10.58203125,3.578125,1,0,0,rectangle,10.58203125,3.578125,1,0,0,10.58203125,3.578125,1,0,0,0,2,2,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.989,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1239,91.12890625,-63.51953125,1,0,0,response3disk,,5,3.49609375,-6.59375,1,0,0,rectangle,3.49609375,-6.59375,1,0,0,3.49609375,-6.59375,1,0,0,0,3,3,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4062,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,860,35.21484375,-114.1523438,1,0,0,response3disk,,4,10.84765625,2.21875,1,0,0,rectangle,10.84765625,2.21875,1,0,0,10.84765625,2.21875,1,0,0,0,4,4,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.035,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3386,-77.4140625,-33.46875,1,0,0,response5disk,,2,21.3828125,2.75390625,1,0,0,rectangle,21.3828125,2.75390625,1,0,0,21.3828125,2.75390625,1,0,0,0,5,5,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1419,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1550,67.15234375,-88.046875,1,0,0,response3disk,,4,2.56640625,5.87109375,1,0,0,rectangle,2.56640625,5.87109375,1,0,0,2.56640625,5.87109375,1,0,0,0,6,6,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4581,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1718,40.13671875,-98.8046875,1,0,0,response3disk,,4,9.56640625,-0.66796875,1,0,0,rectangle,9.56640625,-0.66796875,1,0,0,9.56640625,-0.66796875,1,0,0,0,7,7,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9854,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4254,-80.45703125,32.54296875,1,0,0,response7disk,,1,2.25,-7.12890625,1,0,0,rectangle,2.25,-7.12890625,1,0,0,2.25,-7.12890625,1,0,0,0,8,8,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4031,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2386,64.578125,-39.5859375,1,0,0,response3disk,,5,13.41796875,-8.140625,1,0,0,rectangle,13.41796875,-8.140625,1,0,0,13.41796875,-8.140625,1,0,0,0,9,9,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0363,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1987,24.82421875,-92.1953125,1,0,0,response3disk,,4,-5.25390625,-3.6640625,1,0,0,rectangle,-5.25390625,-3.6640625,1,0,0,-5.25390625,-3.6640625,1,0,0,0,10,10,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9229,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2532,-90.30078125,-52.1484375,1,0,0,response5disk,,2,13.40625,7.37890625,1,0,0,rectangle,13.40625,7.37890625,1,0,0,13.40625,7.37890625,1,0,0,0,11,11,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0529,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3476,-100,36.78515625,1,0,0,response7disk,,1,-4.9921875,-0.52734375,1,0,0,rectangle,-4.9921875,-0.52734375,1,0,0,-4.9921875,-0.52734375,1,0,0,0,12,12,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9691,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,637,-92.890625,48.98046875,1,0,0,response7disk,,1,4.91796875,-6.80078125,1,0,0,rectangle,4.91796875,-6.80078125,1,0,0,4.91796875,-6.80078125,1,0,0,0,13,13,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.1498,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4032,43.77734375,-77.7578125,1,0,0,response3disk,,4,3.17578125,7.66015625,1,0,0,rectangle,3.17578125,7.66015625,1,0,0,3.17578125,7.66015625,1,0,0,0,14,14,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0739,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1436,100.0351563,-82.69140625,1,0,0,response3disk,,5,-13.1484375,-0.30859375,1,0,0,rectangle,-13.1484375,-0.30859375,1,0,0,-13.1484375,-0.30859375,1,0,0,0,15,15,127,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2368,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,122,97.8046875,-45.66796875,1,0,0,response3disk,,5,28.17578125,-1.8515625,1,0,0,rectangle,28.17578125,-1.8515625,1,0,0,28.17578125,-1.8515625,1,0,0,0,16,16,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1361,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2334,86.296875,28.67578125,1,0,0,response1disk,,6,-4.08984375,3.81640625,1,0,0,rectangle,-4.08984375,3.81640625,1,0,0,-4.08984375,3.81640625,1,0,0,0,17,17,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4197,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2876,95.4609375,-59.6484375,1,0,0,response3disk,,5,-3.8828125,-5.4296875,1,0,0,rectangle,-3.8828125,-5.4296875,1,0,0,-3.8828125,-5.4296875,1,0,0,0,18,18,17,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.159,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1891,-81.36328125,-43.82421875,1,0,0,response5disk,,2,24.84375,0.703125,1,0,0,rectangle,24.84375,0.703125,1,0,0,24.84375,0.703125,1,0,0,0,19,19,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6212,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3028,51.421875,-112.90625,1,0,0,response3disk,,4,8.5390625,2.30078125,1,0,0,rectangle,8.5390625,2.30078125,1,0,0,8.5390625,2.30078125,1,0,0,0,20,20,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2557,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1233,90.02734375,-50.734375,1,0,0,response3disk,,5,6.49609375,6.5390625,1,0,0,rectangle,6.49609375,6.5390625,1,0,0,6.49609375,6.5390625,1,0,0,0,21,21,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.805,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,420,78.46875,-88.9765625,1,0,0,response3disk,,4,-3.33203125,0.37890625,1,0,0,rectangle,-3.33203125,0.37890625,1,0,0,-3.33203125,0.37890625,1,0,0,0,22,22,93,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8373,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3710,-82.671875,-57.08203125,1,0,0,response5disk,,2,-4.40625,-3.5,1,0,0,rectangle,-4.40625,-3.5,1,0,0,-4.40625,-3.5,1,0,0,0,23,23,37,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8185,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4269,-92.5078125,-44.6328125,1,0,0,response5disk,,2,-14.19921875,-0.53515625,1,0,0,rectangle,-14.19921875,-0.53515625,1,0,0,-14.19921875,-0.53515625,1,0,0,0,24,24,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5044,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1492,85.28125,-64.50390625,1,0,0,response3disk,,5,-15.078125,-1.96875,1,0,0,rectangle,-15.078125,-1.96875,1,0,0,-15.078125,-1.96875,1,0,0,0,25,25,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5089,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,154,82.12109375,-66.15625,1,0,0,response3disk,,5,7.3828125,-9.58984375,1,0,0,rectangle,7.3828125,-9.58984375,1,0,0,7.3828125,-9.58984375,1,0,0,0,26,26,141,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9059,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,783,-39.76171875,-101.4335938,1,0,0,response5disk,,3,-1.3125,-7.12890625,1,0,0,rectangle,-1.3125,-7.12890625,1,0,0,-1.3125,-7.12890625,1,0,0,0,27,27,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9892,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1263,50.24609375,-94.17578125,1,0,0,response3disk,,4,9.90625,9.56640625,1,0,0,rectangle,9.90625,9.56640625,1,0,0,9.90625,9.56640625,1,0,0,0,28,28,129,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9193,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4142,-104.0078125,47.58203125,1,0,0,response7disk,,1,-11.15625,9.640625,1,0,0,rectangle,-11.15625,9.640625,1,0,0,-11.15625,9.640625,1,0,0,0,29,29,121,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9526,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2307,-67.0234375,30.734375,1,0,0,response7disk,,1,9.02734375,2.51953125,1,0,0,rectangle,86.50390625,36.9765625,1,0,0,2.234375,5.1171875,1,0,0,0,30,30,120,1,,response1disk_3,TRUE,6,6,"[99,116,33,250,68,250,261,286,259,230,296,187,176,115,136,31,76,86,79,129]",2.5066,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.7394,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,698,-49.11328125,-104,1,0,0,response5disk,,3,-13.1015625,-2.36328125,1,0,0,rectangle,-13.1015625,-2.36328125,1,0,0,-13.1015625,-2.36328125,1,0,0,0,31,31,52,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0685,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1085,80.8515625,-107.171875,1,0,0,response3disk,,4,-7.88671875,3.12109375,1,0,0,rectangle,-82.91015625,-43.89453125,1,0,0,-0.71484375,0.94921875,1,0,0,0,32,32,119,1,,response5disk_3,TRUE,2,2,"[99,116,33,250,68,250,261,286,259,230,296,187,176,115,136,31,76,86,79,129]",2.2901,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.2393,,,,,,,,,,,,,,,,,,,,,,6101d91477752dbb2e72baa5,61036cd533a41143392f15ec,2021-07-29_23h19.35.331,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3329,-51.27734375,-104.7539063,1,0,0,response5disk,,3,10.015625,-0.3671875,1,0,0,rectangle,10.015625,-0.3671875,1,0,0,10.015625,-0.3671875,1,0,0,0,33,33,97,1,,,,,,,,
