key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2363,space,19.7239,space,40.193,space,27.5938,space,3.0311,space,4.8245,103,PF,113.9905396,-53.82104492,1,0,0,response3disk_5,5,11.2334,7.389099121,-1.10446167,1,0,0,rectangle_8,7.389099121,-1.10446167,1,0,0,7.389099121,-1.10446167,1,0,0,0,0,0,2,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,49.57788086,-92.88024902,1,0,0,response3disk_5,4,4.2931,-3.669189453,0.37689209,1,0,0,rectangle_8,97.56787109,-74.04925537,1,0,0,-0.703186035,1.001647949,1,0,0,0,1,1,4,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.8736,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,47.13793945,67.66421509,1,0,0,response1disk_5,7,5.1616,7.986938477,0.933654785,1,0,0,rectangle_8,7.986938477,0.933654785,1,0,0,7.986938477,0.933654785,1,0,0,0,2,2,0,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,42.70544434,63.58096313,1,0,0,response1disk_5,7,1.5641,-0.376525879,-2.51739502,1,0,0,rectangle_8,-0.376525879,-2.51739502,1,0,0,-0.376525879,-2.51739502,1,0,0,0,3,3,3,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,PF,96.44763184,45.65756226,1,0,0,response1disk_5,6,5.9673,-6.443603516,0.293518066,1,0,0,rectangle_8,71.52124023,-45.14593506,1,0,0,-3.061584473,5.039367676,1,0,0,0,4,4,1,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.1614,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,FF,34.11914063,77.23101807,1,0,0,response1disk_5,7,1.3397,-4.750366211,-1.810791016,1,0,0,rectangle_8,-4.750366211,-1.810791016,1,0,0,-4.750366211,-1.810791016,1,0,0,0,5,5,5,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,-53.0569458,-39.70501709,1,0,0,response5disk_5,2,2.9326,-7.962890625,1.407897949,1,0,0,rectangle_8,-7.962890625,1.407897949,1,0,0,-7.962890625,1.407897949,1,0,0,0,6,6,6,1,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2733,,,,,,,,,,,,,,,,,,,,,,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.5495,2857,33.2164917,101.0525208,1,0,0,response1disk,,7,-16.05474854,1.24420166,1,0,0,rectangle,-16.05474854,1.24420166,1,0,0,-16.05474854,1.24420166,1,0,0,0,0,0,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3319,,,,,,,,,,,,,,,,,,,,,,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,607,-44.2701416,-62.9163208,1,0,0,response5disk,,3,-1.678100586,-1.739013672,1,0,0,rectangle,-1.678100586,-1.739013672,1,0,0,-1.678100586,-1.739013672,1,0,0,0,1,1,159,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.5605,,,,,,,,,,,,,,,,,,,,,,6101ed0ef8c205170a3e22cc,61036bbaa53d4131b64c860d,2021-07-29_22h02.48.182,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3868,48.00842285,-81.76000977,1,0,0,response3disk,,4,-7.513427734,0.823455811,1,0,0,rectangle,-7.513427734,0.823455811,1,0,0,-7.513427734,0.823455811,1,0,0,0,2,2,82,1,,,,,,,,
