key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,31.61,space,2.852,space,4.516,space,4.728,space,1.075,space,4.347,84,FF,-51,96,1,0,0,response7disk_5,0,23.061,-7,-2,1,0,0,rectangle_8,-7,-2,1,0,0,-7,-2,1,0,0,0,0,0,5,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,73,-43,1,0,0,response3disk_5,5,8.715,-12,-1,1,0,0,rectangle_8,46,-92,1,0,0,-7,-5,1,0,0,0,1,1,3,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.999,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,FF,89,-34,1,0,0,response3disk_5,5,3.587,12,-5,1,0,0,rectangle_8,12,-5,1,0,0,12,-5,1,0,0,0,2,2,0,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,53,73,1,0,0,response1disk_5,7,2.524,-1,-7,1,0,0,rectangle_8,-1,-7,1,0,0,-1,-7,1,0,0,0,3,3,4,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,71,-39,1,0,0,response3disk_5,5,2.081,-15,1,1,0,0,rectangle_8,56,-83,1,0,0,1,-3,1,0,0,0,4,4,6,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.441,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,62,-86,1,0,0,response3disk_5,4,3.397,-18,3,1,0,0,rectangle_8,-18,3,1,0,0,-18,3,1,0,0,0,5,5,1,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,PF,82,-47,1,0,0,response3disk_5,5,6.806,0,7,1,0,0,rectangle_8,0,7,1,0,0,0,7,1,0,0,0,6,6,2,1,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.471,,,,,,,,,,,,,,,,,,,,,,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.231,199,49,-101,1,0,0,response3disk,,4,-13,0,1,0,0,rectangle,-13,0,1,0,0,-13,0,1,0,0,0,0,0,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.267,,,,,,,,,,,,,,,,,,,,,,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1075,71,49,1,0,0,response1disk,,6,22,1,1,0,0,rectangle,22,1,1,0,0,22,1,1,0,0,0,1,1,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.92,,,,,,,,,,,,,,,,,,,,,,6101fa06a9c401859f5a40e4,61036bb2bb1416c61fa9c1d0,2021-07-29_20h02.41.128,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,414,29,102,1,0,0,response1disk,,7,12,-8,1,0,0,rectangle,62,-100,1,0,0,-25,-1,1,0,0,0,2,2,147,1,,response3disk_3,TRUE,4,4,"[220,282,3,176,145,59,61,14,107,204,143,291,182,138,306,0,106,9,37,48]",1.917,rectangle
