key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2831,space,7.6296,space,12.2009,space,5.4328,space,1.3861,space,6.4953,115,PF,-44.62109375,-99.34375,1,0,0,response5disk_5,3,2.3029,4.23046875,-1.3359375,1,0,0,rectangle_8,4.23046875,-1.3359375,1,0,0,4.23046875,-1.3359375,1,0,0,0,0,0,4,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,55.00390625,94.890625,1,0,0,response1disk_5,7,3.2325,2.94921875,3.875,1,0,0,rectangle_8,77.87109375,-36.62109375,1,0,0,-8.7421875,-2.58984375,1,0,0,0,1,1,0,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.4055,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,30.9296875,-107.8867188,1,0,0,response3disk_5,4,5.0172,-12.6015625,-0.0703125,1,0,0,rectangle_8,-12.6015625,-0.0703125,1,0,0,-12.6015625,-0.0703125,1,0,0,0,2,2,1,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,36.4375,92.99609375,1,0,0,response1disk_5,7,1.1333,0.08203125,-2.390625,1,0,0,rectangle_8,0.08203125,-2.390625,1,0,0,0.08203125,-2.390625,1,0,0,0,3,3,6,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,54.79296875,-87.6640625,1,0,0,response3disk_5,4,4.2166,3,-5.88671875,1,0,0,rectangle_8,95.52734375,-40.48046875,1,0,0,-5.8828125,1.68359375,1,0,0,0,4,4,5,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.8336,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,45.37890625,85.25390625,1,0,0,response1disk_5,7,1.267,9.2109375,0.35546875,1,0,0,rectangle_8,9.2109375,0.35546875,1,0,0,9.2109375,0.35546875,1,0,0,0,5,5,2,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,FF,115.4375,-81.9375,1,0,0,response3disk_5,5,1.8154,3.90625,-4.37890625,1,0,0,rectangle_8,3.90625,-4.37890625,1,0,0,3.90625,-4.37890625,1,0,0,0,6,6,3,1,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6327,,,,,,,,,,,,,,,,,,,,,,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8514,993,41.05078125,-71.515625,1,0,0,response3disk,,4,6.3125,1.28515625,1,0,0,rectangle,6.3125,1.28515625,1,0,0,6.3125,1.28515625,1,0,0,0,0,0,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6166,,,,,,,,,,,,,,,,,,,,,,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3560,-44.57421875,-68.046875,1,0,0,response5disk,,3,-2.3515625,6.66796875,1,0,0,rectangle,-2.3515625,6.66796875,1,0,0,-2.3515625,6.66796875,1,0,0,0,1,1,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8337,,,,,,,,,,,,,,,,,,,,,,610202bb0ca06f14b87d1605,61036b17bda2a5c4581698aa,2021-07-29_21h01.08.350,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1772,48.51953125,108.1132813,1,0,0,response1disk,,7,24.94921875,2.62109375,1,0,0,rectangle,24.94921875,2.62109375,1,0,0,24.94921875,2.62109375,1,0,0,0,2,2,7,1,,,,,,,,
