key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4448,space,11.5948,space,36.1823,space,9.3973,space,1.2413,space,5.9786,5,FF,52.953125,79.6015625,1,0,0,response1disk_5,7,5.8164,4.99609375,-4.36328125,1,0,0,rectangle_8,4.99609375,-4.36328125,1,0,0,4.99609375,-4.36328125,1,0,0,0,0,0,3,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,PF,51.56640625,-99.69140625,1,0,0,response3disk_5,4,9.9998,3.640625,-2.6484375,1,0,0,rectangle_8,38.25,-97.8515625,1,0,0,1.48828125,3.8203125,1,0,0,0,1,1,4,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,4.7344,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,FF,78.00390625,-51.51171875,1,0,0,response3disk_5,5,5.4167,4.671875,2.5234375,1,0,0,rectangle_8,4.671875,2.5234375,1,0,0,4.671875,2.5234375,1,0,0,0,2,2,5,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,FF,-78.6328125,46.86328125,1,0,0,response7disk_5,1,3.3499,-3.9453125,-2.79296875,1,0,0,rectangle_8,-3.9453125,-2.79296875,1,0,0,-3.9453125,-2.79296875,1,0,0,0,3,3,0,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,54.41796875,92.875,1,0,0,response1disk_5,7,3.9997,3.30078125,-8.63671875,1,0,0,rectangle_8,37.9375,-88.5859375,1,0,0,1.53125,-4.79296875,1,0,0,0,4,4,1,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.6011,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,PF,-82.96875,-40.83203125,1,0,0,response5disk_5,2,1.8503,-1.046875,-3.7109375,1,0,0,rectangle_8,-1.046875,-3.7109375,1,0,0,-1.046875,-3.7109375,1,0,0,0,5,5,2,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,33.08984375,71.171875,1,0,0,response1disk_5,7,1.0839,14.7890625,0.8125,1,0,0,rectangle_8,14.7890625,0.8125,1,0,0,14.7890625,0.8125,1,0,0,0,6,6,6,1,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3999,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7588,3732,43.4453125,92.69140625,1,0,0,response1disk,,7,4.01953125,-0.046875,1,0,0,rectangle,4.01953125,-0.046875,1,0,0,4.01953125,-0.046875,1,0,0,0,0,0,42,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9677,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3380,59.46484375,100.7421875,1,0,0,response1disk,,7,-1.53125,-0.80078125,1,0,0,rectangle,-1.53125,-0.80078125,1,0,0,-1.53125,-0.80078125,1,0,0,0,1,1,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3004,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,795,90.8203125,38.90625,1,0,0,response1disk,,6,4.87890625,2.91796875,1,0,0,rectangle,4.87890625,2.91796875,1,0,0,4.87890625,2.91796875,1,0,0,0,2,2,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3893,45.078125,99.6015625,1,0,0,response1disk,,7,9.640625,-0.00390625,1,0,0,rectangle,9.640625,-0.00390625,1,0,0,9.640625,-0.00390625,1,0,0,0,3,3,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3831,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3615,41.9921875,86.8984375,1,0,0,response1disk,,7,-0.31640625,-2.39453125,1,0,0,rectangle,-0.31640625,-2.39453125,1,0,0,-0.31640625,-2.39453125,1,0,0,0,4,4,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2663,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2808,77.73828125,30.15234375,1,0,0,response1disk,,6,6.79296875,2.0859375,1,0,0,rectangle,-86.66015625,-52.1953125,1,0,0,-4.43359375,1.98046875,1,0,0,0,5,5,136,1,,response5disk_3,TRUE,2,2,"[148,6,84,287,51,312,123,11,239,83,184,291,45,151,255,298,34,82,100,195]",2.0168,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.9671,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3591,-35.50390625,68.84765625,1,0,0,response7disk,,0,8.8203125,2.94921875,1,0,0,rectangle,8.8203125,2.94921875,1,0,0,8.8203125,2.94921875,1,0,0,0,6,6,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3491,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,637,-96.19921875,-32.4765625,1,0,0,response5disk,,2,7.78515625,2.59765625,1,0,0,rectangle,7.78515625,2.59765625,1,0,0,7.78515625,2.59765625,1,0,0,0,7,7,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0997,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1247,103.6953125,40.62109375,1,0,0,response1disk,,6,3.37109375,3.90234375,1,0,0,rectangle,3.37109375,3.90234375,1,0,0,3.37109375,3.90234375,1,0,0,0,8,8,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6673,,,,,,,,,,,,,,,,,,,,,,61020c152715b970291062db,610367acb30e8eca97f09957,2021-07-29_19h45.31.738,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3991,-39.5,-69.69921875,1,0,0,response5disk,,3,-1.59375,-0.390625,1,0,0,rectangle,-1.59375,-0.390625,1,0,0,-1.59375,-0.390625,1,0,0,0,9,9,22,1,,,,,,,,
