key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.7085,space,5.4229,space,8.4885,space,1.6749,space,0.7517,space,3.5497,119,PF,-68.40594482,-48.69497681,1,0,0,response5disk_5,2,5.6867,4.718505859,-7.284912109,1,0,0,rectangle_8,4.718505859,-7.284912109,1,0,0,4.718505859,-7.284912109,1,0,0,0,0,0,6,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,42.47814941,89.18447876,1,0,0,response1disk_5,7,3.3997,-6.874633789,-9.941711426,1,0,0,rectangle_8,-90.64508057,-56.72903442,1,0,0,5.099609375,-7.314910889,1,0,0,0,1,1,1,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,4.0345,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,FF,-47.9473877,-104.5355225,1,0,0,response5disk_5,3,4.0176,-3.578979492,15.79507446,1,0,0,rectangle_8,-3.578979492,15.79507446,1,0,0,-3.578979492,15.79507446,1,0,0,0,2,2,3,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,41.34790039,93.02801514,1,0,0,response1disk_5,7,3.6997,0.374755859,3.917572021,1,0,0,rectangle_8,0.374755859,3.917572021,1,0,0,0.374755859,3.917572021,1,0,0,0,3,3,2,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,PF,-81.37896729,26.07821655,1,0,0,response7disk_5,1,3.8011,10.50701904,-11.57824707,1,0,0,rectangle_8,-107.9240112,-54.33602905,1,0,0,14.80090332,3.910217285,1,0,0,0,4,4,4,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.9487,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,30.57202148,-105.0485229,1,0,0,response3disk_5,4,4.518,1.116210938,-8.560668945,1,0,0,rectangle_8,1.116210938,-8.560668945,1,0,0,1.116210938,-8.560668945,1,0,0,0,5,5,0,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,FF,33.90679932,69.1519165,1,0,0,response1disk_5,7,2.5502,-5.979736328,-7.51260376,1,0,0,rectangle_8,-5.979736328,-7.51260376,1,0,0,-5.979736328,-7.51260376,1,0,0,0,6,6,5,1,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5844,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,8.8189,4021,-72.43499756,-47.23886108,1,0,0,response5disk,,2,-12.8180542,0.137969971,1,0,0,rectangle,-12.8180542,0.137969971,1,0,0,-12.8180542,0.137969971,1,0,0,0,0,0,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.9986,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,273,-43.20428467,-75.62878418,1,0,0,response5disk,,3,12.52197266,-2.327911377,1,0,0,rectangle,12.52197266,-2.327911377,1,0,0,12.52197266,-2.327911377,1,0,0,0,1,1,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0842,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1713,43.57391357,83.00296021,1,0,0,response1disk,,7,17.62011719,1.442687988,1,0,0,rectangle,17.62011719,1.442687988,1,0,0,17.62011719,1.442687988,1,0,0,0,2,2,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4825,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1293,-49.91998291,-91.79766846,1,0,0,response5disk,,3,7.889831543,-9.85748291,1,0,0,rectangle,7.889831543,-9.85748291,1,0,0,7.889831543,-9.85748291,1,0,0,0,3,3,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3666,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3186,38.91607666,96.8112793,1,0,0,response1disk,,7,-0.120727539,1.717407227,1,0,0,rectangle,-0.120727539,1.717407227,1,0,0,-0.120727539,1.717407227,1,0,0,0,4,4,37,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.7159,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,894,-61.51953125,-45.89315796,1,0,0,response5disk,,2,6.170593262,1.127105713,1,0,0,rectangle,6.170593262,1.127105713,1,0,0,6.170593262,1.127105713,1,0,0,0,5,5,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6157,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4231,89.19219971,42.50143433,1,0,0,response1disk,,6,-14.69482422,-9.636230469,1,0,0,rectangle,-14.69482422,-9.636230469,1,0,0,-14.69482422,-9.636230469,1,0,0,0,6,6,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.3666,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2159,-43.35583496,-60.80493164,1,0,0,response5disk,,3,-3.524841309,-14.54992676,1,0,0,rectangle,-3.524841309,-14.54992676,1,0,0,-3.524841309,-14.54992676,1,0,0,0,7,7,103,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8981,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4115,79.68231201,-51.21875,1,0,0,response3disk,,5,-3.601745605,9.669677734,1,0,0,rectangle,-3.601745605,9.669677734,1,0,0,-3.601745605,9.669677734,1,0,0,0,8,8,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0329,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1347,88.25360107,-34.05883789,1,0,0,response3disk,,5,9.16418457,-2.476654053,1,0,0,rectangle,9.16418457,-2.476654053,1,0,0,9.16418457,-2.476654053,1,0,0,0,9,9,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9998,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2145,82.29229736,-43.88943481,1,0,0,response3disk,,5,11.19897461,-7.933807373,1,0,0,rectangle,11.19897461,-7.933807373,1,0,0,11.19897461,-7.933807373,1,0,0,0,10,10,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0331,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1410,80.0333252,-43.92285156,1,0,0,response3disk,,5,3.258605957,-3.38571167,1,0,0,rectangle,3.258605957,-3.38571167,1,0,0,3.258605957,-3.38571167,1,0,0,0,11,11,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4161,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4129,-81.12756348,-54.2505188,1,0,0,response5disk,,2,16.1541748,-9.5546875,1,0,0,rectangle,16.1541748,-9.5546875,1,0,0,16.1541748,-9.5546875,1,0,0,0,12,12,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1161,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1091,78.58300781,23.96871948,1,0,0,response1disk,,6,12.14831543,17.26577759,1,0,0,rectangle,12.14831543,17.26577759,1,0,0,12.14831543,17.26577759,1,0,0,0,13,13,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5482,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1664,63.57598877,30.38565063,1,0,0,response1disk,,6,8.84979248,2.810211182,1,0,0,rectangle,8.84979248,2.810211182,1,0,0,8.84979248,2.810211182,1,0,0,0,14,14,55,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1339,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3996,-77.64672852,-39.83587646,1,0,0,response5disk,,2,4.747192383,-9.448455811,1,0,0,rectangle,4.747192383,-9.448455811,1,0,0,4.747192383,-9.448455811,1,0,0,0,15,15,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.284,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3831,37.45532227,-102.7268677,1,0,0,response3disk,,4,3.475952148,1.322937012,1,0,0,rectangle,3.475952148,1.322937012,1,0,0,3.475952148,1.322937012,1,0,0,0,16,16,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9845,,,,,,,,,,,,,,,,,,,,,,6102126f393f8990e53d37e6,61036c7aa2ad00f34ebc7388,2021-07-29_22h05.56.675,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3036,84.60150146,-36.009552,1,0,0,response3disk,,5,-3.886291504,-16.59783936,1,0,0,rectangle,-3.886291504,-16.59783936,1,0,0,-3.886291504,-16.59783936,1,0,0,0,17,17,79,1,,,,,,,,
