key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.533,space,13.341,space,5.855,space,11.805,space,1.04,space,3.582,22,FF,92,29,1,0,0,response1disk_5,6,12.756,-9,-5,1,0,0,rectangle_8,-9,-5,1,0,0,-9,-5,1,0,0,0,0,0,0,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,FF,-79,-39,1,0,0,response5disk_5,2,3.502,1,-7,1,0,0,rectangle_8,-39,-95,1,0,0,3,-2,1,0,0,0,1,1,5,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.784,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,71,29,1,0,0,response1disk_5,6,2.246,2,-12,1,0,0,rectangle_8,2,-12,1,0,0,2,-12,1,0,0,0,2,2,2,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,PF,-27,55,1,0,0,response7disk_5,0,1.915,1,-2,1,0,0,rectangle_8,1,-2,1,0,0,1,-2,1,0,0,0,3,3,6,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,PF,65,-47,1,0,0,response3disk_5,5,6.636,-9,-2,1,0,0,rectangle_8,-38,-92,1,0,0,-3,-9,1,0,0,0,4,4,4,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,4.134,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,37,-77,1,0,0,response3disk_5,4,2.629,-7,3,1,0,0,rectangle_8,-7,3,1,0,0,-7,3,1,0,0,0,5,5,3,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,87,-44,1,0,0,response3disk_5,5,3.951,-7,1,1,0,0,rectangle_8,-7,1,1,0,0,-7,1,1,0,0,0,6,6,1,1,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.871,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.265,4041,77,22,1,0,0,response1disk,,6,-6,-1,1,0,0,rectangle,-6,-1,1,0,0,-6,-1,1,0,0,0,0,0,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.567,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3623,-60,-34,1,0,0,response5disk,,2,-7,1,1,0,0,rectangle,-7,1,1,0,0,-7,1,1,0,0,0,1,1,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.064,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3821,-43,-73,1,0,0,response5disk,,3,-8,-2,1,0,0,rectangle,82,39,1,0,0,-4,-4,1,0,0,0,2,2,36,1,,response1disk_3,TRUE,6,6,"[118,298,217,261,109,208,272,91,25,288,291,188,310,94,158,3,235,97,112,317]",2.216,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.994,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3292,34,-87,1,0,0,response3disk,,4,-4,14,1,0,0,rectangle,-4,14,1,0,0,-4,14,1,0,0,0,3,3,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1434,28,-69,1,0,0,response3disk,,4,4,9,1,0,0,rectangle,4,9,1,0,0,4,9,1,0,0,0,4,4,104,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.41,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3351,83,30,1,0,0,response1disk,,6,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,-2,-1,1,0,0,0,5,5,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,457,-41,-92,1,0,0,response5disk,,3,0,-1,1,0,0,rectangle,0,-1,1,0,0,0,-1,1,0,0,0,6,6,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.047,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2585,51,-75,1,0,0,response3disk,,4,1,1,1,0,0,rectangle,1,1,1,0,0,1,1,1,0,0,0,7,7,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.294,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,117,-32,-68,1,0,0,response5disk,,3,8,9,1,0,0,rectangle,8,9,1,0,0,8,9,1,0,0,0,8,8,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.144,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4071,-55,30,1,0,0,response7disk,,1,2,-4,1,0,0,rectangle,2,-4,1,0,0,2,-4,1,0,0,0,9,9,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.156,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4301,50,-93,1,0,0,response3disk,,4,6,5,1,0,0,rectangle,6,5,1,0,0,6,5,1,0,0,0,10,10,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.167,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1790,78,46,1,0,0,response1disk,,6,1,-2,1,0,0,rectangle,1,-2,1,0,0,1,-2,1,0,0,0,11,11,105,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.297,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1113,-47,-107,1,0,0,response5disk,,3,7,1,1,0,0,rectangle,7,1,1,0,0,7,1,1,0,0,0,12,12,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.046,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3583,-90,-39,1,0,0,response5disk,,2,10,3,1,0,0,rectangle,10,3,1,0,0,10,3,1,0,0,0,13,13,42,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.301,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,601,66,-42,1,0,0,response3disk,,5,17,2,1,0,0,rectangle,17,2,1,0,0,17,2,1,0,0,0,14,14,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.995,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1725,44,-74,1,0,0,response3disk,,4,7,-8,1,0,0,rectangle,7,-8,1,0,0,7,-8,1,0,0,0,15,15,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.627,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4107,-33,-87,1,0,0,response5disk,,3,-7,1,1,0,0,rectangle,-7,1,1,0,0,-7,1,1,0,0,0,16,16,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.087,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1372,-74,-44,1,0,0,response5disk,,2,2,-7,1,0,0,rectangle,2,-7,1,0,0,2,-7,1,0,0,0,17,17,125,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.482,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2862,51,72,1,0,0,response1disk,,7,-1,-4,1,0,0,rectangle,-1,-4,1,0,0,-1,-4,1,0,0,0,18,18,98,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.047,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2088,70,-50,1,0,0,response3disk,,5,-5,5,1,0,0,rectangle,-5,5,1,0,0,-5,5,1,0,0,0,19,19,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.596,,,,,,,,,,,,,,,,,,,,,,6102185a2bc0fd85fda9aed0,61036e7db6e75d34076a7e00,2021-07-29_23h14.42.109,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,400,-34,-74,1,0,0,response5disk,,3,0,-8,1,0,0,rectangle,0,-8,1,0,0,0,-8,1,0,0,0,20,20,50,1,,,,,,,,
