key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2604,space,6.7932,space,13.0832,space,12.3287,space,0.9993,space,5.1831,54,PF,41.72381592,-70.57391357,1,0,0,response3disk_5,4,7.1619,-2.419921875,-0.088745117,1,0,0,rectangle_8,-2.419921875,-0.088745117,1,0,0,-2.419921875,-0.088745117,1,0,0,0,0,0,6,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,FF,40.16900635,-82.68463135,1,0,0,response3disk_5,4,1.5909,6.375793457,6.240600586,1,0,0,rectangle_8,-52.355896,87.42755127,1,0,0,-0.407714844,6.383117676,1,0,0,0,1,1,0,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.9011,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,125.6593018,-42.85388184,1,0,0,response3disk_5,5,6.123,4.392272949,4.435546875,1,0,0,rectangle_8,4.392272949,4.435546875,1,0,0,4.392272949,4.435546875,1,0,0,0,2,2,3,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,-73.86865234,39.27069092,1,0,0,response7disk_5,1,4.6379,1.492553711,5.988891602,1,0,0,rectangle_8,1.492553711,5.988891602,1,0,0,1.492553711,5.988891602,1,0,0,0,3,3,2,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,88.82293701,21.98553467,1,0,0,response1disk_5,6,2.881,6.376831055,-9.98614502,1,0,0,rectangle_8,-37.80224609,88.85748291,1,0,0,-7.360046387,-4.358581543,1,0,0,0,4,4,1,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.82,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,-44.00427246,-76.90234375,1,0,0,response5disk_5,3,4.9859,-6.682189941,-4.239074707,1,0,0,rectangle_8,-6.682189941,-4.239074707,1,0,0,-6.682189941,-4.239074707,1,0,0,0,5,5,4,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,-89.02337646,-33.88244629,1,0,0,response5disk_5,2,1.5342,3.976989746,4.946472168,1,0,0,rectangle_8,3.976989746,4.946472168,1,0,0,3.976989746,4.946472168,1,0,0,0,6,6,5,1,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5409,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.5589,3179,73.45849609,-47.74285889,1,0,0,response3disk,,5,-15.75933838,2.831176758,1,0,0,rectangle,-15.75933838,2.831176758,1,0,0,-15.75933838,2.831176758,1,0,0,0,0,0,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.006,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1570,32.05554199,-62.91906738,1,0,0,response3disk,,4,16.15667725,15.90838623,1,0,0,rectangle,16.15667725,15.90838623,1,0,0,16.15667725,15.90838623,1,0,0,0,1,1,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7095,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,75,-42.46777344,-65.7713623,1,0,0,response5disk,,3,9.457702637,-3.46105957,1,0,0,rectangle,-74.26068115,-48.9710083,1,0,0,-10.9732666,3.941650391,1,0,0,0,2,2,94,1,,response5disk_3,TRUE,2,2,"[42,154,58,243,88,60,313,38,194,317,60,27,100,321,3,238,280,137,288,312]",2.7803,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.1459,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3063,84.10754395,-32.92553711,1,0,0,response3disk,,5,11.29119873,-6.592956543,1,0,0,rectangle,11.29119873,-6.592956543,1,0,0,11.29119873,-6.592956543,1,0,0,0,3,3,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6024,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1391,46.08410645,-91.23687744,1,0,0,response3disk,,4,16.12145996,2.509277344,1,0,0,rectangle,16.12145996,2.509277344,1,0,0,16.12145996,2.509277344,1,0,0,0,4,4,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1929,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3157,-82.21258545,-44.28948975,1,0,0,response5disk,,2,21.99462891,4.793823242,1,0,0,rectangle,21.99462891,4.793823242,1,0,0,21.99462891,4.793823242,1,0,0,0,5,5,59,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6196,,,,,,,,,,,,,,,,,,,,,,6102285a4cadf6b3a87ed993,61036a4937ab380134ccb6de,2021-07-29_16h56.43.807,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1711,99.87158203,53.60620117,1,0,0,response1disk,,6,1.431152344,-7.088317871,1,0,0,rectangle,1.431152344,-7.088317871,1,0,0,1.431152344,-7.088317871,1,0,0,0,6,6,45,1,,,,,,,,
