key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.868,space,9.1624,space,37.7011,space,5.809,space,0.8031,space,6.6041,41,PF,-57,78,1,0,0,response7disk_5,0,2.6521,6,2,1,0,0,rectangle_8,6,2,1,0,0,6,2,1,0,0,0,0,0,2,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,-98,46,1,0,0,response7disk_5,1,3.1828,6,-6,1,0,0,rectangle_8,35,-96,1,0,0,2,-2,1,0,0,0,1,1,6,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.8006,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,FF,104,40,1,0,0,response1disk_5,6,3.0331,-4,-6,1,0,0,rectangle_8,-4,-6,1,0,0,-4,-6,1,0,0,0,2,2,5,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,-37,85,1,0,0,response7disk_5,0,0.9997,4,3,1,0,0,rectangle_8,4,3,1,0,0,4,3,1,0,0,0,3,3,1,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,73,-50,1,0,0,response3disk_5,5,6.0485,1,6,1,0,0,rectangle_8,37,-100,1,0,0,-8,-9,1,0,0,0,4,4,0,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.3829,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,FF,42,-100,1,0,0,response3disk_5,4,3.2823,4,3,1,0,0,rectangle_8,4,3,1,0,0,4,3,1,0,0,0,5,5,3,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,83,-37,1,0,0,response3disk_5,5,1.8663,4,0,1,0,0,rectangle_8,4,0,1,0,0,4,0,1,0,0,0,6,6,4,1,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5324,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8069,3890,82,30,1,0,0,response1disk,,6,-10,5,1,0,0,rectangle,-10,5,1,0,0,-10,5,1,0,0,0,0,0,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1799,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2073,52,27,1,0,0,response1disk,,6,17,-5,1,0,0,rectangle,17,-5,1,0,0,17,-5,1,0,0,0,1,1,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3831,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2353,43,-56,1,0,0,response3disk,,4,3,-1,1,0,0,rectangle,3,-1,1,0,0,3,-1,1,0,0,0,2,2,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1664,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3472,-50,-77,1,0,0,response5disk,,3,5,-11,1,0,0,rectangle,5,-11,1,0,0,5,-11,1,0,0,0,3,3,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1363,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,263,-39,-74,1,0,0,response5disk,,3,4,-10,1,0,0,rectangle,4,-10,1,0,0,4,-10,1,0,0,0,4,4,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9992,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3345,75,-43,1,0,0,response3disk,,5,9,1,1,0,0,rectangle,9,1,1,0,0,9,1,1,0,0,0,5,5,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6993,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2378,63,-44,1,0,0,response3disk,,5,-2,-8,1,0,0,rectangle,-2,-8,1,0,0,-2,-8,1,0,0,0,6,6,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,15.5627,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,725,-22,-109,1,0,0,response5disk,,3,5,-2,1,0,0,rectangle,5,-2,1,0,0,5,-2,1,0,0,0,7,7,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8006,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1445,-44,79,1,0,0,response7disk,,0,-16,-3,1,0,0,rectangle,-16,-3,1,0,0,-16,-3,1,0,0,0,8,8,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5833,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2619,79,-40,1,0,0,response3disk,,5,0,-4,1,0,0,rectangle,0,-4,1,0,0,0,-4,1,0,0,0,9,9,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.333,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1970,-74,-32,1,0,0,response5disk,,2,-17,-7,1,0,0,rectangle,-82,-42,1,0,0,-13,-12,1,0,0,0,10,10,65,1,,response5disk_3,TRUE,2,2,"[101,164,203,168,114,196,85,112,92,215,214,245,46,177,276,63,11,321,25,164]",2.0166,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.0832,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3937,-77,-37,1,0,0,response5disk,,2,-9,-10,1,0,0,rectangle,-9,-10,1,0,0,-9,-10,1,0,0,0,11,11,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4326,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2683,87,-41,1,0,0,response3disk,,5,-1,-3,1,0,0,rectangle,-1,-3,1,0,0,-1,-3,1,0,0,0,12,12,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3662,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2154,36,-81,1,0,0,response3disk,,4,-8,2,1,0,0,rectangle,-8,2,1,0,0,-8,2,1,0,0,0,13,13,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4492,,,,,,,,,,,,,,,,,,,,,,610231089f7e70a4aab3d083,610375bdaac237a00c2c669b,2021-07-29_23h56.28.443,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,480,69,34,1,0,0,response1disk,,6,-1,0,1,0,0,rectangle,-1,0,1,0,0,-1,0,1,0,0,0,14,14,30,1,,,,,,,,
