key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2105,space,2.3811,space,8.591,space,5.6694,space,4.5839,space,2.2433,33,FF,-77.91522217,-27.89651489,1,0,0,response5disk_5,2,4.8369,-2.360961914,8.578918457,1,0,0,rectangle_8,-2.360961914,8.578918457,1,0,0,-2.360961914,8.578918457,1,0,0,0,0,0,3,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,PF,80.02386475,-24.25445557,1,0,0,response3disk_5,5,3.3463,-9.682800293,-2.996887207,1,0,0,rectangle_8,24.7434082,-76.77789307,1,0,0,0.673583984,-1.783752441,1,0,0,0,1,1,4,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.5839,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,FF,35.10791016,-69.09014893,1,0,0,response3disk_5,4,3.3695,0.443725586,11.1418457,1,0,0,rectangle_8,0.443725586,11.1418457,1,0,0,0.443725586,11.1418457,1,0,0,0,2,2,0,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,PF,73.81726074,-21.01245117,1,0,0,response3disk_5,5,4.0545,-2.536132813,4.4559021,1,0,0,rectangle_8,-2.536132813,4.4559021,1,0,0,-2.536132813,4.4559021,1,0,0,0,3,3,1,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,68.42700195,29.54830933,1,0,0,response1disk_5,6,2.7788,0.395874023,-1.48348999,1,0,0,rectangle_8,31.36376953,-64.14904785,1,0,0,-5.121276855,6.791137695,1,0,0,0,4,4,5,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.6489,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,137,PF,-63.73937988,-31.9274292,1,0,0,response5disk_5,2,1.634,-1.246337891,-3.4581604,1,0,0,rectangle_8,-1.246337891,-3.4581604,1,0,0,-1.246337891,-3.4581604,1,0,0,0,5,5,2,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,72.80480957,-41.36206055,1,0,0,response3disk_5,5,2.6121,1.021362305,-8.338195801,1,0,0,rectangle_8,1.021362305,-8.338195801,1,0,0,1.021362305,-8.338195801,1,0,0,0,6,6,6,1,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3843,,,,,,,,,,,,,,,,,,,,,,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.6066,2078,41.36456299,-57.80950928,1,0,0,response3disk,,4,7.065063477,1.018920898,1,0,0,rectangle,7.065063477,1.018920898,1,0,0,7.065063477,1.018920898,1,0,0,0,0,0,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.236,,,,,,,,,,,,,,,,,,,,,,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,298,83.11584473,-49.11880493,1,0,0,response3disk,,5,-5.636352539,9.921539307,1,0,0,rectangle,-5.636352539,9.921539307,1,0,0,-5.636352539,9.921539307,1,0,0,0,1,1,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5171,,,,,,,,,,,,,,,,,,,,,,61023602e6e4517b310c24aa,61036c5d4ea5c745f29813cf,2021-07-30_13h06.09.669,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3302,48.34570313,-29.74993896,1,0,0,response3disk,,5,-0.557128906,4.984222412,1,0,0,rectangle,65.76220703,38.49871826,1,0,0,10.44940186,14.19677734,1,0,0,0,2,2,68,1,,response1disk_3,TRUE,6,6,"[45,31,87,246,156,223,189,122,141,3,155,126,25,98,298,175,310,120,304,74]",2.2367,rectangle
