key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.3125,space,19.6614,space,26.4006,space,27.9241,space,2.3165,space,3.4877,71,PF,42.84375,106.3203125,1,0,0,response1disk_5,7,4.7506,-3.05859375,-2.9296875,1,0,0,rectangle_8,-3.05859375,-2.9296875,1,0,0,-3.05859375,-2.9296875,1,0,0,0,0,0,4,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,47.4140625,-62.92578125,1,0,0,response3disk_5,4,1.9157,-5.53125,1.95703125,1,0,0,rectangle_8,-50.55078125,-96.74609375,1,0,0,4.76953125,-7.96875,1,0,0,0,1,1,6,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.9331,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,-39.65625,-73.875,1,0,0,response5disk_5,3,2.7829,-0.546875,-5.3125,1,0,0,rectangle_8,-0.546875,-5.3125,1,0,0,-0.546875,-5.3125,1,0,0,0,2,2,0,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,62.42578125,-30.890625,1,0,0,response3disk_5,5,2.0851,2.3046875,13.328125,1,0,0,rectangle_8,2.3046875,13.328125,1,0,0,2.3046875,13.328125,1,0,0,0,3,3,5,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-83.80859375,-33.94140625,1,0,0,response5disk_5,2,3.8852,11.41796875,-5.2890625,1,0,0,rectangle_8,-31.92578125,-103.0078125,1,0,0,11.7578125,-2.2109375,1,0,0,0,4,4,2,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.965,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,FF,-45.45703125,35.98046875,1,0,0,response7disk_5,1,3.5336,-5.8203125,1.98046875,1,0,0,rectangle_8,-5.8203125,1.98046875,1,0,0,-5.8203125,1.98046875,1,0,0,0,5,5,3,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,25.984375,-81.26171875,1,0,0,response3disk_5,4,2.5993,-2.67578125,-4.75,1,0,0,rectangle_8,-2.67578125,-4.75,1,0,0,-2.67578125,-4.75,1,0,0,0,6,6,1,1,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5677,,,,,,,,,,,,,,,,,,,,,,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,96.5229,1187,-31.203125,-83.13671875,1,0,0,response5disk,,3,0.859375,1.26953125,1,0,0,rectangle,0.859375,1.26953125,1,0,0,0.859375,1.26953125,1,0,0,0,0,0,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2991,,,,,,,,,,,,,,,,,,,,,,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2707,63.94140625,33.35546875,1,0,0,response1disk,,6,4.15625,-0.7890625,1,0,0,rectangle,4.15625,-0.7890625,1,0,0,4.15625,-0.7890625,1,0,0,0,1,1,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0833,,,,,,,,,,,,,,,,,,,,,,61023e0830e893bec6bd8f3c,61037784f5b3fde2956648d5,2021-07-29_22h56.02.237,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1206,57.4375,-28.07421875,1,0,0,response3disk,,5,3.23828125,-2.140625,1,0,0,rectangle,3.23828125,-2.140625,1,0,0,3.23828125,-2.140625,1,0,0,0,2,2,0,1,,,,,,,,
