key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.097,space,4.928,space,14.277,space,5.267,space,0.047,space,2.824,5,PF,50,74,1,0,0,response1disk_5,7,6.459,2,-7,1,0,0,rectangle_8,2,-7,1,0,0,2,-7,1,0,0,0,0,0,2,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,FF,34,63,1,0,0,response1disk_5,7,3.035,9,7,1,0,0,rectangle_8,-23,61,1,0,0,21,14,1,0,0,0,1,1,5,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.667,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,87,-25,1,0,0,response3disk_5,5,4.847,12,11,1,0,0,rectangle_8,12,11,1,0,0,12,11,1,0,0,0,2,2,3,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,39,81,1,0,0,response1disk_5,7,1.816,8,-4,1,0,0,rectangle_8,8,-4,1,0,0,8,-4,1,0,0,0,3,3,4,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,30,49,1,0,0,response1disk_5,7,1.1,21,-7,1,0,0,rectangle_8,-26,63,1,0,0,8,-8,1,0,0,0,4,4,1,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.682,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,-28,62,1,0,0,response7disk_5,0,1.867,3,-8,1,0,0,rectangle_8,3,-8,1,0,0,3,-8,1,0,0,0,5,5,6,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,FF,38,53,1,0,0,response1disk_5,7,1.849,16,5,1,0,0,rectangle_8,16,5,1,0,0,16,5,1,0,0,0,6,6,0,1,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.501,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.103,666,29,58,1,0,0,response1disk,,7,1,8,1,0,0,rectangle,1,8,1,0,0,1,8,1,0,0,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.183,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4283,29,48,1,0,0,response1disk,,7,12,4,1,0,0,rectangle,12,4,1,0,0,12,4,1,0,0,0,1,1,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.552,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1059,39,64,1,0,0,response1disk,,7,14,5,1,0,0,rectangle,14,5,1,0,0,14,5,1,0,0,0,2,2,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.368,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1902,31,63,1,0,0,response1disk,,7,1,-6,1,0,0,rectangle,1,-6,1,0,0,1,-6,1,0,0,0,3,3,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.566,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3876,33,49,1,0,0,response1disk,,7,13,-6,1,0,0,rectangle,13,-6,1,0,0,13,-6,1,0,0,0,4,4,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,590,34,52,1,0,0,response1disk,,7,12,12,1,0,0,rectangle,12,12,1,0,0,12,12,1,0,0,0,5,5,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.565,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,137,35,50,1,0,0,response1disk,,7,14,-3,1,0,0,rectangle,14,-3,1,0,0,14,-3,1,0,0,0,6,6,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.866,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3126,40,69,1,0,0,response1disk,,7,21,-6,1,0,0,rectangle,21,-6,1,0,0,21,-6,1,0,0,0,7,7,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.884,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2805,33,55,1,0,0,response1disk,,7,22,5,1,0,0,rectangle,22,5,1,0,0,22,5,1,0,0,0,8,8,17,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.699,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1776,53,69,1,0,0,response1disk,,7,23,0,1,0,0,rectangle,23,0,1,0,0,23,0,1,0,0,0,9,9,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.716,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1488,43,79,1,0,0,response1disk,,7,11,-4,1,0,0,rectangle,11,-4,1,0,0,11,-4,1,0,0,0,10,10,104,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.536,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3948,42,68,1,0,0,response1disk,,7,13,-7,1,0,0,rectangle,13,-7,1,0,0,13,-7,1,0,0,0,11,11,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.599,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,945,41,80,1,0,0,response1disk,,7,18,15,1,0,0,rectangle,61,26,1,0,0,12,3,1,0,0,0,12,12,64,1,,response1disk_3,TRUE,6,6,"[170,237,223,29,117,68,150,155,42,291,258,295,250,76,13,321,171,306,96,99]",1.898,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.283,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1932,30,64,1,0,0,response1disk,,7,3,5,1,0,0,rectangle,3,5,1,0,0,3,5,1,0,0,0,13,13,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.599,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,212,30,46,1,0,0,response1disk,,7,10,-12,1,0,0,rectangle,10,-12,1,0,0,10,-12,1,0,0,0,14,14,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.616,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,978,42,63,1,0,0,response1disk,,7,21,-3,1,0,0,rectangle,21,-3,1,0,0,21,-3,1,0,0,0,15,15,111,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.049,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2300,67,36,1,0,0,response1disk,,6,22,9,1,0,0,rectangle,22,9,1,0,0,22,9,1,0,0,0,16,16,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.734,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,840,34,60,1,0,0,response1disk,,7,19,8,1,0,0,rectangle,19,8,1,0,0,19,8,1,0,0,0,17,17,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2800,38,56,1,0,0,response1disk,,7,18,2,1,0,0,rectangle,18,2,1,0,0,18,2,1,0,0,0,18,18,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.552,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1350,37,44,1,0,0,response1disk,,7,14,-13,1,0,0,rectangle,14,-13,1,0,0,14,-13,1,0,0,0,19,19,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.467,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,914,31,44,1,0,0,response1disk,,7,17,3,1,0,0,rectangle,17,3,1,0,0,17,3,1,0,0,0,20,20,110,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.883,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,282,39,69,1,0,0,response1disk,,7,19,8,1,0,0,rectangle,19,8,1,0,0,19,8,1,0,0,0,21,21,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.651,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1512,42,64,1,0,0,response1disk,,7,14,-3,1,0,0,rectangle,14,-3,1,0,0,14,-3,1,0,0,0,22,22,144,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.484,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3890,36,58,1,0,0,response1disk,,7,24,3,1,0,0,rectangle,24,3,1,0,0,24,3,1,0,0,0,23,23,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.635,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2139,44,69,1,0,0,response1disk,,7,31,13,1,0,0,rectangle,31,13,1,0,0,31,13,1,0,0,0,24,24,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.217,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3511,62,45,1,0,0,response1disk,,6,-4,7,1,0,0,rectangle,-4,7,1,0,0,-4,7,1,0,0,0,25,25,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.649,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3906,74,23,1,0,0,response1disk,,6,-6,-4,1,0,0,rectangle,-6,-4,1,0,0,-6,-4,1,0,0,0,26,26,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.917,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1089,30,69,1,0,0,response1disk,,7,3,-7,1,0,0,rectangle,3,-7,1,0,0,3,-7,1,0,0,0,27,27,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.752,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3118,22,58,1,0,0,response1disk,,7,2,2,1,0,0,rectangle,-26,67,1,0,0,5,-14,1,0,0,0,28,28,45,1,,response7disk_3,TRUE,0,0,"[170,237,223,29,117,68,150,155,42,291,258,295,250,76,13,321,171,306,96,99]",1.567,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.467,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,712,28,83,1,0,0,response1disk,,7,-1,0,1,0,0,rectangle,-1,0,1,0,0,-1,0,1,0,0,0,29,29,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.719,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3621,24,67,1,0,0,response1disk,,7,6,14,1,0,0,rectangle,6,14,1,0,0,6,14,1,0,0,0,30,30,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.266,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4347,29,56,1,0,0,response1disk,,7,16,17,1,0,0,rectangle,16,17,1,0,0,16,17,1,0,0,0,31,31,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.732,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2340,22,43,1,0,0,response1disk,,7,12,4,1,0,0,rectangle,12,4,1,0,0,12,4,1,0,0,0,32,32,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.565,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3791,28,48,1,0,0,response1disk,,7,16,-3,1,0,0,rectangle,16,-3,1,0,0,16,-3,1,0,0,0,33,33,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.682,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3889,50,83,1,0,0,response1disk,,7,28,13,1,0,0,rectangle,28,13,1,0,0,28,13,1,0,0,0,34,34,36,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.515,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,921,43,60,1,0,0,response1disk,,7,25,10,1,0,0,rectangle,25,10,1,0,0,25,10,1,0,0,0,35,35,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.568,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2400,41,57,1,0,0,response1disk,,7,26,11,1,0,0,rectangle,26,11,1,0,0,26,11,1,0,0,0,36,36,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.435,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2758,43,81,1,0,0,response1disk,,7,19,10,1,0,0,rectangle,19,10,1,0,0,19,10,1,0,0,0,37,37,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.566,,,,,,,,,,,,,,,,,,,,,,61027ef48b6608d0126bab31,61036dfac4ea71d23f9fd660,2021-07-30_13h13.41.114,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3073,37,67,1,0,0,response1disk,,7,19,10,1,0,0,rectangle,19,10,1,0,0,19,10,1,0,0,0,38,38,82,1,,,,,,,,
