key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,7.5034,space,34.3166,space,39.6354,space,32.3417,space,5.4675,space,12.7093,144,FF,-48,-42,1,0,0,response5disk_5,2,13.7212,4,2,1,0,0,rectangle_8,4,2,1,0,0,4,2,1,0,0,0,0,0,0,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,82,-33,1,0,0,response3disk_5,5,8.9342,-16,-2,1,0,0,rectangle_8,40,97,1,0,0,-7,-4,1,0,0,0,1,1,6,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.7563,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,52,-86,1,0,0,response3disk_5,4,6.087,18,1,1,0,0,rectangle_8,18,1,1,0,0,18,1,1,0,0,0,2,2,5,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,-93,-57,1,0,0,response5disk_5,2,4.5039,-11,3,1,0,0,rectangle_8,-11,3,1,0,0,-11,3,1,0,0,0,3,3,2,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,PF,61,41,1,0,0,response1disk_5,6,2.2952,-3,2,1,0,0,rectangle_8,44,98,1,0,0,4,1,1,0,0,0,4,4,4,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.9649,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,-93,-59,1,0,0,response5disk_5,2,7.2,10,1,1,0,0,rectangle_8,10,1,1,0,0,10,1,1,0,0,0,5,5,1,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,FF,-72,-41,1,0,0,response5disk_5,2,3.5875,13,3,1,0,0,rectangle_8,13,3,1,0,0,13,3,1,0,0,0,6,6,3,1,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.9657,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,8.7809,3565,77,-41,1,0,0,response3disk,,5,10,-1,1,0,0,rectangle,10,-1,1,0,0,10,-1,1,0,0,0,0,0,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5805,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,396,-79,-42,1,0,0,response5disk,,2,17,-4,1,0,0,rectangle,17,-4,1,0,0,17,-4,1,0,0,0,1,1,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,16.6487,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1655,38,62,1,0,0,response1disk,,7,-2,-6,1,0,0,rectangle,-2,-6,1,0,0,-2,-6,1,0,0,0,2,2,33,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.3825,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1765,98,38,1,0,0,response1disk,,6,8,3,1,0,0,rectangle,8,3,1,0,0,8,3,1,0,0,0,3,3,61,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0029,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2344,60,28,1,0,0,response1disk,,6,7,-1,1,0,0,rectangle,7,-1,1,0,0,7,-1,1,0,0,0,4,4,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0181,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3935,-78,-54,1,0,0,response5disk,,2,9,-4,1,0,0,rectangle,9,-4,1,0,0,9,-4,1,0,0,0,5,5,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6069,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1694,28,-64,1,0,0,response3disk,,4,-9,10,1,0,0,rectangle,-9,10,1,0,0,-9,10,1,0,0,0,6,6,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8376,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3391,-71,33,1,0,0,response7disk,,1,2,-12,1,0,0,rectangle,2,-12,1,0,0,2,-12,1,0,0,0,7,7,159,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7654,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4032,-37,-84,1,0,0,response5disk,,3,3,0,1,0,0,rectangle,72,-45,1,0,0,-9,-4,1,0,0,0,8,8,146,1,,response3disk_3,TRUE,5,5,"[58,315,315,202,39,216,137,231,298,259,153,141,83,238,9,87,110,232,297,45]",5.473,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.0344,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,431,-29,-69,1,0,0,response5disk,,3,12,9,1,0,0,rectangle,12,9,1,0,0,12,9,1,0,0,0,9,9,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4346,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2780,-68,48,1,0,0,response7disk,,1,-4,-1,1,0,0,rectangle,-4,-1,1,0,0,-4,-1,1,0,0,0,10,10,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1188,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3369,33,-49,1,0,0,response3disk,,4,10,2,1,0,0,rectangle,10,2,1,0,0,10,2,1,0,0,0,11,11,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7381,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3245,-68,50,1,0,0,response7disk,,1,-10,2,1,0,0,rectangle,-10,2,1,0,0,-10,2,1,0,0,0,12,12,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1216,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,226,-43,-77,1,0,0,response5disk,,3,18,1,1,0,0,rectangle,18,1,1,0,0,18,1,1,0,0,0,13,13,93,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2883,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4299,23,-45,1,0,0,response3disk,,4,17,-6,1,0,0,rectangle,17,-6,1,0,0,17,-6,1,0,0,0,14,14,117,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6341,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,261,-71,33,1,0,0,response7disk,,1,-6,-1,1,0,0,rectangle,-6,-1,1,0,0,-6,-1,1,0,0,0,15,15,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4324,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1798,66,-40,1,0,0,response3disk,,5,11,4,1,0,0,rectangle,11,4,1,0,0,11,4,1,0,0,0,16,16,42,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1184,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1207,59,-99,1,0,0,response3disk,,4,9,10,1,0,0,rectangle,9,10,1,0,0,9,10,1,0,0,0,17,17,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8546,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2797,26,-76,1,0,0,response3disk,,4,6,-2,1,0,0,rectangle,6,-2,1,0,0,6,-2,1,0,0,0,18,18,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4534,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2202,66,-55,1,0,0,response3disk,,5,-10,6,1,0,0,rectangle,-10,6,1,0,0,-10,6,1,0,0,0,19,19,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.552,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3613,41,-92,1,0,0,response3disk,,4,12,12,1,0,0,rectangle,12,12,1,0,0,12,12,1,0,0,0,20,20,37,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3142,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1874,90,-57,1,0,0,response3disk,,5,-4,-8,1,0,0,rectangle,-4,-8,1,0,0,-4,-8,1,0,0,0,21,21,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2977,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3974,-77,-43,1,0,0,response5disk,,2,-7,-6,1,0,0,rectangle,-7,-6,1,0,0,-7,-6,1,0,0,0,22,22,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2843,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2075,78,-46,1,0,0,response3disk,,5,20,-4,1,0,0,rectangle,20,-4,1,0,0,20,-4,1,0,0,0,23,23,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6171,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3099,-61,-21,1,0,0,response5disk,,2,-6,0,1,0,0,rectangle,-6,0,1,0,0,-6,0,1,0,0,0,24,24,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8034,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2682,-41,-56,1,0,0,response5disk,,3,-6,-6,1,0,0,rectangle,-6,-6,1,0,0,-6,-6,1,0,0,0,25,25,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2834,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,228,43,-81,1,0,0,response3disk,,4,-1,-1,1,0,0,rectangle,-1,-1,1,0,0,-1,-1,1,0,0,0,26,26,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5503,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2967,26,-69,1,0,0,response3disk,,4,1,-7,1,0,0,rectangle,1,-7,1,0,0,1,-7,1,0,0,0,27,27,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2993,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4120,-49,-25,1,0,0,response5disk,,2,-3,-3,1,0,0,rectangle,-3,-3,1,0,0,-3,-3,1,0,0,0,28,28,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.884,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,300,65,-89,1,0,0,response3disk,,4,9,2,1,0,0,rectangle,9,2,1,0,0,9,2,1,0,0,0,29,29,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4353,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3034,80,-45,1,0,0,response3disk,,5,-8,6,1,0,0,rectangle,-8,6,1,0,0,-8,6,1,0,0,0,30,30,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.117,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,326,-39,-51,1,0,0,response5disk,,3,14,-9,1,0,0,rectangle,14,-9,1,0,0,14,-9,1,0,0,0,31,31,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4837,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,154,-24,-74,1,0,0,response5disk,,3,7,-7,1,0,0,rectangle,7,-7,1,0,0,7,-7,1,0,0,0,32,32,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5035,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2702,-74,-25,1,0,0,response5disk,,2,-15,3,1,0,0,rectangle,-15,3,1,0,0,-15,3,1,0,0,0,33,33,72,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6012,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3220,-42,-72,1,0,0,response5disk,,3,-9,0,1,0,0,rectangle,-9,0,1,0,0,-9,0,1,0,0,0,34,34,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4353,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1295,-56,-69,1,0,0,response5disk,,3,-2,-1,1,0,0,rectangle,-2,-1,1,0,0,-2,-1,1,0,0,0,35,35,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4496,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1123,42,-55,1,0,0,response3disk,,4,14,-2,1,0,0,rectangle,14,-2,1,0,0,14,-2,1,0,0,0,36,36,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2341,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1992,35,-65,1,0,0,response3disk,,4,7,-3,1,0,0,rectangle,7,-3,1,0,0,7,-3,1,0,0,0,37,37,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0342,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2755,-37,-72,1,0,0,response5disk,,3,-6,-11,1,0,0,rectangle,27,-75,1,0,0,-4,-6,1,0,0,0,38,38,31,1,,response3disk_3,TRUE,4,6,"[58,315,315,202,39,216,137,231,298,259,153,141,83,238,9,87,110,232,297,45]",1.8205,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.5575,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3201,-90,-29,1,0,0,response5disk,,2,7,5,1,0,0,rectangle,7,5,1,0,0,7,5,1,0,0,0,39,39,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1869,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3502,-65,-31,1,0,0,response5disk,,2,28,-6,1,0,0,rectangle,28,-6,1,0,0,28,-6,1,0,0,0,40,40,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4006,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,887,-30,96,1,0,0,response7disk,,0,-6,-7,1,0,0,rectangle,-6,-7,1,0,0,-6,-7,1,0,0,0,41,41,47,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1713,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4212,-70,-40,1,0,0,response5disk,,2,5,3,1,0,0,rectangle,5,3,1,0,0,5,3,1,0,0,0,42,42,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.334,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3432,-49,77,1,0,0,response7disk,,0,-18,7,1,0,0,rectangle,-18,7,1,0,0,-18,7,1,0,0,0,43,43,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8344,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4217,18,-67,1,0,0,response3disk,,4,-4,0,1,0,0,rectangle,-46,-49,1,0,0,14,0,1,0,0,0,44,44,118,1,,response5disk_3,TRUE,3,3,"[58,315,315,202,39,216,137,231,298,259,153,141,83,238,9,87,110,232,297,45]",3.5005,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.9339,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,424,35,-92,1,0,0,response3disk,,4,9,-8,1,0,0,rectangle,9,-8,1,0,0,9,-8,1,0,0,0,45,45,126,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4549,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3240,-49,-89,1,0,0,response5disk,,3,5,4,1,0,0,rectangle,5,4,1,0,0,5,4,1,0,0,0,46,46,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.356,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4249,-32,-64,1,0,0,response5disk,,3,13,11,1,0,0,rectangle,13,11,1,0,0,13,11,1,0,0,0,47,47,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0182,,,,,,,,,,,,,,,,,,,,,,6102aa9a20e54b54f0a32c41,61036ea51e0579e042958643,2021-07-30_04h16.53.887,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3407,35,-67,1,0,0,response3disk,,4,9,-7,1,0,0,rectangle,9,-7,1,0,0,9,-7,1,0,0,0,48,48,92,1,,,,,,,,
