key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6503,space,25.9268,space,22.3647,space,2.2363,space,1.1822,space,4.033,28,FF,-34.29999021,70.79999462,1,0,0,response7disk_5,0,4.034,1.700010329,-0.400006443,1,0,0,rectangle_8,1.700010329,-0.400006443,1,0,0,1.700010329,-0.400006443,1,0,0,0,0,0,5,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,PF,-57.09999055,-36.40000698,1,0,0,response5disk_5,2,2.8926,12.9000105,-3.200006485,1,0,0,rectangle_8,81.30001152,28.39999399,1,0,0,5.300010383,-6.000006527,1,0,0,0,1,1,4,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.4758,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,74.90001142,26.79999396,1,0,0,response1disk_5,6,2.2006,-4.699989766,4.399993628,1,0,0,rectangle_8,-4.699989766,4.399993628,1,0,0,-4.699989766,4.399993628,1,0,0,0,2,2,3,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,73.7000114,-34.00000694,1,0,0,response3disk_5,5,2.1505,4.900010377,-4.000006497,1,0,0,rectangle_8,4.900010377,-4.000006497,1,0,0,4.900010377,-4.000006497,1,0,0,0,3,3,2,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,63.70001125,-31.60000691,1,0,0,response3disk_5,5,1.3001,15.70001054,-1.600006461,1,0,0,rectangle_8,104.1000607,21.19999388,1,0,0,9.300010443,-10.40000659,1,0,0,0,4,4,1,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.1167,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,PF,-26.69999009,-54.00000724,1,0,0,response5disk_5,3,1.4838,9.300010443,0.799993575,1,0,0,rectangle_8,9.300010443,0.799993575,1,0,0,9.300010443,0.799993575,1,0,0,0,5,5,6,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,FF,-26.69999009,-69.60000747,1,0,0,response5disk_5,3,4.5169,10.10005928,-6.000006527,1,0,0,rectangle_8,10.10005928,-6.000006527,1,0,0,10.10005928,-6.000006527,1,0,0,0,6,6,0,1,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8005,,,,,,,,,,,,,,,,,,,,,,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.0593,2735,-35.49999022,-65.20000741,1,0,0,response5disk,,3,7.300010413,8.799993694,1,0,0,rectangle,7.300010413,8.799993694,1,0,0,7.300010413,8.799993694,1,0,0,0,0,0,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.416,,,,,,,,,,,,,,,,,,,,,,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,484,34.50001082,-57.20000729,1,0,0,response3disk,,4,11.70001048,5.999993652,1,0,0,rectangle,11.70001048,5.999993652,1,0,0,11.70001048,5.999993652,1,0,0,0,1,1,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2503,,,,,,,,,,,,,,,,,,,,,,6102bfa4053527360211a7b8,61036abe83a9273083c856cf,2021-07-29_22h01.12.158,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3835,59.70001119,-35.20000696,1,0,0,response3disk,,5,19.30001059,3.599993616,1,0,0,rectangle,19.30001059,3.599993616,1,0,0,19.30001059,3.599993616,1,0,0,0,2,2,14,1,,,,,,,,
