key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.3283,space,5.8623,space,10.8043,space,3.0335,space,1.3215,space,3.5354,37,PF,84.5546875,-31.82421875,1,0,0,response3disk_5,5,6.2501,3.51953125,-8.15234375,1,0,0,rectangle_8,3.51953125,-8.15234375,1,0,0,3.51953125,-8.15234375,1,0,0,0,0,0,6,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,PF,21.2421875,61.8359375,1,0,0,response1disk_5,7,1.6664,6.3203125,5.66015625,1,0,0,rectangle_8,-56.4375,87.92578125,1,0,0,11.06640625,-9.94140625,1,0,0,0,1,1,1,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.1371,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,-39.234375,-75.42578125,1,0,0,response5disk_5,3,1.8991,1.296875,-5.1484375,1,0,0,rectangle_8,1.296875,-5.1484375,1,0,0,1.296875,-5.1484375,1,0,0,0,2,2,4,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-55.109375,-40.26171875,1,0,0,response5disk_5,2,1.4002,2.8359375,-2.08203125,1,0,0,rectangle_8,2.8359375,-2.08203125,1,0,0,2.8359375,-2.08203125,1,0,0,0,3,3,5,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,-68.09765625,-34.01171875,1,0,0,response5disk_5,2,1.2996,-17.3125,-9.87109375,1,0,0,rectangle_8,-42.78515625,73.31640625,1,0,0,0.47265625,-4.3984375,1,0,0,0,4,4,2,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.9335,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,69.20703125,107.953125,1,0,0,response1disk_5,7,1.0821,5.49609375,-1.4453125,1,0,0,rectangle_8,5.49609375,-1.4453125,1,0,0,5.49609375,-1.4453125,1,0,0,0,5,5,0,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,FF,84.25390625,41.38671875,1,0,0,response1disk_5,6,1.1686,3.4765625,1.65234375,1,0,0,rectangle_8,3.4765625,1.65234375,1,0,0,3.4765625,1.65234375,1,0,0,0,6,6,3,1,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6192,,,,,,,,,,,,,,,,,,,,,,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,14.4071,3431,-68.95703125,-31.15625,1,0,0,response5disk,,2,5.76171875,4.27734375,1,0,0,rectangle,5.76171875,4.27734375,1,0,0,5.76171875,4.27734375,1,0,0,0,0,0,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4506,,,,,,,,,,,,,,,,,,,,,,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3852,96.89453125,25.03125,1,0,0,response1disk,,6,-0.80859375,-13.375,1,0,0,rectangle,-0.80859375,-13.375,1,0,0,-0.80859375,-13.375,1,0,0,0,1,1,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.6012,,,,,,,,,,,,,,,,,,,,,,6102d3c05c31cb5c38158b34,61036c46f428419531f2ed6e,2021-07-29_20h09.32.433,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3492,93.5625,47.69140625,1,0,0,response1disk,,6,13.03125,1.171875,1,0,0,rectangle,13.03125,1.171875,1,0,0,13.03125,1.171875,1,0,0,0,2,2,67,1,,,,,,,,
