key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.0649,space,17.0541,space,32.0046,space,6.4464,space,1.6232,space,4.953,7,FF,76.00002134,-32.66667837,1,0,0,response3disk_5,5,30.477,6.000019252,-4.000010848,1,0,0,rectangle_8,6.000019252,-4.000010848,1,0,0,6.000019252,-4.000010848,1,0,0,0,0,0,3,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,50.00002056,-80.00001311,1,0,0,response3disk_5,4,24.1091,-9.999981225,5.333322763,1,0,0,rectangle_8,-35.999982,93.99999207,1,0,0,4.000019193,-0.666677415,1,0,0,0,1,1,0,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.6004,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,PF,82.00002152,35.99999034,1,0,0,response1disk_5,6,7.465,7.333393315,1.333322644,1,0,0,rectangle_8,7.333393315,1.333322644,1,0,0,7.333393315,1.333322644,1,0,0,0,2,2,2,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,70.66668785,-45.33334541,1,0,0,response3disk_5,5,7.7143,1.9735E-05,4.666656077,1,0,0,rectangle_8,1.9735E-05,4.666656077,1,0,0,1.9735E-05,4.666656077,1,0,0,0,3,3,1,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,82.6666882,-29.33334494,1,0,0,response3disk_5,5,4.6985,8.666685998,-1.333344102,1,0,0,rectangle_8,-46.66660829,93.99999207,1,0,0,-3.999981046,-8.000010967,1,0,0,0,4,4,5,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.0655,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,46.00002044,85.3333048,1,0,0,response1disk_5,7,4.0983,28.00001991,6.666656137,1,0,0,rectangle_8,28.00001991,6.666656137,1,0,0,28.00001991,6.666656137,1,0,0,0,5,5,6,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,PF,35.33339415,-70.6666795,1,0,0,response3disk_5,4,1.9161,11.33339343,13.99998969,1,0,0,rectangle_8,11.33339343,13.99998969,1,0,0,11.33339343,13.99998969,1,0,0,0,6,6,4,1,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.7155,,,,,,,,,,,,,,,,,,,,,,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.015,949,51.33335394,-33.33334506,1,0,0,response3disk,,5,-5.333314419,-8.000010967,1,0,0,rectangle,-5.333314419,-8.000010967,1,0,0,-5.333314419,-8.000010967,1,0,0,0,0,0,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2525,,,,,,,,,,,,,,,,,,,,,,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3816,34.66668677,-80.00001311,1,0,0,response3disk,,4,10.00001937,-1.333344102,1,0,0,rectangle,10.00001937,-1.333344102,1,0,0,10.00001937,-1.333344102,1,0,0,0,1,1,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7027,,,,,,,,,,,,,,,,,,,,,,6102d6071567279a56ff3479,6103696b1f748f2d73008842,2021-07-29_22h52.55.441,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3416,68.66668779,38.66665709,1,0,0,response1disk,,6,16.00001955,0.666655958,1,0,0,rectangle,45.33335376,86.66665852,1,0,0,6.000019252,3.99998939,1,0,0,0,2,2,89,1,,response1disk_3,TRUE,7,7,"[271,92,198,189,250,5,207,312,68,238,312,307,298,27,253,251,187,3,274,77]",2.9502,rectangle
