key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.338,space,3.356,space,38.695,space,6.864,space,4.787,space,3.393,77,PF,-50,-46.5,1,0,0,response5disk_5,2,8.17,5,-0.5,1,0,0,rectangle_8,5,-0.5,1,0,0,5,-0.5,1,0,0,0,0,0,4,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,FF,27,67.5,1,0,0,response1disk_5,7,2.186,6,-6.5,1,0,0,rectangle_8,-89,-45.5,1,0,0,-4,-2.5,1,0,0,0,1,1,0,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.068,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,29,75.5,1,0,0,response1disk_5,7,2.655,4,-0.5,1,0,0,rectangle_8,4,-0.5,1,0,0,4,-0.5,1,0,0,0,2,2,1,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,FF,-30,-62.5,1,0,0,response5disk_5,3,1.252,-11,-6.5,1,0,0,rectangle_8,-11,-6.5,1,0,0,-11,-6.5,1,0,0,0,3,3,5,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,FF,89,-30.5,1,0,0,response3disk_5,5,1.519,-11,11.5,1,0,0,rectangle_8,-63,-33.5,1,0,0,-12,-1.5,1,0,0,0,4,4,3,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.566,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,77,40.5,1,0,0,response1disk_5,6,1.818,-1,-5.5,1,0,0,rectangle_8,-1,-5.5,1,0,0,-1,-5.5,1,0,0,0,5,5,6,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,22,78.5,1,0,0,response1disk_5,7,1.822,-6,-3.5,1,0,0,rectangle_8,-6,-3.5,1,0,0,-6,-3.5,1,0,0,0,6,6,2,1,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.102,,,,,,,,,,,,,,,,,,,,,,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.958,1941,62,67.5,1,0,0,response1disk,,7,-5,-6.5,1,0,0,rectangle,-5,-6.5,1,0,0,-5,-6.5,1,0,0,0,0,0,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.484,,,,,,,,,,,,,,,,,,,,,,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3288,82,29.5,1,0,0,response1disk,,6,0,4.5,1,0,0,rectangle,0,4.5,1,0,0,0,4.5,1,0,0,0,1,1,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.567,,,,,,,,,,,,,,,,,,,,,,6102f1d7283089bf23293f50,61036e8b66eae2fdffa243ac,2021-07-29_20h16.06.215,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1762,84,-40.5,1,0,0,response3disk,,5,-1,-12.5,1,0,0,rectangle,-1,-12.5,1,0,0,-1,-12.5,1,0,0,0,2,2,130,1,,,,,,,,
