key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0506,space,6.4438,space,53.7231,space,3.7808,space,3.6769,space,2.9832,123,PF,-31.19998902,55.9999708,1,0,0,response7disk_5,0,3.9993,-12.79998875,-9.600030175,1,0,0,rectangle_8,-12.79998875,-9.600030175,1,0,0,-12.79998875,-9.600030175,1,0,0,0,0,0,4,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,PF,-38.3999403,-68.80000664,1,0,0,response5disk_5,3,5.7953,-13.59998876,-3.200005665,1,0,0,rectangle_8,29.60006071,-59.2000065,1,0,0,-12.79998875,-1.600030056,1,0,0,0,1,1,2,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.607,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,-29.599989,-64.80000658,1,0,0,response5disk_5,3,4.1679,-3.999988616,-7.200005725,1,0,0,rectangle_8,-3.999988616,-7.200005725,1,0,0,-3.999988616,-7.200005725,1,0,0,0,2,2,6,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,FF,28.80001187,47.19999509,1,0,0,response1disk_5,7,2.2666,6.400011539,-6.400005713,1,0,0,rectangle_8,6.400011539,-6.400005713,1,0,0,6.400011539,-6.400005713,1,0,0,0,3,3,0,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,PF,32.00001192,-57.60000648,1,0,0,response3disk_5,4,1.4677,1.600060296,-8.000030151,1,0,0,rectangle_8,28.80001187,-71.20000668,1,0,0,-0.799988568,-3.200005665,1,0,0,0,4,4,1,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.0333,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,FF,-75.99998969,-52.8000064,1,0,0,response5disk_5,2,4.7363,2.40001148,-1.600030056,1,0,0,rectangle_8,2.40001148,-1.600030056,1,0,0,2.40001148,-1.600030056,1,0,0,0,5,5,5,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,FF,46.40001214,-78.40005561,1,0,0,response3disk_5,4,3.4301,-11.19998872,7.19999449,1,0,0,rectangle_8,-11.19998872,7.19999449,1,0,0,-11.19998872,7.19999449,1,0,0,0,6,6,3,1,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4065,,,,,,,,,,,,,,,,,,,,,,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,1.8988,2409,70.40001249,19.19999467,1,0,0,response1disk,,6,-0.799988568,-3.00318E-05,1,0,0,rectangle,-0.799988568,-3.00318E-05,1,0,0,-0.799988568,-3.00318E-05,1,0,0,0,0,0,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.468,,,,,,,,,,,,,,,,,,,,,,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1353,-64.79998952,-41.60000624,1,0,0,response5disk,,2,2.40001148,-0.80000563,1,0,0,rectangle,2.40001148,-0.80000563,1,0,0,2.40001148,-0.80000563,1,0,0,0,1,1,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1011,,,,,,,,,,,,,,,,,,,,,,6102fa60aae1a0c56b0c30a5,61036c1c966093412b5d231e,2021-07-29_23h04.23.165,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2662,-60.79998946,43.19999503,1,0,0,response7disk,,1,-11.99998873,2.399970004,1,0,0,rectangle,-11.99998873,2.399970004,1,0,0,-11.99998873,2.399970004,1,0,0,0,2,2,60,1,,,,,,,,
