key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6126,space,11.2455,space,19.7409,space,4.1895,space,2.7012,space,8.3394,65,FF,-27.19998896,-88.80000776,1,0,0,response5disk_5,3,8.4357,-0.799988568,11.99999374,1,0,0,rectangle_8,-0.799988568,11.99999374,1,0,0,-0.799988568,11.99999374,1,0,0,0,0,0,3,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,61.60001236,119.1999709,1,0,0,response1disk_5,7,9.097,12.80001163,-4.000006497,1,0,0,rectangle_8,30.4000119,85.59999484,1,0,0,2.40001148,-2.400006473,1,0,0,0,1,1,6,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.5499,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,110.4000131,33.59999406,1,0,0,response1disk_5,6,6.2987,-9.599988699,-0.800006449,1,0,0,rectangle_8,-9.599988699,-0.800006449,1,0,0,-9.599988699,-0.800006449,1,0,0,0,2,2,5,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,-73.59998965,-40.80000705,1,0,0,response5disk_5,2,6.5156,-1.59998858,7.999993682,1,0,0,rectangle_8,-1.59998858,7.999993682,1,0,0,-1.59998858,7.999993682,1,0,0,0,3,3,1,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,111,FF,-37.59998912,-89.6000566,1,0,0,response5disk_5,3,1.7663,-11.19998872,4.799993634,1,0,0,rectangle_8,42.40001208,97.59999502,1,0,0,-3.999988616,-1.600006461,1,0,0,0,4,4,0,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.9158,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,-33.59998906,-117.600057,1,0,0,response5disk_5,3,2.0326,-7.999988675,-0.800006449,1,0,0,rectangle_8,-7.999988675,-0.800006449,1,0,0,-7.999988675,-0.800006449,1,0,0,0,5,5,2,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,111.2000131,-48.00000715,1,0,0,response3disk_5,5,4.5639,13.60006047,-6.4373E-06,1,0,0,rectangle_8,13.60006047,-6.4373E-06,1,0,0,13.60006047,-6.4373E-06,1,0,0,0,6,6,4,1,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.6337,,,,,,,,,,,,,,,,,,,,,,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.3392,2681,101.600013,-60.00000733,1,0,0,response3disk,,5,21.60006059,3.999993622,1,0,0,rectangle,21.60006059,3.999993622,1,0,0,21.60006059,3.999993622,1,0,0,0,0,0,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8335,,,,,,,,,,,,,,,,,,,,,,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1585,28.80001187,75.19997027,1,0,0,response1disk,,7,-7.999988675,7.999993682,1,0,0,rectangle,-7.999988675,7.999993682,1,0,0,-7.999988675,7.999993682,1,0,0,0,1,1,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8501,,,,,,,,,,,,,,,,,,,,,,6102fc0089a279de6a998e7d,61036e281cbe328e09cf2619,2021-07-30_04h13.03.811,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3266,113.6000131,-35.20000696,1,0,0,response3disk,,5,-2.399939764,-3.200006485,1,0,0,rectangle,-2.399939764,-3.200006485,1,0,0,-2.399939764,-3.200006485,1,0,0,0,2,2,76,1,,,,,,,,
