key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5266,space,8.0748,space,32.228,space,21.92,space,2.3309,space,5.9891,115,FF,79.27781773,-52.38891172,1,0,0,response3disk_5,5,15.1133,-12.94440889,3.166646481,1,0,0,rectangle_8,-12.94440889,3.166646481,1,0,0,-12.94440889,3.166646481,1,0,0,0,0,0,3,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,58.16670561,118.7222075,1,0,0,response1disk_5,7,2.3305,2.611147404,6.499946064,1,0,0,rectangle_8,-95.16663504,-50.1666894,1,0,0,-8.49989642,-0.166687012,1,0,0,0,1,1,1,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.5365,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,111.5001093,46.49994797,1,0,0,response1disk_5,6,3.8698,-6.277741909,-6.833353996,1,0,0,rectangle_8,-6.277741909,-6.833353996,1,0,0,-6.277741909,-6.833353996,1,0,0,0,2,2,5,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,44.83337164,-84.61116939,1,0,0,response3disk_5,4,3.9003,-5.166630745,3.166646481,1,0,0,rectangle_8,-5.166630745,3.166646481,1,0,0,-5.166630745,3.166646481,1,0,0,0,3,3,6,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,-92.94441271,-30.16668844,1,0,0,response5disk_5,2,4.3981,9.277882205,-2.38890934,1,0,0,rectangle_8,-80.72212209,-27.94446611,1,0,0,3.722258568,-2.38890934,1,0,0,0,4,4,4,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.946,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,-37.3888545,-77.9444685,1,0,0,response5disk_5,3,2.9725,4.833369732,7.611091137,1,0,0,rectangle_8,4.833369732,7.611091137,1,0,0,4.833369732,7.611091137,1,0,0,0,5,5,2,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,43.72232829,-89.05561405,1,0,0,response3disk_5,4,2.298,0.388925076,2.055535316,1,0,0,rectangle_8,0.388925076,2.055535316,1,0,0,0.388925076,2.055535316,1,0,0,0,6,6,0,1,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3706,,,,,,,,,,,,,,,,,,,,,,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.741,3353,88.16670704,-53.5000568,1,0,0,response3disk,,5,9.277882205,-3.500054412,1,0,0,rectangle,9.277882205,-3.500054412,1,0,0,9.277882205,-3.500054412,1,0,0,0,0,0,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1669,,,,,,,,,,,,,,,,,,,,,,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1730,83.7223302,-46.8333559,1,0,0,response3disk,,5,-14.05552006,5.3888349,1,0,0,rectangle,-14.05552006,5.3888349,1,0,0,-14.05552006,5.3888349,1,0,0,0,1,1,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2805,,,,,,,,,,,,,,,,,,,,,,610302f87498dc46e622b4bb,61036b98419789b8498b9e80,2021-07-29_21h02.42.511,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2666,-29.61107635,-72.38891268,1,0,0,response5disk,,3,0.388925076,-1.277798176,1,0,0,rectangle,0.388925076,-1.277798176,1,0,0,0.388925076,-1.277798176,1,0,0,0,2,2,45,1,,,,,,,,
