key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.884145,space,6.35939,space,29.38457,space,4.751485,space,0.841955,space,4.612645,11,PF,-37,112,1,0,0,response7disk_5,0,9.42051,13,3,1,0,0,rectangle_8,13,3,1,0,0,13,3,1,0,0,0,0,0,6,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,PF,-80,28,1,0,0,response7disk_5,1,10.171935,8,-6,1,0,0,rectangle_8,106,34,1,0,0,13,-6,1,0,0,0,1,1,1,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.55231,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,FF,101,64,1,0,0,response1disk_5,6,3.220885,13,6,1,0,0,rectangle_8,13,6,1,0,0,13,6,1,0,0,0,2,2,3,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,17,62,1,0,0,response1disk_5,7,2.75202,7,10,1,0,0,rectangle_8,7,10,1,0,0,7,10,1,0,0,0,3,3,5,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,39,84,1,0,0,response1disk_5,7,2.2511,16,2,1,0,0,rectangle_8,75,49,1,0,0,14,4,1,0,0,0,4,4,2,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,4.51914,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,69,-44,1,0,0,response3disk_5,5,4.31868,-15,-5,1,0,0,rectangle_8,-15,-5,1,0,0,-15,-5,1,0,0,0,5,5,4,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,33,83,1,0,0,response1disk_5,7,2.201125,14,-8,1,0,0,rectangle_8,14,-8,1,0,0,14,-8,1,0,0,0,6,6,0,1,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.455125,,,,,,,,,,,,,,,,,,,,,,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.120435,2152,-17,-100,1,0,0,response5disk,,3,15,6,1,0,0,rectangle,15,6,1,0,0,15,6,1,0,0,0,0,0,42,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.384695,,,,,,,,,,,,,,,,,,,,,,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2956,69,36,1,0,0,response1disk,,6,22,-7,1,0,0,rectangle,22,-7,1,0,0,22,-7,1,0,0,0,1,1,38,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.088265,,,,,,,,,,,,,,,,,,,,,,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4202,-46,-76,1,0,0,response5disk,,3,11,-11,1,0,0,rectangle,11,-11,1,0,0,11,-11,1,0,0,0,2,2,132,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.91686,,,,,,,,,,,,,,,,,,,,,,61030dd8991c249c718415b1,610366f3174d8bdd184de667,2021-07-29_21h43.56.234,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3657,83,42,1,0,0,response1disk,,6,0,-8,1,0,0,rectangle,0,-8,1,0,0,0,-8,1,0,0,0,3,3,86,1,,,,,,,,
