key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6651,space,15.681,space,18.129,space,14.3141,space,5.3989,space,5.321,134,FF,106.400013,119.9999954,1,0,0,response1disk_5,7,7.4759,3.200011492,9.599993706,1,0,0,rectangle_8,3.200011492,9.599993706,1,0,0,3.200011492,9.599993706,1,0,0,0,0,0,0,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,FF,113.6000131,31.19996961,1,0,0,response1disk_5,6,5.9001,7.200011551,3.19999361,1,0,0,rectangle_8,53.60001224,115.1999709,1,0,0,-7.199988663,-1.600006461,1,0,0,0,1,1,3,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.7345,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,99.20001292,-56.80000728,1,0,0,response3disk_5,5,2.6163,-1.59998858,4.799993634,1,0,0,rectangle_8,-1.59998858,4.799993634,1,0,0,-1.59998858,4.799993634,1,0,0,0,2,2,4,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,PF,95.20001286,-71.2000075,1,0,0,response3disk_5,5,1.5668,-5.599988639,6.399993658,1,0,0,rectangle_8,-5.599988639,6.399993658,1,0,0,-5.599988639,6.399993658,1,0,0,0,3,3,2,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,FF,-43.1999892,-72.00000751,1,0,0,response5disk_5,3,2.9006,17.60006053,0.799993575,1,0,0,rectangle_8,40.00001204,110.3999952,1,0,0,-10.39993988,-6.400006533,1,0,0,0,4,4,5,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.6505,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,PF,-74.39994084,-42.40000707,1,0,0,response5disk_5,2,1.6472,8.000011563,2.399993598,1,0,0,rectangle_8,8.000011563,2.399993598,1,0,0,8.000011563,2.399993598,1,0,0,0,5,5,6,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,PF,-73.59998965,-53.60000724,1,0,0,response5disk_5,2,1.4819,4.800011516,-4.800006509,1,0,0,rectangle_8,4.800011516,-4.800006509,1,0,0,4.800011516,-4.800006509,1,0,0,0,6,6,1,1,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.5844,,,,,,,,,,,,,,,,,,,,,,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,6.2502,2759,120.8000132,38.39999413,1,0,0,response1disk,,6,11.20001161,-1.600006461,1,0,0,rectangle,11.20001161,-1.600006461,1,0,0,11.20001161,-1.600006461,1,0,0,0,0,0,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5002,,,,,,,,,,,,,,,,,,,,,,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1609,-95.19998997,63.19997009,1,0,0,response7disk,,1,-7.199988663,-1.600006461,1,0,0,rectangle,-7.199988663,-1.600006461,1,0,0,-7.199988663,-1.600006461,1,0,0,0,1,1,21,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4043,,,,,,,,,,,,,,,,,,,,,,61030fd06c01209b13e99780,61036d8ff1c60369da7b77ba,2021-07-29_23h10.54.393,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4026,-97.59999001,27.99999398,1,0,0,response7disk,,1,-11.19998872,4.799993634,1,0,0,rectangle,-11.19998872,4.799993634,1,0,0,-11.19998872,4.799993634,1,0,0,0,2,2,118,1,,,,,,,,
