key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.4643,space,13.6804,space,20.3063,space,9.121,space,1.3343,space,3.9412,100,PF,-44.23828125,86.68359375,1,0,0,response7disk_5,0,7.1526,0.13671875,-2.34765625,1,0,0,rectangle_8,0.13671875,-2.34765625,1,0,0,0.13671875,-2.34765625,1,0,0,0,0,0,1,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,80.70703125,39.53125,1,0,0,response1disk_5,6,3.3496,-3.0546875,1.8359375,1,0,0,rectangle_8,102.4765625,-62.953125,1,0,0,-9.01171875,-4.15625,1,0,0,0,1,1,4,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.9676,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,PF,98.5234375,43.78515625,1,0,0,response1disk_5,6,2.5329,-11.5703125,-2.17578125,1,0,0,rectangle_8,-11.5703125,-2.17578125,1,0,0,-11.5703125,-2.17578125,1,0,0,0,2,2,2,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,81.78125,-65.05859375,1,0,0,response3disk_5,5,1.65,-5.31640625,7.0390625,1,0,0,rectangle_8,-5.31640625,7.0390625,1,0,0,-5.31640625,7.0390625,1,0,0,0,3,3,0,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,FF,98.1796875,44.546875,1,0,0,response1disk_5,6,1.8322,-6.26953125,3.84375,1,0,0,rectangle_8,106.359375,-45.49609375,1,0,0,-6.99609375,0.67578125,1,0,0,0,4,4,3,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.3655,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,46.359375,79.4375,1,0,0,response1disk_5,7,1.2478,-6.0390625,-1.1640625,1,0,0,rectangle_8,-6.0390625,-1.1640625,1,0,0,-6.0390625,-1.1640625,1,0,0,0,5,5,5,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,PF,97.1171875,42.72265625,1,0,0,response1disk_5,6,1.1667,5.01171875,8.5625,1,0,0,rectangle_8,5.01171875,8.5625,1,0,0,5.01171875,8.5625,1,0,0,0,6,6,6,1,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.168,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9664,4034,93.5703125,28.5390625,1,0,0,response1disk,,6,-1.1171875,-1.6015625,1,0,0,rectangle,-1.1171875,-1.6015625,1,0,0,-1.1171875,-1.6015625,1,0,0,0,0,0,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9166,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1722,83.19921875,44.359375,1,0,0,response1disk,,6,15.89453125,1.140625,1,0,0,rectangle,15.89453125,1.140625,1,0,0,15.89453125,1.140625,1,0,0,0,1,1,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3161,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1879,94.0234375,-49.17578125,1,0,0,response3disk,,5,9.3359375,2.32421875,1,0,0,rectangle,9.3359375,2.32421875,1,0,0,9.3359375,2.32421875,1,0,0,0,2,2,44,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8004,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3399,78.51171875,-39.640625,1,0,0,response3disk,,5,5.8984375,-1.8046875,1,0,0,rectangle,5.8984375,-1.8046875,1,0,0,5.8984375,-1.8046875,1,0,0,0,3,3,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7986,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1686,68.72265625,-40.42578125,1,0,0,response3disk,,5,5.01953125,17.703125,1,0,0,rectangle,5.01953125,17.703125,1,0,0,5.01953125,17.703125,1,0,0,0,4,4,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6986,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3680,88.00390625,29.91796875,1,0,0,response1disk,,6,5.84765625,-1.0703125,1,0,0,rectangle,5.84765625,-1.0703125,1,0,0,5.84765625,-1.0703125,1,0,0,0,5,5,100,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0486,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,729,68.13671875,-94.125,1,0,0,response3disk,,4,-4.734375,-8.1328125,1,0,0,rectangle,-4.734375,-8.1328125,1,0,0,-4.734375,-8.1328125,1,0,0,0,6,6,7,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8152,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2129,83.16015625,44.421875,1,0,0,response1disk,,6,-28.25,-6.75,1,0,0,rectangle,-28.25,-6.75,1,0,0,-28.25,-6.75,1,0,0,0,7,7,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9151,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4192,60.50390625,-42.4375,1,0,0,response3disk,,5,11.04296875,-0.78125,1,0,0,rectangle,11.04296875,-0.78125,1,0,0,11.04296875,-0.78125,1,0,0,0,8,8,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7495,,,,,,,,,,,,,,,,,,,,,,6103101795d08201eb44f6a6,61036c0406437e30c4945f18,2021-07-29_22h05.52.213,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1552,74.32421875,35.26171875,1,0,0,response1disk,,6,18.35546875,2.015625,1,0,0,rectangle,18.35546875,2.015625,1,0,0,18.35546875,2.015625,1,0,0,0,9,9,153,1,,,,,,,,
