key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.9691,space,4.4712,space,17.703,space,2.6691,space,0.6515,space,2.7588,12,FF,47.09277344,76.77767944,1,0,0,response1disk_5,7,11.3946,8.692321777,-10.59420776,1,0,0,rectangle_8,8.692321777,-10.59420776,1,0,0,8.692321777,-10.59420776,1,0,0,0,0,0,0,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,41.60461426,109.6934509,1,0,0,response1disk_5,7,2.2157,7.623962402,-6.006256104,1,0,0,rectangle_8,-28.46148682,-49.87313843,1,0,0,9.290527344,5.365814209,1,0,0,0,1,1,1,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.8478,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,FF,61.93505859,36.47177124,1,0,0,response1disk_5,6,6.1262,-11.11938477,-4.513671875,1,0,0,rectangle_8,-11.11938477,-4.513671875,1,0,0,-11.11938477,-4.513671875,1,0,0,0,2,2,3,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,88.80169678,-54.58807373,1,0,0,response3disk_5,5,2.8832,-4.290527344,3.419311523,1,0,0,rectangle_8,-4.290527344,3.419311523,1,0,0,-4.290527344,3.419311523,1,0,0,0,3,3,4,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,-53.12799072,-78.09854126,1,0,0,response5disk_5,3,1.5822,12.83862305,0.656494141,1,0,0,rectangle_8,-36.23937988,-83.80001831,1,0,0,11.8348999,11.90872192,1,0,0,0,4,4,5,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.0302,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,44.80517578,-73.20431519,1,0,0,response3disk_5,4,1.7141,7.328552246,-3.586334229,1,0,0,rectangle_8,7.328552246,-3.586334229,1,0,0,7.328552246,-3.586334229,1,0,0,0,5,5,2,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,-27.30249023,54.04837036,1,0,0,response7disk_5,0,1.8485,8.738769531,2.6875,1,0,0,rectangle_8,8.738769531,2.6875,1,0,0,8.738769531,2.6875,1,0,0,0,6,6,6,1,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0761,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,2.01,1935,82.83294678,43.39779663,1,0,0,response1disk,,6,-4.00604248,-3.373687744,1,0,0,rectangle,-4.00604248,-3.373687744,1,0,0,-4.00604248,-3.373687744,1,0,0,0,0,0,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0473,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4030,49.24987793,73.01327515,1,0,0,response1disk,,7,12.2121582,-0.324279785,1,0,0,rectangle,12.2121582,-0.324279785,1,0,0,12.2121582,-0.324279785,1,0,0,0,1,1,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8814,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,548,-96.6506958,52.96090698,1,0,0,response7disk,,1,16.94451904,-0.173095703,1,0,0,rectangle,16.94451904,-0.173095703,1,0,0,16.94451904,-0.173095703,1,0,0,0,2,2,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6787,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1582,67.87939453,14.53857422,1,0,0,response1disk,,6,17.96594238,-0.748809814,1,0,0,rectangle,17.96594238,-0.748809814,1,0,0,17.96594238,-0.748809814,1,0,0,0,3,3,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3477,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3048,-75.95050049,-39.37722778,1,0,0,response5disk,,2,-7.351074219,-0.463928223,1,0,0,rectangle,-7.351074219,-0.463928223,1,0,0,-7.351074219,-0.463928223,1,0,0,0,4,4,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9134,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3649,60.80358887,58.29211426,1,0,0,response1disk,,6,11.35949707,-2.320800781,1,0,0,rectangle,11.35949707,-2.320800781,1,0,0,11.35949707,-2.320800781,1,0,0,0,5,5,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2146,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3404,78.08197021,-37.29364014,1,0,0,response3disk,,5,17.88842773,-7.031524658,1,0,0,rectangle,17.88842773,-7.031524658,1,0,0,17.88842773,-7.031524658,1,0,0,0,6,6,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7832,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3137,46.64233398,91.0418396,1,0,0,response1disk,,7,-12.51629639,-8.447967529,1,0,0,rectangle,-12.51629639,-8.447967529,1,0,0,-12.51629639,-8.447967529,1,0,0,0,7,7,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0806,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,361,48.70220947,75.62557983,1,0,0,response1disk,,7,4.302856445,5.6121521,1,0,0,rectangle,4.302856445,5.6121521,1,0,0,4.302856445,5.6121521,1,0,0,0,8,8,127,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.815,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1771,51.06262207,38.98413086,1,0,0,response1disk,,6,0.815795898,-9.662475586,1,0,0,rectangle,0.815795898,-9.662475586,1,0,0,0.815795898,-9.662475586,1,0,0,0,9,9,55,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8155,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,140,31.16265869,46.6751709,1,0,0,response1disk,,7,-2.589599609,-2.615356445,1,0,0,rectangle,-2.589599609,-2.615356445,1,0,0,-2.589599609,-2.615356445,1,0,0,0,10,10,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3646,,,,,,,,,,,,,,,,,,,,,,61031048f58595acbfdf85b9,61036a5c811088540506d91f,2021-07-29_22h58.45.872,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1832,56.34460449,24.00628662,1,0,0,response1disk,,6,23.71832275,6.095245361,1,0,0,rectangle,23.71832275,6.095245361,1,0,0,23.71832275,6.095245361,1,0,0,0,11,11,42,1,,,,,,,,
