key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.9189,space,14.3175,space,16.4338,space,6.0423,space,0.7875,space,2.7521,153,PF,-97.1171875,-54.421875,1,0,0,response5disk_5,2,6.0851,22.98046875,-2.65234375,1,0,0,rectangle_8,22.98046875,-2.65234375,1,0,0,22.98046875,-2.65234375,1,0,0,0,0,0,1,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,PF,-80.17578125,-36.17578125,1,0,0,response5disk_5,2,2.2167,7.28125,1.03125,1,0,0,rectangle_8,-80.421875,-43.10546875,1,0,0,-8.8984375,-13.25,1,0,0,0,1,1,6,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.2882,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,FF,48.25390625,-66.74609375,1,0,0,response3disk_5,4,5.7184,16.63671875,-0.90625,1,0,0,rectangle_8,16.63671875,-0.90625,1,0,0,16.63671875,-0.90625,1,0,0,0,2,2,5,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,FF,-75.9296875,-51.484375,1,0,0,response5disk_5,2,1.3482,-7.69140625,-7.62109375,1,0,0,rectangle_8,-7.69140625,-7.62109375,1,0,0,-7.69140625,-7.62109375,1,0,0,0,3,3,3,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,FF,105.0039063,64.6015625,1,0,0,response1disk_5,6,3.2407,-15.203125,-6.2265625,1,0,0,rectangle_8,-78.86328125,-36.7109375,1,0,0,-10.14453125,-8.35546875,1,0,0,0,4,4,0,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.9249,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,PF,-44.87109375,-109.25,1,0,0,response5disk_5,3,1.8056,0.30859375,6.01953125,1,0,0,rectangle_8,0.30859375,6.01953125,1,0,0,0.30859375,6.01953125,1,0,0,0,5,5,4,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,-92.27734375,-42.296875,1,0,0,response5disk_5,2,1.8988,-1.76171875,-1.78515625,1,0,0,rectangle_8,-1.76171875,-1.78515625,1,0,0,-1.76171875,-1.78515625,1,0,0,0,6,6,2,1,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8764,,,,,,,,,,,,,,,,,,,,,,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9387,4115,116.4648438,-50.6875,1,0,0,response3disk,,5,17.03515625,4.06640625,1,0,0,rectangle,17.03515625,4.06640625,1,0,0,17.03515625,4.06640625,1,0,0,0,0,0,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7787,,,,,,,,,,,,,,,,,,,,,,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1839,-39.7421875,-95.890625,1,0,0,response5disk,,3,-2.35546875,7.765625,1,0,0,rectangle,-2.35546875,7.765625,1,0,0,-2.35546875,7.765625,1,0,0,0,1,1,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1891,,,,,,,,,,,,,,,,,,,,,,610311f4fce391260a339321,61036bd0b6a3c9acf7e18597,2021-07-29_22h04.06.006,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,700,-83.046875,-40.8203125,1,0,0,response5disk,,2,-17.07421875,1.3515625,1,0,0,rectangle,-17.07421875,1.3515625,1,0,0,-17.07421875,1.3515625,1,0,0,0,2,2,122,1,,,,,,,,
