key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3532,space,16.3596,space,24.1717,space,8.275900001,space,1.0361,space,15.8993,103,FF,-68,52,1,0,0,response7disk_5,1,2.8231,-2,7,1,0,0,rectangle_8,-2,7,1,0,0,-2,7,1,0,0,0,0,0,5,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,43,71,1,0,0,response1disk_5,7,2.3154,-11,-3,1,0,0,rectangle_8,-71,-29,1,0,0,1,-3,1,0,0,0,1,1,1,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.344200001,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,80,35,1,0,0,response1disk_5,6,2.1033,-3,7,1,0,0,rectangle_8,-3,7,1,0,0,-3,7,1,0,0,0,2,2,3,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,-81,36,1,0,0,response7disk_5,1,3.1652,-15,9,1,0,0,rectangle_8,-15,9,1,0,0,-15,9,1,0,0,0,3,3,6,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,PF,44,-105,1,0,0,response3disk_5,4,3.0853,-1,3,1,0,0,rectangle_8,-112,-57,1,0,0,-11,-5,1,0,0,0,4,4,4,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.7659,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,FF,-38,-97,1,0,0,response5disk_5,3,2.0183,-6,11,1,0,0,rectangle_8,-6,11,1,0,0,-6,11,1,0,0,0,5,5,0,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,42,74,1,0,0,response1disk_5,7,1.1753,1,-2,1,0,0,rectangle_8,1,-2,1,0,0,1,-2,1,0,0,0,6,6,2,1,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0875,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.4024,2124,80,45,1,0,0,response1disk,,6,-18,9,1,0,0,rectangle,-18,9,1,0,0,-18,9,1,0,0,0,0,0,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.184599999,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1373,-40,94,1,0,0,response7disk,,0,-7,3,1,0,0,rectangle,-43,-101,1,0,0,-4,-4,1,0,0,0,1,1,13,1,,response5disk_3,TRUE,3,3,"[179,288,9,264,233,231,48,310,111,287,66,212,235,2,192,228,94,263,215,36]",2.6512,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.781,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1729,48,-102,1,0,0,response3disk,,4,2,-2,1,0,0,rectangle,2,-2,1,0,0,2,-2,1,0,0,0,2,2,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1506,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4217,103,21,1,0,0,response1disk,,6,-3,1,1,0,0,rectangle,-3,1,1,0,0,-3,1,1,0,0,0,3,3,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1139,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,996,-44,-101,1,0,0,response5disk,,3,-1,3,1,0,0,rectangle,-1,3,1,0,0,-1,3,1,0,0,0,4,4,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9429,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2882,-96,-69,1,0,0,response5disk,,2,0,11,1,0,0,rectangle,0,11,1,0,0,0,11,1,0,0,0,5,5,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.475200001,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,642,-31,-87,1,0,0,response5disk,,3,2,11,1,0,0,rectangle,2,11,1,0,0,2,11,1,0,0,0,6,6,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3804,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1620,-84,-38,1,0,0,response5disk,,2,-6,-12,1,0,0,rectangle,-6,-12,1,0,0,-6,-12,1,0,0,0,7,7,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.478099999,,,,,,,,,,,,,,,,,,,,,,610311f92fb14a35337137e7,610368e807a4a531425213df,2021-07-29_22h55.40.351,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1083,27,-95,1,0,0,response3disk,,4,-12,1,1,0,0,rectangle,-43,-92,1,0,0,4,-7,1,0,0,0,8,8,142,1,,response5disk_3,TRUE,3,3,"[179,288,9,264,233,231,48,310,111,287,66,212,235,2,192,228,94,263,215,36]",1.696,rectangle
