key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.28484,space,13.53069,space,38.888355,space,5.42516,space,1.43229,space,3.98287,3,FF,63.46875,-36.50338745,1,0,0,response3disk_5,5,13.91908,-10.46459961,1.048706055,1,0,0,rectangle_8,-10.46459961,1.048706055,1,0,0,-10.46459961,1.048706055,1,0,0,0,0,0,0,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,PF,34.17529297,93.87423706,1,0,0,response1disk_5,7,6.783285,-1.914367676,-2.817565918,1,0,0,rectangle_8,85.11621094,-55.35406494,1,0,0,-4.250549316,4.759277344,1,0,0,0,1,1,2,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.335215,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,107.6343384,27.9225769,1,0,0,response1disk_5,6,4.80062,6.012695313,-3.582092285,1,0,0,rectangle_8,6.012695313,-3.582092285,1,0,0,6.012695313,-3.582092285,1,0,0,0,2,2,5,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,-28.9475708,-55.67831421,1,0,0,response5disk_5,3,2.766915,-13.7477417,0.459960938,1,0,0,rectangle_8,-13.7477417,0.459960938,1,0,0,-13.7477417,0.459960938,1,0,0,0,3,3,3,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,134,PF,49.78308105,-72.38287354,1,0,0,response3disk_5,4,3.333655,-3.266723633,-2.532440186,1,0,0,rectangle_8,119.4443359,-33.86364746,1,0,0,6.433654785,1.022979736,1,0,0,0,4,4,4,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.986845,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,-107.1228027,39.30166626,1,0,0,response7disk_5,1,2.51682,-10.4375,-4.816345215,1,0,0,rectangle_8,-10.4375,-4.816345215,1,0,0,-10.4375,-4.816345215,1,0,0,0,5,5,6,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,PF,62.18188477,31.88238525,1,0,0,response1disk_5,6,2.450775,1.349914551,-6.855987549,1,0,0,rectangle_8,1.349914551,-6.855987549,1,0,0,1.349914551,-6.855987549,1,0,0,0,6,6,1,1,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,123.69536,,,,,,,,,,,,,,,,,,,,,,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,3.66816,496,-63.65710449,-86.33032227,1,0,0,response5disk,,3,-24.58978271,-4.982330322,1,0,0,rectangle,-24.58978271,-4.982330322,1,0,0,-24.58978271,-4.982330322,1,0,0,0,0,0,117,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.24948,,,,,,,,,,,,,,,,,,,,,,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4240,71.78430176,-28.73895264,1,0,0,response3disk,,5,-0.125610352,-0.231567383,1,0,0,rectangle,-45.13378906,85.17938232,1,0,0,1.660644531,-2.954772949,1,0,0,0,1,1,142,1,,response7disk_3,TRUE,0,0,"[233,67,71,70,219,110,107,141,2,57,111,178,136,3,310,309,23,301,34,88]",3.176635,rectangle
,,,,,,,,,,,,,FF,,,,,,,,4.066965,,,,,,,,,,,,,,,,,,,,,,610313c21dc0b22ab21ed775,61036cfad281cbf50c8e6efa,2021-07-29_20h08.21.037,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,2986,37.7612915,-64.4887085,1,0,0,response3disk,,4,-28.03094482,-1.94934082,1,0,0,rectangle,-84.63659668,-56.82925415,1,0,0,-9.975646973,-8.089050293,1,0,0,0,2,2,104,1,,response5disk_3,TRUE,2,2,"[233,67,71,70,219,110,107,141,2,57,111,178,136,3,310,309,23,301,34,88]",2.253115,rectangle
