key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name,trials_2.order
space,13.5508,space,23.321,space,28.0097,space,17.203,space,6.4026,space,5.7025,155,PF,41.734375,101.0820313,1,0,0,response1disk_5,7,14.1918,4.66015625,-8.87890625,1,0,0,rectangle_8,4.66015625,-8.87890625,1,0,0,4.66015625,-8.87890625,1,0,0,0,0,0,2,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,FF,44.73046875,-102.8320313,1,0,0,response3disk_5,4,18.6818,-4.21484375,-12.4453125,1,0,0,rectangle_8,36.41015625,-104.4414063,1,0,0,-5.0625,-2.484375,1,0,0,0,1,1,0,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,6.2511,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,64.1328125,44.98046875,1,0,0,response1disk_5,6,6.0165,-7.84375,0.2890625,1,0,0,rectangle_8,-7.84375,0.2890625,1,0,0,-7.84375,0.2890625,1,0,0,0,2,2,4,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,PF,103.1835938,37.41796875,1,0,0,response1disk_5,6,1.6209,-13.15234375,-3.984375,1,0,0,rectangle_8,-13.15234375,-3.984375,1,0,0,-13.15234375,-3.984375,1,0,0,0,3,3,6,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,FF,-87.8359375,56.046875,1,0,0,response7disk_5,1,4.3622,1.51953125,-4.37890625,1,0,0,rectangle_8,39.4375,-105.25,1,0,0,-12.296875,-8.96484375,1,0,0,0,4,4,3,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.7236,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,FF,46.47265625,28.88671875,1,0,0,response1disk_5,6,1.8716,-14.42578125,-3.94921875,1,0,0,rectangle_8,-14.42578125,-3.94921875,1,0,0,-14.42578125,-3.94921875,1,0,0,0,5,5,5,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,PF,-117.53125,47.34375,1,0,0,response7disk_5,1,3.6921,0.5859375,-3.0703125,1,0,0,rectangle_8,0.5859375,-3.0703125,1,0,0,0.5859375,-3.0703125,1,0,0,0,6,6,1,1,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.8666,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6957,1988,88.64453125,37.8984375,1,0,0,response1disk,,6,24.02734375,-1.37109375,1,0,0,rectangle,24.02734375,-1.37109375,1,0,0,24.02734375,-1.37109375,1,0,0,0,0,0,106,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5884,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,964,55.76953125,76.23046875,1,0,0,response1disk,,7,-8.25,3.81640625,1,0,0,rectangle,-8.25,3.81640625,1,0,0,-8.25,3.81640625,1,0,0,0,1,1,53,1,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.002,,,,,,,,,,,,,,,,,,,,,,6103145ca84c21e92682d6cf,6103700653b06843ea592137,2021-07-29_23h22.45.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,152,25.1484375,81.31640625,1,0,0,response1disk,,7,-11.75,-7.3046875,1,0,0,rectangle,-11.75,-7.3046875,1,0,0,-11.75,-7.3046875,1,0,0,0,2,2,134,1,,,,,,,,,
