key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.0282,space,6.7294,space,25.2492,space,4.7298,space,0.7859,space,2.8062,102,PF,-43.03466797,-85.55560303,1,0,0,response5disk_5,3,5.3512,1.994567871,-7.239257813,1,0,0,rectangle_8,1.994567871,-7.239257813,1,0,0,1.994567871,-7.239257813,1,0,0,0,0,0,6,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,PF,74.46295166,35.72412109,1,0,0,response1disk_5,6,1.9859,0.342346191,-4.032226563,1,0,0,rectangle_8,-37.16900635,-100.5198364,1,0,0,-1.709899902,-0.607116699,1,0,0,0,1,1,2,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.2701,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,PF,-93.31549072,-50.43341064,1,0,0,response5disk_5,2,1.3909,6.213928223,1.328491211,1,0,0,rectangle_8,6.213928223,1.328491211,1,0,0,6.213928223,1.328491211,1,0,0,0,2,2,1,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,FF,34.42602539,-64.89028931,1,0,0,response3disk_5,4,1.4165,-0.05871582,-3.916320801,1,0,0,rectangle_8,-0.05871582,-3.916320801,1,0,0,-0.05871582,-3.916320801,1,0,0,0,3,3,5,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,PF,71.68536377,18.18283081,1,0,0,response1disk_5,6,1.6986,1.874267578,-3.054077148,1,0,0,rectangle_8,-18.324646,-61.72265625,1,0,0,2.402526855,-9.476379395,1,0,0,0,4,4,4,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.516,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,FF,-52.12823486,26.11846924,1,0,0,response7disk_5,1,1.0668,12.36584473,9.934997559,1,0,0,rectangle_8,12.36584473,9.934997559,1,0,0,12.36584473,9.934997559,1,0,0,0,5,5,0,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,FF,97.8303833,-73.75039673,1,0,0,response3disk_5,5,1.9843,-1.516845703,-5.920471191,1,0,0,rectangle_8,-1.516845703,-5.920471191,1,0,0,-1.516845703,-5.920471191,1,0,0,0,6,6,3,1,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2669,,,,,,,,,,,,,,,,,,,,,,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,22.1425,1470,-52.98602295,-33.47888184,1,0,0,response5disk,,2,5.524658203,1.220214844,1,0,0,rectangle,5.524658203,1.220214844,1,0,0,5.524658203,1.220214844,1,0,0,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2172,,,,,,,,,,,,,,,,,,,,,,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1242,45.03717041,-64.1383667,1,0,0,response3disk,,4,7.341491699,3.132202148,1,0,0,rectangle,7.341491699,3.132202148,1,0,0,7.341491699,3.132202148,1,0,0,0,1,1,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5662,,,,,,,,,,,,,,,,,,,,,,6103172048a198940b193018,610367998d2d09ec85bb0ae8,2021-07-29_22h45.14.502,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2336,65.16082764,-49.20962524,1,0,0,response3disk,,5,12.82556152,-12.52935791,1,0,0,rectangle,12.82556152,-12.52935791,1,0,0,12.82556152,-12.52935791,1,0,0,0,2,2,133,1,,,,,,,,
