key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.6968,space,2.1813,space,22.2657,space,1.6659,space,1.1502,space,2.0021,141,FF,36.16796875,82.73046875,1,0,0,response1disk_5,7,6.869,2.6953125,-7.40234375,1,0,0,rectangle_8,2.6953125,-7.40234375,1,0,0,2.6953125,-7.40234375,1,0,0,0,0,0,0,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,FF,33.13671875,80.77734375,1,0,0,response1disk_5,7,1.9988,-2.59375,9.6953125,1,0,0,rectangle_8,-94.5703125,33.44140625,1,0,0,-2.640625,-0.046875,1,0,0,0,1,1,3,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.8505,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,-33.47265625,-70.953125,1,0,0,response5disk_5,3,2.5165,4.20703125,-2.328125,1,0,0,rectangle_8,4.20703125,-2.328125,1,0,0,4.20703125,-2.328125,1,0,0,0,2,2,2,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,PF,27.62890625,-55.71484375,1,0,0,response3disk_5,4,1.65,-1.51953125,8.6171875,1,0,0,rectangle_8,-1.51953125,8.6171875,1,0,0,-1.51953125,8.6171875,1,0,0,0,3,3,4,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,PF,-77.19921875,25.24609375,1,0,0,response7disk_5,1,0.6824,7.71484375,-2.42578125,1,0,0,rectangle_8,-91.53515625,37.3828125,1,0,0,-4.4453125,-5.390625,1,0,0,0,4,4,6,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.4489,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,32.91015625,-51.828125,1,0,0,response3disk_5,4,2.2658,-20.4140625,4.625,1,0,0,rectangle_8,-20.4140625,4.625,1,0,0,-20.4140625,4.625,1,0,0,0,5,5,1,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,FF,-83.67578125,-42.84375,1,0,0,response5disk_5,2,2.4654,-1.57421875,-1.4453125,1,0,0,rectangle_8,-1.57421875,-1.4453125,1,0,0,-1.57421875,-1.4453125,1,0,0,0,6,6,5,1,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7499,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5739,1149,-30.73828125,-73.6640625,1,0,0,response5disk,,3,4.2265625,0.38671875,1,0,0,rectangle,4.2265625,0.38671875,1,0,0,4.2265625,0.38671875,1,0,0,0,0,0,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3332,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2496,50.16796875,-33.9375,1,0,0,response3disk,,5,3.7890625,1.390625,1,0,0,rectangle,3.7890625,1.390625,1,0,0,3.7890625,1.390625,1,0,0,0,1,1,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7331,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4199,26.53125,67.99609375,1,0,0,response1disk,,7,2.07421875,-0.87109375,1,0,0,rectangle,2.07421875,-0.87109375,1,0,0,2.07421875,-0.87109375,1,0,0,0,2,2,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3667,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,632,-37.6796875,-98.53515625,1,0,0,response5disk,,3,-3.83203125,-5.93359375,1,0,0,rectangle,-3.83203125,-5.93359375,1,0,0,-3.83203125,-5.93359375,1,0,0,0,3,3,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0494,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1727,18.59375,54.4453125,1,0,0,response1disk,,7,5.81640625,-3.29296875,1,0,0,rectangle,5.81640625,-3.29296875,1,0,0,5.81640625,-3.29296875,1,0,0,0,4,4,37,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1673,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,173,65.93359375,-35.4296875,1,0,0,response3disk,,5,-5,2.62109375,1,0,0,rectangle,-5,2.62109375,1,0,0,-5,2.62109375,1,0,0,0,5,5,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5839,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3308,38.79296875,74.76171875,1,0,0,response1disk,,7,-5.58203125,-5.3984375,1,0,0,rectangle,-5.58203125,-5.3984375,1,0,0,-5.58203125,-5.3984375,1,0,0,0,6,6,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3844,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4188,-54.4921875,-78.6953125,1,0,0,response5disk,,3,-5.375,5.46484375,1,0,0,rectangle,-5.375,5.46484375,1,0,0,-5.375,5.46484375,1,0,0,0,7,7,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1537,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,253,-65.234375,-28.80078125,1,0,0,response5disk,,2,10.34375,0.07421875,1,0,0,rectangle,10.34375,0.07421875,1,0,0,10.34375,0.07421875,1,0,0,0,8,8,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1970,-32.82421875,-67.8046875,1,0,0,response5disk,,3,3.9375,5.64453125,1,0,0,rectangle,3.9375,5.64453125,1,0,0,3.9375,5.64453125,1,0,0,0,9,9,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5186,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1459,-80.6953125,-55.296875,1,0,0,response5disk,,2,-1.6875,-3.89453125,1,0,0,rectangle,-1.6875,-3.89453125,1,0,0,-1.6875,-3.89453125,1,0,0,0,10,10,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3996,,,,,,,,,,,,,,,,,,,,,,610317bf4ff2cfcff5c3d8d1,61036e76feab2892fddca0c1,2021-07-29_20h16.57.766,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2681,41.046875,-77.19921875,1,0,0,response3disk,,4,1.64453125,-0.71875,1,0,0,rectangle,1.64453125,-0.71875,1,0,0,1.64453125,-0.71875,1,0,0,0,11,11,131,1,,,,,,,,
