key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,21.2744,space,9.6192,space,11.6038,space,12.6907,space,1.4313,space,4.3739,154,PF,90.6072998,-55.40847778,1,0,0,response3disk_5,5,8.3438,2.381225586,-0.857910156,1,0,0,rectangle_8,2.381225586,-0.857910156,1,0,0,2.381225586,-0.857910156,1,0,0,0,0,0,1,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,40.36682129,-88.85073853,1,0,0,response3disk_5,4,4.1132,4.856140137,0.998626709,1,0,0,rectangle_8,-36.86053467,-83.68997192,1,0,0,-7.411010742,-1.177764893,1,0,0,0,1,1,6,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,4.4476,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,85.83105469,62.83178711,1,0,0,response1disk_5,6,3.3971,-3.61730957,-0.381134033,1,0,0,rectangle_8,-3.61730957,-0.381134033,1,0,0,-3.61730957,-0.381134033,1,0,0,0,2,2,0,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,92.21990967,22.86813354,1,0,0,response1disk_5,6,2.0812,2.85748291,-2.1434021,1,0,0,rectangle_8,2.85748291,-2.1434021,1,0,0,2.85748291,-2.1434021,1,0,0,0,3,3,3,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,PF,39.99389648,-60.96298218,1,0,0,response3disk_5,4,1.8155,10.11151123,-5.577941895,1,0,0,rectangle_8,-52.85736084,-93.17263794,1,0,0,-5.190917969,0.765533447,1,0,0,0,4,4,4,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.2647,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,95.28082275,-35.62280273,1,0,0,response3disk_5,5,3.4637,-2.010070801,5.759155273,1,0,0,rectangle_8,-2.010070801,5.759155273,1,0,0,-2.010070801,5.759155273,1,0,0,0,5,5,2,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,FF,40.08032227,-59.29171753,1,0,0,response3disk_5,4,1.5316,1.127197266,-2.248596191,1,0,0,rectangle_8,1.127197266,-2.248596191,1,0,0,1.127197266,-2.248596191,1,0,0,0,6,6,5,1,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5461,,,,,,,,,,,,,,,,,,,,,,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,3.0008,1429,-34.20001221,-79.02029419,1,0,0,response5disk,,3,1.475036621,9.565124512,1,0,0,rectangle,1.475036621,9.565124512,1,0,0,1.475036621,9.565124512,1,0,0,0,0,0,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8979,,,,,,,,,,,,,,,,,,,,,,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,2222,-44.52191162,-67.58618164,1,0,0,response5disk,,3,0.169677734,4.127044678,1,0,0,rectangle,0.169677734,4.127044678,1,0,0,0.169677734,4.127044678,1,0,0,0,1,1,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5158,,,,,,,,,,,,,,,,,,,,,,61031c95c9b3c0c70b9f60a7,61036dffeff4554e65c63561,2021-07-29_20h19.05.827,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3312,63.13598633,-73.54129028,1,0,0,response3disk,,4,-0.54309082,2.43258667,1,0,0,rectangle,-0.54309082,2.43258667,1,0,0,-0.54309082,2.43258667,1,0,0,0,2,2,98,1,,,,,,,,
