key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.6473,space,10.6475,space,25.9471,space,4.2327,space,2.1334,space,4.2999,142,PF,112.6254272,-60.43927002,1,0,0,response3disk_5,5,8.4343,36.0612793,-9.068847656,1,0,0,rectangle_8,36.0612793,-9.068847656,1,0,0,36.0612793,-9.068847656,1,0,0,0,0,0,4,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,117.0675659,-71.71972656,1,0,0,response3disk_5,5,5.3167,13.03747559,-0.582763672,1,0,0,rectangle_8,-83.50964355,-51.27941895,1,0,0,-5.653747559,-5.566955566,1,0,0,0,1,1,2,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,5.2002,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,-106.4978027,-65.52679443,1,0,0,response5disk_5,2,2.849,-0.577819824,-8.155212402,1,0,0,rectangle_8,-0.577819824,-8.155212402,1,0,0,-0.577819824,-8.155212402,1,0,0,0,2,2,0,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,37.68695068,61.83743286,1,0,0,response1disk_5,7,2.8002,5.042114258,-4.742980957,1,0,0,rectangle_8,5.042114258,-4.742980957,1,0,0,5.042114258,-4.742980957,1,0,0,0,3,3,3,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,108.5391235,-41.11407471,1,0,0,response3disk_5,5,3.3672,-13.36340332,7.7109375,1,0,0,rectangle_8,-96.03668213,-61.61968994,1,0,0,0.985351563,-7.662536621,1,0,0,0,4,4,5,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.5496,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,PF,-49.97149658,120.2653503,1,0,0,response7disk_5,0,6.8666,-5.640136719,-9.982849121,1,0,0,rectangle_8,-5.640136719,-9.982849121,1,0,0,-5.640136719,-9.982849121,1,0,0,0,5,5,6,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,27.6942749,-62.9239502,1,0,0,response3disk_5,4,11.5994,15.4006958,-3.808166504,1,0,0,rectangle_8,15.4006958,-3.808166504,1,0,0,15.4006958,-3.808166504,1,0,0,0,6,6,1,1,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.901,,,,,,,,,,,,,,,,,,,,,,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0986,1208,60.98760986,-24.97583008,1,0,0,response3disk,,5,4.280151367,0.249450684,1,0,0,rectangle,4.280151367,0.249450684,1,0,0,4.280151367,0.249450684,1,0,0,0,0,0,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.4832,,,,,,,,,,,,,,,,,,,,,,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1486,123.2713623,-41.1585083,1,0,0,response3disk,,5,19.98248291,-3.733520508,1,0,0,rectangle,19.98248291,-3.733520508,1,0,0,19.98248291,-3.733520508,1,0,0,0,1,1,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2997,,,,,,,,,,,,,,,,,,,,,,61031e3bc2b8928823a87c43,61036e5f0998bbc6b7932c03,2021-07-29_23h14.27.772,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1193,58.73242188,99.06060791,1,0,0,response1disk,,7,16.91796875,1.535339355,1,0,0,rectangle,16.91796875,1.535339355,1,0,0,16.91796875,1.535339355,1,0,0,0,2,2,34,1,,,,,,,,
