key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.899,space,4.721,space,16.952,space,8.051,space,1.387,space,3.514,37,FF,-47,-84,1,0,0,response5disk_5,3,15.033,2,-1,1,0,0,rectangle_8,2,-1,1,0,0,2,-1,1,0,0,0,0,0,3,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,PF,32,67,1,0,0,response1disk_5,7,4.465,2,2,1,0,0,rectangle_8,-98,-36,1,0,0,0,-2,1,0,0,0,1,1,6,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.716,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,FF,40,-65,1,0,0,response3disk_5,4,2.333,12,-2,1,0,0,rectangle_8,12,-2,1,0,0,12,-2,1,0,0,0,2,2,0,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,20,61,1,0,0,response1disk_5,7,3.384,10,-3,1,0,0,rectangle_8,10,-3,1,0,0,10,-3,1,0,0,0,3,3,1,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,41,-81,1,0,0,response3disk_5,4,2.683,-3,-3,1,0,0,rectangle_8,-85,-42,1,0,0,3,2,1,0,0,0,4,4,2,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.516,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,FF,79,-52,1,0,0,response3disk_5,5,4.6,13,-1,1,0,0,rectangle_8,13,-1,1,0,0,13,-1,1,0,0,0,5,5,5,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,63,-41,1,0,0,response3disk_5,5,1.717,0,-7,1,0,0,rectangle_8,0,-7,1,0,0,0,-7,1,0,0,0,6,6,4,1,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.966,,,,,,,,,,,,,,,,,,,,,,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.674,3300,68,-41,1,0,0,response3disk,,5,-8,0,1,0,0,rectangle,-8,0,1,0,0,-8,0,1,0,0,0,0,0,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.884,,,,,,,,,,,,,,,,,,,,,,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2128,38,-51,1,0,0,response3disk,,4,8,-13,1,0,0,rectangle,8,-13,1,0,0,8,-13,1,0,0,0,1,1,3,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,61031efd1da4a14d8e9a86af,61036de4dee18f65f98ca7d7,2021-07-29_23h12.32.896,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2631,40,-63,1,0,0,response3disk,,4,2,-4,1,0,0,rectangle,2,-4,1,0,0,2,-4,1,0,0,0,2,2,138,1,,,,,,,,
