key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.271,space,16.534,space,20.888,space,20.657,space,4.773,space,4.518,77,PF,45,98,1,0,0,response1disk_5,7,16.423,2,-2,1,0,0,rectangle_8,2,-2,1,0,0,2,-2,1,0,0,0,0,0,4,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,-33,-100,1,0,0,response5disk_5,3,6.813,1,-8,1,0,0,rectangle_8,-40,-96,1,0,0,-2,-4,1,0,0,0,1,1,6,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.755,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,85,-28,1,0,0,response3disk_5,5,3.509,-3,2,1,0,0,rectangle_8,-3,2,1,0,0,-3,2,1,0,0,0,2,2,3,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,FF,-47,90,1,0,0,response7disk_5,0,2.001,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,-3,3,1,0,0,0,3,3,0,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,47,-54,1,0,0,response3disk_5,4,2.136,-8,-2,1,0,0,rectangle_8,-31,-80,1,0,0,1,1,1,0,0,0,4,4,1,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.092,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,-20,-89,1,0,0,response5disk_5,3,3.141,6,4,1,0,0,rectangle_8,6,4,1,0,0,6,4,1,0,0,0,5,5,5,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,83,-45,1,0,0,response3disk_5,5,2.118,-1,-1,1,0,0,rectangle_8,-1,-1,1,0,0,-1,-1,1,0,0,0,6,6,2,1,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.596,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,74.442,2534,41,-84,1,0,0,response3disk,,4,16,-7,1,0,0,rectangle,16,-7,1,0,0,16,-7,1,0,0,0,0,0,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.444,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4344,-53,83,1,0,0,response7disk,,0,-5,7,1,0,0,rectangle,-5,7,1,0,0,-5,7,1,0,0,0,1,1,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3425,-44,70,1,0,0,response7disk,,0,1,7,1,0,0,rectangle,1,7,1,0,0,1,7,1,0,0,0,2,2,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.743,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2674,60,-68,1,0,0,response3disk,,4,-8,1,1,0,0,rectangle,-8,1,1,0,0,-8,1,1,0,0,0,3,3,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3273,75,-50,1,0,0,response3disk,,5,-6,7,1,0,0,rectangle,-6,7,1,0,0,-6,7,1,0,0,0,4,4,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.022,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,550,-69,35,1,0,0,response7disk,,1,-2,3,1,0,0,rectangle,-2,3,1,0,0,-2,3,1,0,0,0,5,5,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.071,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2607,-72,-35,1,0,0,response5disk,,2,8,3,1,0,0,rectangle,8,3,1,0,0,8,3,1,0,0,0,6,6,88,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.997,,,,,,,,,,,,,,,,,,,,,,610327b3d3eafd74891133fe,61036d8b8d4ce36d1951f698,2021-07-29_23h18.05.947,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3041,37,-57,1,0,0,response3disk,,4,3,1,1,0,0,rectangle,3,1,1,0,0,3,1,1,0,0,0,7,7,92,1,,,,,,,,
