key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7225,space,11.4032,space,26.7644,space,12.8806,space,1.1675,space,5.437,149,PF,31.94470215,-86.14038086,1,0,0,response3disk_5,4,12.983,11.61297607,-3.864471436,1,0,0,rectangle_8,11.61297607,-3.864471436,1,0,0,11.61297607,-3.864471436,1,0,0,0,0,0,2,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,FF,99.34765625,38.13671875,1,0,0,response1disk_5,6,8.15,9.346984863,1.586608887,1,0,0,rectangle_8,50.01959229,-94.04974365,1,0,0,10.72784424,-1.238708496,1,0,0,0,1,1,0,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.0333,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,FF,-81.16467285,-47.06729126,1,0,0,response5disk_5,2,5.4161,3.646728516,-2.270233154,1,0,0,rectangle_8,3.646728516,-2.270233154,1,0,0,3.646728516,-2.270233154,1,0,0,0,2,2,5,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,PF,-74.83959961,-48.00030518,1,0,0,response5disk_5,2,4.5501,11.06896973,-1.751678467,1,0,0,rectangle_8,11.06896973,-1.751678467,1,0,0,11.06896973,-1.751678467,1,0,0,0,3,3,1,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,94.75170898,-36.88171387,1,0,0,response3disk_5,5,5.0159,11.3392334,-2.654144287,1,0,0,rectangle_8,54.72119141,-101.256897,1,0,0,17.27001953,1.767700195,1,0,0,0,4,4,4,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.0344,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,FF,-60.74072266,-31.60107422,1,0,0,response5disk_5,2,1.7653,0.249023438,-5.963531494,1,0,0,rectangle_8,0.249023438,-5.963531494,1,0,0,0.249023438,-5.963531494,1,0,0,0,5,5,3,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,-75.50292969,-28.88623047,1,0,0,response5disk_5,2,3.3011,-2.0546875,-6.770446777,1,0,0,rectangle_8,-2.0546875,-6.770446777,1,0,0,-2.0546875,-6.770446777,1,0,0,0,6,6,6,1,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.333,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.5495,4267,-75.50830078,-42.21392822,1,0,0,response5disk,,2,20.60876465,4.018951416,1,0,0,rectangle,20.60876465,4.018951416,1,0,0,20.60876465,4.018951416,1,0,0,0,0,0,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7829,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3951,-74.45007324,-33.30297852,1,0,0,response5disk,,2,-12.97460938,-0.192565918,1,0,0,rectangle,-12.97460938,-0.192565918,1,0,0,-12.97460938,-0.192565918,1,0,0,0,1,1,7,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.166,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2394,68.49310303,-27.28329468,1,0,0,response3disk,,5,21.99414063,-1.153015137,1,0,0,rectangle,21.99414063,-1.153015137,1,0,0,21.99414063,-1.153015137,1,0,0,0,2,2,140,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3821,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3514,-32.46520996,-72.72436523,1,0,0,response5disk,,3,2.786865234,0.015686035,1,0,0,rectangle,2.786865234,0.015686035,1,0,0,2.786865234,0.015686035,1,0,0,0,3,3,36,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4511,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1035,-27.89013672,-78.82318115,1,0,0,response5disk,,3,-8.43762207,-8.468231201,1,0,0,rectangle,-8.43762207,-8.468231201,1,0,0,-8.43762207,-8.468231201,1,0,0,0,4,4,70,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7491,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3991,58.38995361,-31.54879761,1,0,0,response3disk,,5,11.24072266,-3.12286377,1,0,0,rectangle,11.24072266,-3.12286377,1,0,0,11.24072266,-3.12286377,1,0,0,0,5,5,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6839,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1031,39.78448486,-84.36700439,1,0,0,response3disk,,4,4.51348877,4.376464844,1,0,0,rectangle,4.51348877,4.376464844,1,0,0,4.51348877,4.376464844,1,0,0,0,6,6,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1671,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3205,-43.79779053,-80.27947998,1,0,0,response5disk,,3,-10.93225098,-4.580993652,1,0,0,rectangle,-10.93225098,-4.580993652,1,0,0,-10.93225098,-4.580993652,1,0,0,0,7,7,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5658,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1224,-36.04785156,-76.86138916,1,0,0,response5disk,,3,-0.825744629,0.81729126,1,0,0,rectangle,-0.825744629,0.81729126,1,0,0,-0.825744629,0.81729126,1,0,0,0,8,8,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2501,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,162,-65.23486328,-44.4354248,1,0,0,response5disk,,2,-4.207275391,-1.273254395,1,0,0,rectangle,-4.207275391,-1.273254395,1,0,0,-4.207275391,-1.273254395,1,0,0,0,9,9,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4009,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2777,-66.94250488,33.89874268,1,0,0,response7disk,,1,-7.112792969,2.129119873,1,0,0,rectangle,-78.55950928,47.33850098,1,0,0,7.138916016,-0.267150879,1,0,0,0,10,10,143,1,,response7disk_3,TRUE,1,1,"[159,88,79,63,268,56,231,232,55,209,256,147,196,244,201,154,11,239,266,106]",1.5492,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.7342,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1045,93.93432617,-43.49371338,1,0,0,response3disk,,5,3.090454102,0.880706787,1,0,0,rectangle,3.090454102,0.880706787,1,0,0,3.090454102,0.880706787,1,0,0,0,11,11,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5653,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2070,38.50238037,-66.17425537,1,0,0,response3disk,,4,8.638549805,-10.93762207,1,0,0,rectangle,8.638549805,-10.93762207,1,0,0,8.638549805,-10.93762207,1,0,0,0,12,12,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7164,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1468,-58.9364624,-102.1618652,1,0,0,response5disk,,3,-0.41809082,7.663696289,1,0,0,rectangle,-0.41809082,7.663696289,1,0,0,-0.41809082,7.663696289,1,0,0,0,13,13,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1325,,,,,,,,,,,,,,,,,,,,,,610328909dde1ee1a352daef,61036b5f7d4c69350054cb0e,2021-07-29_20h03.08.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1230,-64.32647705,-45.6451416,1,0,0,response5disk,,2,-11.63201904,-13.10284424,1,0,0,rectangle,-11.63201904,-13.10284424,1,0,0,-11.63201904,-13.10284424,1,0,0,0,14,14,137,1,,,,,,,,
