key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.261685,space,24.400635,space,39.000315,space,2.153585,space,3.042575,space,3.114095,128,PF,-63.10546875,-46.16015625,1,0,0,response5disk_5,2,14.12799,-13.58984375,-7.14453125,1,0,0,rectangle_8,-13.58984375,-7.14453125,1,0,0,-13.58984375,-7.14453125,1,0,0,0,0,0,4,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,FF,-73.87890625,-53.703125,1,0,0,response5disk_5,2,5.765375,11.15625,-14.40625,1,0,0,rectangle_8,36.76953125,56.4921875,1,0,0,3.7421875,-0.21875,1,0,0,0,1,1,0,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.270815,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,FF,86.734375,-62.97265625,1,0,0,response3disk_5,5,3.63485,-3.94921875,-0.7265625,1,0,0,rectangle_8,-3.94921875,-0.7265625,1,0,0,-3.94921875,-0.7265625,1,0,0,0,2,2,5,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,74.9453125,-47.21875,1,0,0,response3disk_5,5,3.33686,5.6875,2.375,1,0,0,rectangle_8,5.6875,2.375,1,0,0,5.6875,2.375,1,0,0,0,3,3,1,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,-70.5,-34.67578125,1,0,0,response5disk_5,2,1.503225,-0.30078125,-1.99609375,1,0,0,rectangle_8,59.48828125,82.5,1,0,0,2.0859375,-0.328125,1,0,0,0,4,4,3,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.38408,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,83.48046875,41.53515625,1,0,0,response1disk_5,6,2.685345,3.70703125,2.69140625,1,0,0,rectangle_8,3.70703125,2.69140625,1,0,0,3.70703125,2.69140625,1,0,0,0,5,5,6,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,72.90625,33.7578125,1,0,0,response1disk_5,6,2.134645,-20.80859375,-2.875,1,0,0,rectangle_8,-20.80859375,-2.875,1,0,0,-20.80859375,-2.875,1,0,0,0,6,6,2,1,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.92074,,,,,,,,,,,,,,,,,,,,,,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.67392,820,-34.2734375,-72.609375,1,0,0,response5disk,,3,-9.8203125,-6.40234375,1,0,0,rectangle,-9.8203125,-6.40234375,1,0,0,-9.8203125,-6.40234375,1,0,0,0,0,0,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.00062,,,,,,,,,,,,,,,,,,,,,,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,701,-57.46484375,-21.25,1,0,0,response5disk,,2,-8.39453125,-0.0859375,1,0,0,rectangle,-8.39453125,-0.0859375,1,0,0,-8.39453125,-0.0859375,1,0,0,0,1,1,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.767535,,,,,,,,,,,,,,,,,,,,,,610329a74ccff557eb132122,61036f2fca5be39e19acdc77,2021-07-29_23h22.57.565,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,202,35.99609375,-66.234375,1,0,0,response3disk,,4,-1.77734375,-1.171875,1,0,0,rectangle,-1.77734375,-1.171875,1,0,0,-1.77734375,-1.171875,1,0,0,0,2,2,13,1,,,,,,,,
