key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3839,space,5.1681,space,24.2388,space,1.0952,space,0.4613,space,2.426,10,FF,-33.98046875,75.3828125,1,0,0,response7disk_5,0,8.5286,17.72265625,1.75,1,0,0,rectangle_8,17.72265625,1.75,1,0,0,17.72265625,1.75,1,0,0,0,0,0,3,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,-61.8046875,-37.578125,1,0,0,response5disk_5,2,6.17,-2.13671875,-2.07421875,1,0,0,rectangle_8,50.12890625,63.12890625,1,0,0,1.42578125,1.2734375,1,0,0,0,1,1,0,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.2748,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,PF,38.84375,73.64453125,1,0,0,response1disk_5,7,2.6782,20.265625,3.2890625,1,0,0,rectangle_8,20.265625,3.2890625,1,0,0,20.265625,3.2890625,1,0,0,0,2,2,1,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,-34.62109375,-74.734375,1,0,0,response5disk_5,3,2.4602,8.3984375,4.3125,1,0,0,rectangle_8,8.3984375,4.3125,1,0,0,8.3984375,4.3125,1,0,0,0,3,3,6,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,59.04296875,-37.640625,1,0,0,response3disk_5,5,2.2452,-6.35546875,1.390625,1,0,0,rectangle_8,50.59765625,73.515625,1,0,0,15.91015625,12.359375,1,0,0,0,4,4,5,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.5963,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,-41.578125,29.5625,1,0,0,response7disk_5,1,4.5557,-13.140625,-2.9453125,1,0,0,rectangle_8,-13.140625,-2.9453125,1,0,0,-13.140625,-2.9453125,1,0,0,0,5,5,4,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,-70.6875,-24.53125,1,0,0,response5disk_5,2,0.9978,7.27734375,-10.78515625,1,0,0,rectangle_8,7.27734375,-10.78515625,1,0,0,7.27734375,-10.78515625,1,0,0,0,6,6,2,1,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0622,,,,,,,,,,,,,,,,,,,,,,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.1961,2204,67.44921875,45.890625,1,0,0,response1disk,,6,21.28125,-7.6796875,1,0,0,rectangle,21.28125,-7.6796875,1,0,0,21.28125,-7.6796875,1,0,0,0,0,0,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7619,,,,,,,,,,,,,,,,,,,,,,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1714,64.1796875,28.06640625,1,0,0,response1disk,,6,7.85546875,3.734375,1,0,0,rectangle,7.85546875,3.734375,1,0,0,7.85546875,3.734375,1,0,0,0,1,1,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4458,,,,,,,,,,,,,,,,,,,,,,610336af8890b00f2a4fff86,61036b52aba3bc0d1b42657b,2021-07-29_23h01.02.617,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2971,70.234375,21.89453125,1,0,0,response1disk,,6,13.03515625,-11.57421875,1,0,0,rectangle,13.03515625,-11.57421875,1,0,0,13.03515625,-11.57421875,1,0,0,0,2,2,93,1,,,,,,,,
